Nº de abonados;Sexo;Edad;Tipo de abono;Centro deportivo;Mes
1;MUJER;21;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;26;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;31;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;39;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;40;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
2;MUJER;44;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;49;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
2;MUJER;50;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
3;MUJER;51;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
2;MUJER;52;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
4;MUJER;53;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;54;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
2;MUJER;58;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;59;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;61;ADM ACTIVIDAD DIRIGIDA;ALBERTO GARCÍA;ene-17
1;MUJER;30;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;39;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;45;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
2;MUJER;46;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
2;MUJER;47;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
2;MUJER;48;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;49;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;50;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
2;MUJER;51;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
3;MUJER;52;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;53;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;54;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;55;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;56;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
1;MUJER;57;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
2;MUJER;63;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
3;MUJER;64;ADM ACTIVIDAD DIRIGIDA;ALFREDO GOYENECHE;ene-17
