Sexo;Deporte;Fecha;Temporada;Municipio;C P ;Colegio;Distrito
H         ;BALONCESTO;13/12/2007;2017-2018 ;MADRID                                            ;28045;CEIP MIGUEL DE UNAMUNO                                                                              ;ARGANZUELA                                        
H         ;BALONCESTO;19/07/2006;2017-2018 ;MADRID                                            ;28045;CEIP MIGUEL DE UNAMUNO                                                                              ;ARGANZUELA                                        
H         ;BALONCESTO;19/07/2006;2017-2018 ;MADRID                                            ;28045;CEIP MIGUEL DE UNAMUNO                                                                              ;ARGANZUELA                                        
M         ;LUCHA;15/12/2006;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;27/01/2007;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;30/07/2006;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
M         ;LUCHA;03/07/2007;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;04/08/2005;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
M         ;LUCHA;08/06/2007;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;24/03/2006;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;23/08/2006;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;06/07/2007;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;07/03/2007;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;23/10/2007;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;26/07/2007;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
M         ;LUCHA;26/09/2008;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;LUCHA;27/02/2008;2017-2018 ;MADRID                                            ;28047;CEIP HAITI                                                                                          ;CARABANCHEL                                       
H         ;BALONCESTO;17/04/2008;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
M         ;BALONCESTO;02/07/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;BALONCESTO;19/02/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
M         ;BALONCESTO;01/03/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;BALONCESTO;10/07/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;BALONCESTO;10/07/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;BALONCESTO;18/02/2008;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
M         ;TENIS DE MESA;13/08/2008;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;TENIS DE MESA;21/04/2006;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;TENIS DE MESA;26/11/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;TENIS DE MESA;26/11/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;TENIS DE MESA;22/11/2008;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;TENIS DE MESA;20/04/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
H         ;TENIS DE MESA;30/12/2006;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
M         ;TENIS DE MESA;09/03/2009;2017-2018 ;MADRID                                            ;28047;CEIP PARQUE EUGENIA DE MONTIJO                                                                      ;CARABANCHEL                                       
