Tipo de cupo ;Denominación de la clase; Año ;Mes Ocupación;Actividad deportiva;Categoría edad;Distrito;Centro deportivo;Nº Plazas Ofertadas;Nº Plazas Ocupadas;Nº Plazas Libres;Nº Plazas Ocupadas (Masculino);Nº Plazas Ocupadas (Femenino)
CERRADO;ACOND FIS MAYORES CAGIGAL   1   MJ   10:45-11:45; 2.017   ;09. SEPTIEMBRE;ACONDICIONAMIENTO FISICO;MAYORES;ARGANZUELA                                        ;MARQUÉS DE SAMARANCH;34;20;14;2;18
CERRADO;FUTBOL BENJAMIN B M-J 17:30-18:30; 2.017   ;09. SEPTIEMBRE;FUTBOL;INFANTILES;VILLAVERDE                                        ;FÉLIX RUBIO;25;13;12;13;0
CERRADO;FUTBOL CADETE B M-20:00-21:30 J 18:30-20:00; 2.017   ;09. SEPTIEMBRE;FUTBOL;JOVENES;VILLAVERDE                                        ;FÉLIX RUBIO;25;23;2;23;0
CERRADO;NATACION N2 LX 18:30-19:00 (12-14 AÑOS); 2.017   ;09. SEPTIEMBRE;NATACION;INFANTILES;MORATALAZ                                         ;MORATALAZ;25;17;8;13;4
CERRADO;FITNESS  LX 20:00-21:00 NIVEL-M; 2.017   ;09. SEPTIEMBRE;FITNESS;ADULTOS;ARGANZUELA                                        ;ARGANZUELA;37;37;0;9;28
CERRADO;ACTIVID. FISICA MAYORES  LX 11:00-12:00; 2.017   ;09. SEPTIEMBRE;ACONDICIONAMIENTO FISICO;MAYORES;HORTALEZA                                         ;LUIS ARAGONÉS;26;26;0;10;16
CERRADO;"ACONDICIONAMIENTO  FISICO&gt; 65  N0 MJ 12:00-13:00"; 2.017   ;09. SEPTIEMBRE;ACONDICIONAMIENTO FISICO;MAYORES;MORATALAZ                                         ;MORATALAZ;41;41;0;8;33
CERRADO;CICLO-SALA  MJ 15:00-15:45; 2.017   ;09. SEPTIEMBRE;CICLO-SALA;ADULTOS;TETUAN                                            ;TRIÁNGULO DE ORO;25;25;0;10;15
CERRADO;NATACION N0 MJ 16:00-16:45; 2.017   ;09. SEPTIEMBRE;NATACION;ADULTOS;MORATALAZ                                         ;MORATALAZ;11;11;0;4;7
CERRADO;NATACION N0 ALTO LX 18:00-18:30 (8-9 AÑOS); 2.017   ;09. SEPTIEMBRE;NATACION;INFANTILES;MORATALAZ                                         ;MORATALAZ;13;13;0;7;6
CERRADO;NATACION N0 LX 13:30-14:00; 2.017   ;09. SEPTIEMBRE;NATACION;MAYORES;MORATALAZ                                         ;MORATALAZ;11;11;0;4;7
CERRADO;TENIS N0 MJ 19:00-20:00; 2.017   ;09. SEPTIEMBRE;TENIS;ADULTOS;HORTALEZA                                         ;LUIS ARAGONÉS;9;9;0;7;2
CERRADO;ACOND. FISICO MAYORES  MJ 12:00 - 13:00; 2.017   ;09. SEPTIEMBRE;ACONDICIONAMIENTO FISICO;MAYORES;CIUDAD LINEAL                                     ;CONCEPCIÓN;40;40;0;8;32
CERRADO;ACONDICIONAMIENTO FISICO LX 11:00-12:00; 2.017   ;09. SEPTIEMBRE;ACONDICIONAMIENTO FISICO;MAYORES;CIUDAD LINEAL                                     ;SAN JUAN BAUTISTA;30;30;0;3;27
CERRADO;ACONDICIONAMIENTO FISICO V 11:00-12:00; 2.017   ;09. SEPTIEMBRE;ACONDICIONAMIENTO FISICO;MAYORES;CIUDAD LINEAL                                     ;SAN JUAN BAUTISTA;30;30;0;6;24
CERRADO;BALONCESTO  LX 18.00-19.00; 2.017   ;09. SEPTIEMBRE;BALONCESTO;INFANTILES;MORATALAZ                                         ;MORATALAZ;35;27;8;20;7
CERRADO;BALONCESTO  MJ 17:00-18:00; 2.017   ;09. SEPTIEMBRE;BALONCESTO;INFANTILES;MORATALAZ                                         ;MORATALAZ;25;22;3;15;7
CERRADO;CICLO-SALA  VIERNES 19:00; 2.017   ;09. SEPTIEMBRE;CICLO-SALA;ADULTOS;ARGANZUELA                                        ;ARGANZUELA;17;17;0;4;13
CERRADO;ACONDIC. FISICO N1 LX 19:00-20:00; 2.017   ;09. SEPTIEMBRE;FITNESS;ADULTOS;ARGANZUELA                                        ;CENTRO INTEGRADO ARGANZUELA;30;30;0;3;27
CERRADO;FITNESS BÁSICO LX 19:00-20:00; 2.017   ;09. SEPTIEMBRE;FITNESS;ADULTOS;CIUDAD LINEAL                                     ;SAN JUAN BAUTISTA;30;26;4;5;21
CERRADO;FITNESS BAJO T LX 19:30-20:30; 2.017   ;09. SEPTIEMBRE;FITNESS;ADULTOS;VICALVARO                                         ;VALDEBERNARDO;35;25;10;10;15
CERRADO;FITNESS MEDIO T MJ 18:30-19:30; 2.017   ;09. SEPTIEMBRE;FITNESS;ADULTOS;VICALVARO                                         ;VALDEBERNARDO;30;17;13;3;14
CERRADO;FUTBOL7 MJ 18:30 ALEV (NACIDOS 2007); 2.017   ;09. SEPTIEMBRE;FUTBOL;INFANTILES;RETIRO                                            ;ADELFAS;22;20;2;20;0
CERRADO;FUTBOL ALEVIN A M 18:30-20:00/V 17:15-18:45; 2.017   ;09. SEPTIEMBRE;FUTBOL;INFANTILES;VILLAVERDE                                        ;FÉLIX RUBIO;25;17;8;15;2
CERRADO;FUTBOL INFANTIL A M 18:30-20:00 V 18:30-20:00; 2.017   ;09. SEPTIEMBRE;FUTBOL;INFANTILES;VILLAVERDE                                        ;FÉLIX RUBIO;25;14;11;14;0
CERRADO;FUTBOL INFANTIL B M 18:30-20:00 V 18:30-20:00; 2.017   ;09. SEPTIEMBRE;FUTBOL;INFANTILES;VILLAVERDE                                        ;FÉLIX RUBIO;25;23;2;23;0
CERRADO;GAPP  MJ 18:05-19:00; 2.017   ;09. SEPTIEMBRE;GAP;ADULTOS;USERA                                             ;ORCASITAS;20;15;5;6;9
CERRADO;GIMNASIA ACUATICA N0 MJ 10:00-10:45; 2.017   ;09. SEPTIEMBRE;GIMNASIA ACUATICA;ADULTOS;MORATALAZ                                         ;MORATALAZ;15;15;0;2;13
CERRADO;GIMNASIA ACUATICA  LX 13:00-13:30; 2.017   ;09. SEPTIEMBRE;GIMNASIA ACUATICA;MAYORES;MORATALAZ                                         ;MORATALAZ;15;15;0;6;9
CERRADO;GIMNASIA ACUATICA MJ 13:00-13:30; 2.017   ;09. SEPTIEMBRE;GIMNASIA ACUATICA;MAYORES;MORATALAZ                                         ;MORATALAZ;15;15;0;3;12
CERRADO;KARATE-SHYTO N1(10-14) LX 18:30-19:30; 2.017   ;09. SEPTIEMBRE;KARATE-SHYTO;INFANTILES;VICALVARO                                         ;VALDEBERNARDO;25;17;8;9;8
