Fecha,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión PM10,Ozono,Tolueno,Benceno,Xileno,Hidrocarburos totales,Hidrocarburos no metano
20170831 00:00:00,3,18,24,82,1.3,0.3,0.2,7.5,0.4
20170731 00:00:00,3,22,20,78,1.8,0.3,0.7,7.5,0.4
20170630 00:00:00,3,21,14,87,0.5,0.2,0.3,7.4,0.4
20170531 00:00:00,4,22,13,77,0.5,0.2,0.3,7.3,0.4
20170430 00:00:00,5,23,15,75,0.6,0.2,0.3,6.9,0.4
20170331 00:00:00,15,35,18,52,1.3,0.3,0.7,7.1,0.5
20170228 00:00:00,18,35,33,43,1.2,0.4,0.8,6.5,0.3
20170131 00:00:00,3,18,20,79,0.4,0.1,0.3,6.3,0.1
20161231 00:00:00,3,19,24,90,0.5,0.2,0.4,6.3,0.1
20161130 00:00:00,2,19,23,81,0.5,0.2,0.4,6.3,0.1
20161031 00:00:00,6,28,25,64,0.8,0.2,0.7,6.5,0.1
20160930 00:00:00,16,36,26,38,1.7,0.4,1.3,6.8,0.2
20160831 00:00:00,29,39,21,27,2.2,0.4,1.4,7,0.2
20160731 00:00:00,56,48,27,20,3.2,0.6,2.1,7.4,0.3
20160630 00:00:00,36,47,24,28,1.8,0.5,1.2,7,0.2
20160531 00:00:00,5,22,14,71,0.3,0.1,0.3,6.5,0.1
20160430 00:00:00,6,23,10,62,0.5,0.2,0.4,6.6,0.1
20160331 00:00:00,8,26,12,62,0.8,0.3,0.5,6.8,0.1
20160229 00:00:00,14,25,24,52,1.1,0.4,0.6,6.7,0.1
20160131 00:00:00,23,34,13,33,1.5,0.5,1,6.9,0.2
20151231 00:00:00,45,35,19,24,5.4,0.8,3,7.2,0.4
20151130 00:00:00,45,35,19,24,5.4,0.8,3,7.2,0.4
20151031 00:00:00,12,24,14,39,1.6,0.3,1,6.9,0.2
20150930 00:00:00,6,22,13,65,1.1,0.2,0.6,6.6,0.2
20150831 00:00:00,3,15,19,78,0.9,0.2,0.7,6.6,0.2
20150731 00:00:00,3,15,21,93,1.4,0.4,0.8,6.2,0.2
20150630 00:00:00,3,14,15,95,1.1,0.6,1,5.9,0.2
20150531 00:00:00,4,15,13,75,1.1,0.5,1.1,5.9,0.2
20150430 00:00:00,8,20,13,65,0.9,0.6,1,6,0.2
20150331 00:00:00,20,36,12,47,2.2,0.8,1.9,6.3,0.3
20150228 00:00:00,12,28,8,48,1,0.6,1.2,6.1,0.2
20150131 00:00:00,63,63,19,27,6.3,1,16.4,6.8,0.5
20141231 00:00:00,65,67,18,23,5.2,1.4,3.6,7,0.8
20141230 00:00:00,15,47,18,27,5.7,1.2,4,6.6,0.6
20141031 00:00:00,21,50,21,31,10.8,1.9,5.7,6.6,0.6
20140930 00:00:00,6,38,15,51,9.1,1.1,3.4,6.3,0.4
20140831 00:00:00,3,17,14,73,8,0.9,3.3,6.1,0.3
20140731 00:00:00,2,18,17,83,7,0.9,2.5,6.1,0.3
20140630 00:00:00,3,22,14,80,6.2,0.8,2.3,6.2,0.3
20140531 00:00:00,4,24,14,72,8.3,1.2,5.5,6.2,0.3
20140430 00:00:00,4,20,14,58,10.1,1.2,5.2,6.2,0.3
