Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
28/10/2017;0,18;0,21;Muy buena / Oso ona;6;21;42;Muy buena / Oso ona;30;17;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
27/10/2017;0,26;0,39;Muy buena / Oso ona;25;28;49;Muy buena / Oso ona;65;28;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
26/10/2017;0,36;;Sin datos / Daturik gabe;38;47;86;Buena / Ona;106;35;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
25/10/2017;;;Sin datos / Daturik gabe;85;59;121;Mejorable / Hobetzeko modukoa;188;36;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
24/10/2017;0,35;0,44;Muy buena / Oso ona;60;53;110;Mejorable / Hobetzeko modukoa;140;32;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
23/10/2017;0,24;0,32;Muy buena / Oso ona;19;40;59;Buena / Ona;69;23;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
22/10/2017;0,17;0,22;Muy buena / Oso ona;4;16;29;Muy buena / Oso ona;22;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
21/10/2017;0,17;0,19;Muy buena / Oso ona;5;15;24;Muy buena / Oso ona;23;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
20/10/2017;0,22;;Sin datos / Daturik gabe;11;25;59;Buena / Ona;43;14;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
19/10/2017;0,21;;Sin datos / Daturik gabe;11;29;70;Buena / Ona;45;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
18/10/2017;0,19;0,23;Muy buena / Oso ona;8;24;52;Buena / Ona;36;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
