Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,19;0,2;Muy buena / Oso ona;3;12;40;Muy buena / Oso ona;17;53;77;Buena / Ona;15;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;38;82;1022,2;9,2;15,6;0,69;Buena / Ona
27/10/2017;0,41;0,75;Muy buena / Oso ona;19;26;59;Buena / Ona;55;38;72;Buena / Ona;31;Buena / Ona;22;Buena / Ona;4;Muy buena / Oso ona;62;86;1023,6;11,1;15,8;0,57;Buena / Ona
26/10/2017;0,3;0,55;Muy buena / Oso ona;5;25;58;Buena / Ona;34;42;73;Buena / Ona;27;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;77;65;1018,6;16,2;18,8;0,12;Buena / Ona
25/10/2017;0,58;0,79;Muy buena / Oso ona;33;46;69;Buena / Ona;97;14;36;Muy buena / Oso ona;39;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;120;76;1014,4;14;15,8;0,52;Buena / Ona
24/10/2017;0,27;0,37;Muy buena / Oso ona;9;32;57;Buena / Ona;46;27;47;Muy buena / Oso ona;24;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;157;71;1015,4;17,1;16;0,58;Buena / Ona
23/10/2017;0,28;0,35;Muy buena / Oso ona;9;27;58;Buena / Ona;42;27;57;Muy buena / Oso ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;130;76;1019;18,3;13,9;0,92;Buena / Ona
22/10/2017;0,21;0,23;Muy buena / Oso ona;4;9;26;Muy buena / Oso ona;16;56;71;Buena / Ona;30;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;312;83;1021,6;9,6;13,7;2,37;Buena / Ona
21/10/2017;0,28;0,52;Muy buena / Oso ona;6;9;40;Muy buena / Oso ona;18;53;61;Buena / Ona;36;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;313;73;1013,4;11,5;16,9;5,24;Buena / Ona
20/10/2017;0,29;0,37;Muy buena / Oso ona;8;18;49;Muy buena / Oso ona;31;35;49;Muy buena / Oso ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;149;62;1008;18,7;20;0,83;Muy buena / Oso ona
19/10/2017;0,29;0,39;Muy buena / Oso ona;7;20;44;Muy buena / Oso ona;31;32;46;Muy buena / Oso ona;12;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;133;75;1004;14,2;16,7;0,79;Muy buena / Oso ona
18/10/2017;0,36;0,6;Muy buena / Oso ona;6;17;36;Muy buena / Oso ona;26;38;53;Muy buena / Oso ona;22;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;282;85;1002,3;4,7;15,3;0,65;Muy buena / Oso ona
17/10/2017;0,36;0,63;Muy buena / Oso ona;4;12;22;Muy buena / Oso ona;19;50;62;Buena / Ona;36;Buena / Ona;19;Buena / Ona;3;Muy buena / Oso ona;158;73;1008,4;11,4;19,4;1,1;Buena / Ona
16/10/2017;0,26;0,36;Muy buena / Oso ona;46;10;36;Muy buena / Oso ona;81;56;71;Buena / Ona;34;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;169;66;1013,8;16,5;21,3;1,41;Buena / Ona
15/10/2017;0,22;0,34;Muy buena / Oso ona;5;9;18;Muy buena / Oso ona;17;57;61;Buena / Ona;25;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;152;51;1010,8;17,1;24,8;3,91;Buena / Ona
14/10/2017;0,31;0,37;Muy buena / Oso ona;4;13;33;Muy buena / Oso ona;20;52;67;Buena / Ona;36;Buena / Ona;27;Buena / Ona;3;Muy buena / Oso ona;146;73;1012,8;21,1;21,6;1,03;Buena / Ona
13/10/2017;0,35;0,44;Muy buena / Oso ona;8;18;53;Buena / Ona;30;37;65;Buena / Ona;43;Buena / Ona;32;Buena / Ona;3;Muy buena / Oso ona;331;85;1016,6;18,9;17,8;1,37;Buena / Ona
12/10/2017;0,35;0,5;Muy buena / Oso ona;5;20;42;Muy buena / Oso ona;29;33;64;Buena / Ona;33;Buena / Ona;21;Buena / Ona;3;Muy buena / Oso ona;137;81;1017;20,9;16,9;0,5;Buena / Ona
11/10/2017;0,25;0,34;Muy buena / Oso ona;5;18;41;Muy buena / Oso ona;26;43;77;Buena / Ona;23;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;3;75;1013,6;17,1;17,7;0,51;Buena / Ona
10/10/2017;0,43;0,67;Muy buena / Oso ona;18;27;50;Muy buena / Oso ona;54;25;66;Buena / Ona;23;Muy buena / Oso ona;17;Buena / Ona;4;Muy buena / Oso ona;135;81;1013,3;22,6;15,5;0,45;Buena / Ona
09/10/2017;0,37;0,52;Muy buena / Oso ona;10;27;47;Muy buena / Oso ona;43;28;59;Muy buena / Oso ona;17;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;111;75;1013,7;24,9;14,7;0,7;Muy buena / Oso ona
08/10/2017;0,35;0,45;Muy buena / Oso ona;6;20;42;Muy buena / Oso ona;29;34;71;Buena / Ona;15;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;114;75;1015,7;25,5;14,3;0,69;Buena / Ona
07/10/2017;0,29;0,44;Muy buena / Oso ona;6;16;31;Muy buena / Oso ona;25;36;63;Buena / Ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;101;77;1017,3;26,6;14,3;1,02;Buena / Ona
06/10/2017;0,19;0,2;Muy buena / Oso ona;3;5;19;Muy buena / Oso ona;10;59;78;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;355;89;1019;10,9;16,1;0,94;Buena / Ona
05/10/2017;0,21;0,25;Muy buena / Oso ona;3;5;25;Muy buena / Oso ona;10;59;78;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;333;94;1017,3;11;18,7;1,22;Buena / Ona
04/10/2017;0,24;0,27;Muy buena / Oso ona;8;8;18;Muy buena / Oso ona;21;28;43;Muy buena / Oso ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;336;87;1015,7;28;19,9;0,67;Muy buena / Oso ona
03/10/2017;0,24;0,3;Muy buena / Oso ona;9;12;30;Muy buena / Oso ona;25;18;34;Muy buena / Oso ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;17;93;1016,5;16,9;19,4;0,4;Muy buena / Oso ona
02/10/2017;0,3;0,38;Muy buena / Oso ona;9;17;51;Buena / Ona;31;33;;Sin datos / Daturik gabe;22;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;337;93;1017,5;10,1;19,2;0,45;Buena / Ona
01/10/2017;0,31;0,45;Muy buena / Oso ona;4;11;23;Muy buena / Oso ona;17;34;47;Muy buena / Oso ona;23;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;319;89;1016,2;7,9;17,9;1,3;Muy buena / Oso ona
30/09/2017;0,24;0,26;Muy buena / Oso ona;4;8;29;Muy buena / Oso ona;13;56;69;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;54;91;1015,3;14,4;16,8;0,67;Buena / Ona
29/09/2017;0,41;0,66;Muy buena / Oso ona;10;17;49;Muy buena / Oso ona;33;45;76;Buena / Ona;31;Buena / Ona;22;Buena / Ona;4;Muy buena / Oso ona;337;84;1014,3;26,3;19,3;0,84;Buena / Ona
28/09/2017;0,35;0,5;Muy buena / Oso ona;7;20;40;Muy buena / Oso ona;30;46;70;Buena / Ona;27;Buena / Ona;20;Buena / Ona;4;Muy buena / Oso ona;226;77;;26,8;19,9;0,2;Buena / Ona
27/09/2017;0,26;0,34;Muy buena / Oso ona;6;17;37;Muy buena / Oso ona;27;41;69;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;12;75;1011,8;28,8;18,7;0,02;Buena / Ona
26/09/2017;0,27;0,38;Muy buena / Oso ona;8;13;34;Muy buena / Oso ona;25;38;61;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;87;81;1014,2;28,8;18;0,74;Buena / Ona
25/09/2017;0,28;0,39;Muy buena / Oso ona;11;11;40;Muy buena / Oso ona;29;47;72;Buena / Ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;320;87;1015,1;17,6;17,6;1,73;Buena / Ona
24/09/2017;0,32;0,4;Muy buena / Oso ona;6;10;25;Muy buena / Oso ona;19;55;85;Buena / Ona;26;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;323;81;1011,5;26,6;19;1,25;Buena / Ona
23/09/2017;0,29;0,33;Muy buena / Oso ona;5;11;28;Muy buena / Oso ona;19;54;85;Buena / Ona;18;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;140;73;1010,9;27,7;20,5;0,76;Buena / Ona
22/09/2017;0,25;0,32;Muy buena / Oso ona;4;10;37;Muy buena / Oso ona;16;55;68;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;27;93;1014,6;9,6;16,2;0,63;Buena / Ona
