Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;2;0;0;Muy buena / Oso ona;3;20;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;139;86;1025,3;0;33,6;15,4;0,16;Muy buena / Oso ona
27/10/2017;6;0;0;Muy buena / Oso ona;9;27;Buena / Ona;18;Buena / Ona;2;Muy buena / Oso ona;102;85;1026,8;0;22,4;16,3;0,07;Buena / Ona
26/10/2017;15;11;46;Muy buena / Oso ona;34;27;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;147;78;1020,9;0;129,2;17,6;0,11;Buena / Ona
25/10/2017;16;31;47;Muy buena / Oso ona;55;24;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;134;79;1017;0;135,8;17,2;0,15;Muy buena / Oso ona
24/10/2017;25;31;63;Buena / Ona;71;19;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;155;75;1018,3;0;121,6;16,2;0,17;Buena / Ona
23/10/2017;12;26;43;Muy buena / Oso ona;44;16;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;167;80;1022,1;0;127,7;14,9;0,13;Muy buena / Oso ona
22/10/2017;2;12;25;Muy buena / Oso ona;14;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;201;85;1023,8;0,6;39,4;14,5;0,31;Muy buena / Oso ona
21/10/2017;2;10;31;Muy buena / Oso ona;13;13;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;225;76;1019,1;-0,5;26,4;17,5;0,28;Muy buena / Oso ona
20/10/2017;12;29;55;Buena / Ona;47;18;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;165;72;1011,1;0;103,2;18,8;0,2;Buena / Ona
19/10/2017;6;22;45;Muy buena / Oso ona;31;13;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;163;79;1006,7;0;122,3;17,1;0,15;Muy buena / Oso ona
18/10/2017;9;26;51;Buena / Ona;40;21;Muy buena / Oso ona;19;Buena / Ona;2;Muy buena / Oso ona;150;89;1005,5;0,1;9,2;17,3;0,11;Buena / Ona
17/10/2017;2;12;27;Muy buena / Oso ona;15;33;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;180;62;1010,9;0;93,9;22;0,71;Buena / Ona
16/10/2017;2;10;25;Muy buena / Oso ona;13;31;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;173;61;1016,2;0;139,4;23,7;0,74;Buena / Ona
15/10/2017;1;7;19;Muy buena / Oso ona;9;32;Buena / Ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;207;51;1015,8;0;135,2;25,9;0,89;Buena / Ona
14/10/2017;3;19;43;Muy buena / Oso ona;24;35;Buena / Ona;23;Buena / Ona;2;Muy buena / Oso ona;68;76;1017,5;0;140,8;22;0,16;Buena / Ona
13/10/2017;8;18;56;Buena / Ona;30;38;Buena / Ona;26;Buena / Ona;2;Muy buena / Oso ona;97;80;1018,7;0;140,6;19,6;0,18;Buena / Ona
12/10/2017;5;16;27;Muy buena / Oso ona;23;29;Buena / Ona;20;Buena / Ona;2;Muy buena / Oso ona;126;81;1019,6;0;144,1;17,9;0,15;Buena / Ona
11/10/2017;8;21;34;Muy buena / Oso ona;33;27;Buena / Ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;181;77;1016;0;148,1;18,3;0,22;Buena / Ona
10/10/2017;11;25;39;Muy buena / Oso ona;42;19;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;178;82;1015,9;0;153,9;17;0,13;Muy buena / Oso ona
09/10/2017;9;24;34;Muy buena / Oso ona;38;16;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;152;78;1017,5;0;157,6;16;0,09;Muy buena / Oso ona
08/10/2017;5;19;32;Muy buena / Oso ona;26;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;156;78;1018,2;0;162,9;14,5;0,1;Muy buena / Oso ona
07/10/2017;5;15;29;Muy buena / Oso ona;23;11;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;143;79;1019,9;0;157,8;14,5;0,11;Muy buena / Oso ona
06/10/2017;5;21;38;Muy buena / Oso ona;28;7;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;105;86;1020,9;0;36,8;16,8;0,1;Muy buena / Oso ona
05/10/2017;9;16;30;Muy buena / Oso ona;29;11;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;178;87;1019,1;0;30,7;19,9;0,06;Muy buena / Oso ona
04/10/2017;9;18;24;Muy buena / Oso ona;32;12;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;122;87;1018,1;0;122,4;20,2;0,11;Muy buena / Oso ona
03/10/2017;14;16;24;Muy buena / Oso ona;37;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;65;91;1018,7;0;45,4;20;0,09;Muy buena / Oso ona
02/10/2017;5;24;47;Muy buena / Oso ona;32;7;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;183;93;1019,8;0;11,3;19,8;0,08;Muy buena / Oso ona
01/10/2017;5;18;26;Muy buena / Oso ona;25;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;189;91;1018,5;0,1;5,9;17,8;0,18;Muy buena / Oso ona
30/09/2017;3;17;31;Muy buena / Oso ona;21;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;67;87;1017,5;0;36,8;17,3;0,05;Muy buena / Oso ona
29/09/2017;14;27;67;Buena / Ona;49;18;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;120;81;1016,3;0;165;20,2;0,14;Buena / Ona
28/09/2017;16;30;74;Buena / Ona;54;13;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;173;75;1015,5;0;168,6;21,5;0,23;Buena / Ona
27/09/2017;10;28;56;Buena / Ona;42;10;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;133;76;1014,3;0;176,7;19,2;0,1;Buena / Ona
26/09/2017;7;20;35;Muy buena / Oso ona;30;8;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;100;81;1016,8;0;145,9;18,5;0,09;Muy buena / Oso ona
25/09/2017;4;19;46;Muy buena / Oso ona;25;16;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;201;83;1017,1;0;99,9;19,4;0,11;Muy buena / Oso ona
24/09/2017;4;16;26;Muy buena / Oso ona;22;25;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;75;81;1013,7;0;175,2;20,5;0,1;Buena / Ona
23/09/2017;5;18;38;Muy buena / Oso ona;25;21;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;173;74;1013,4;0;176,6;20,6;0,21;Muy buena / Oso ona
22/09/2017;6;23;38;Muy buena / Oso ona;32;18;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;126;84;1016,6;0;69,7;18;0,12;Muy buena / Oso ona
21/09/2017;5;15;29;Muy buena / Oso ona;23;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;118;80;1013,5;0;146,5;17,4;0,13;Muy buena / Oso ona
20/09/2017;8;18;27;Muy buena / Oso ona;30;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;166;74;1015,3;0;185,2;16,6;0,08;Muy buena / Oso ona
19/09/2017;8;15;29;Muy buena / Oso ona;27;;;;;3;Muy buena / Oso ona;144;79;1020;0;125,6;16,3;0,09;Muy buena / Oso ona
18/09/2017;4;13;25;Muy buena / Oso ona;20;;;;;2;Muy buena / Oso ona;110;84;1015,1;0;69,3;17;0,12;Muy buena / Oso ona
17/09/2017;3;10;20;Muy buena / Oso ona;14;;;;;4;Muy buena / Oso ona;215;69;1013,2;0;117;17;0,24;Muy buena / Oso ona
16/09/2017;3;13;23;Muy buena / Oso ona;17;;;;;2;Muy buena / Oso ona;206;74;1011,9;0;134,3;15;0,26;Muy buena / Oso ona
15/09/2017;6;16;34;Muy buena / Oso ona;24;;;;;2;Muy buena / Oso ona;227;77;1013;0;164,7;15,9;0,31;Muy buena / Oso ona
14/09/2017;3;17;30;Muy buena / Oso ona;23;;;;;2;Muy buena / Oso ona;170;77;1016,9;0,1;105,9;17,9;0,09;Muy buena / Oso ona
13/09/2017;6;17;26;Muy buena / Oso ona;27;;;;;4;Muy buena / Oso ona;141;74;1015,8;0;196,4;21,4;0,11;Muy buena / Oso ona
12/09/2017;3;13;30;Muy buena / Oso ona;18;;;;;2;Muy buena / Oso ona;203;77;1014,3;0;152,2;18,8;0,25;Muy buena / Oso ona
11/09/2017;;;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
10/09/2017;;;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
09/09/2017;;;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
08/09/2017;5;17;29;Muy buena / Oso ona;26;;;;;2;Muy buena / Oso ona;158;71;1010,2;0;183,1;18,9;0,12;Muy buena / Oso ona
07/09/2017;4;14;32;Muy buena / Oso ona;21;;;;;2;Muy buena / Oso ona;145;74;1017,3;0;114,4;19,2;0,1;Muy buena / Oso ona
06/09/2017;3;11;22;Muy buena / Oso ona;15;;;;;2;Muy buena / Oso ona;37;79;1021,1;0;82,5;20,6;0,13;Muy buena / Oso ona
05/09/2017;5;10;18;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;86;78;1018,1;0;176;21,6;0,1;Muy buena / Oso ona
