Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;4;15;28;Muy buena / Oso ona;18;42;62;Buena / Ona;11;Muy buena / Oso ona;46;84;1019,9;0;31,2;14,9;0,27;Buena / Ona
27/10/2017;23;23;60;Buena / Ona;58;25;54;Muy buena / Oso ona;25;Muy buena / Oso ona;14;87;1021,7;0;31,3;14,2;0,33;Buena / Ona
26/10/2017;35;34;77;Buena / Ona;87;21;54;Muy buena / Oso ona;31;Buena / Ona;28;77;1016;0;59,5;16,3;0,49;Buena / Ona
25/10/2017;32;30;46;Muy buena / Oso ona;78;15;40;Muy buena / Oso ona;27;Buena / Ona;295;76;1012,1;0;63,2;15,9;0,17;Buena / Ona
24/10/2017;31;28;56;Buena / Ona;76;13;36;Muy buena / Oso ona;21;Muy buena / Oso ona;247;75;1013,6;0;70,5;14,2;0,38;Buena / Ona
23/10/2017;11;19;37;Muy buena / Oso ona;31;25;48;Muy buena / Oso ona;13;Muy buena / Oso ona;83;82;1017,1;0;72,9;13,2;0,42;Muy buena / Oso ona
22/10/2017;3;10;16;Muy buena / Oso ona;13;43;59;Muy buena / Oso ona;8;Muy buena / Oso ona;212;86;1018,7;0;53,7;13,2;0,38;Muy buena / Oso ona
21/10/2017;3;14;43;Muy buena / Oso ona;18;51;61;Buena / Ona;14;Muy buena / Oso ona;242;72;1013,8;0;47,8;17;0,75;Buena / Ona
20/10/2017;16;25;55;Buena / Ona;49;23;40;Muy buena / Oso ona;19;Muy buena / Oso ona;232;68;1006,2;0;88,4;18,5;0,92;Buena / Ona
19/10/2017;10;20;35;Muy buena / Oso ona;30;30;57;Muy buena / Oso ona;13;Muy buena / Oso ona;231;80;1001,7;0;65,8;15,8;0,41;Muy buena / Oso ona
18/10/2017;12;30;41;Muy buena / Oso ona;38;32;65;Buena / Ona;18;Muy buena / Oso ona;221;84;1000,4;0,1;37,7;16,8;0,54;Buena / Ona
17/10/2017;6;23;48;Muy buena / Oso ona;26;58;74;Buena / Ona;22;Muy buena / Oso ona;213;57;1006,4;0;56,1;21,5;1,41;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;17;62;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;136;65;1012;0;79,1;21,7;0,13;Muy buena / Oso ona
15/10/2017;;;;Sin datos / Daturik gabe;19;62;75;Buena / Ona;23;Muy buena / Oso ona;205;58;1012;0;93,2;24,1;1,22;Buena / Ona
14/10/2017;5;21;46;Muy buena / Oso ona;23;47;76;Buena / Ona;25;Muy buena / Oso ona;193;71;1012,7;0;97,1;21,6;0,77;Buena / Ona
13/10/2017;13;17;33;Muy buena / Oso ona;35;36;79;Buena / Ona;30;Buena / Ona;34;81;1013,8;0;97;18,2;0,75;Buena / Ona
12/10/2017;5;14;28;Muy buena / Oso ona;22;27;66;Buena / Ona;22;Muy buena / Oso ona;41;81;1014,5;0;104,2;16,9;0,41;Buena / Ona
11/10/2017;22;23;48;Muy buena / Oso ona;52;24;62;Buena / Ona;23;Muy buena / Oso ona;26;80;1011,3;0;104,2;16,3;0,46;Buena / Ona
10/10/2017;9;19;36;Muy buena / Oso ona;31;22;49;Muy buena / Oso ona;18;Muy buena / Oso ona;60;85;1010,9;0;103,9;15,5;0,49;Muy buena / Oso ona
09/10/2017;15;17;32;Muy buena / Oso ona;38;25;59;Muy buena / Oso ona;14;Muy buena / Oso ona;39;81;1012,5;0;119,8;13,5;0,59;Muy buena / Oso ona
08/10/2017;3;11;25;Muy buena / Oso ona;15;32;71;Buena / Ona;12;Muy buena / Oso ona;59;82;1013,2;0;129;12,8;0,7;Buena / Ona
07/10/2017;4;11;20;Muy buena / Oso ona;16;35;68;Buena / Ona;12;Muy buena / Oso ona;62;81;1014,8;0;133,4;13,1;0,67;Buena / Ona
06/10/2017;6;16;30;Muy buena / Oso ona;21;43;74;Buena / Ona;12;Muy buena / Oso ona;45;86;1015,7;0;62,8;16,2;0,85;Buena / Ona
05/10/2017;;;;Sin datos / Daturik gabe;26;35;70;Buena / Ona;14;Muy buena / Oso ona;55;87;1014,1;0;54,3;19;0,83;Buena / Ona
04/10/2017;10;13;21;Muy buena / Oso ona;26;13;28;Muy buena / Oso ona;16;Muy buena / Oso ona;47;88;1012,8;0;138,7;19,4;0,9;Muy buena / Oso ona
03/10/2017;;;;Sin datos / Daturik gabe;25;16;30;Muy buena / Oso ona;12;Muy buena / Oso ona;62;87;1013,5;0;107,2;19,7;0,96;Muy buena / Oso ona
02/10/2017;18;23;36;Muy buena / Oso ona;43;12;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;81;93;1014,5;0;38,4;19,1;0,22;Muy buena / Oso ona
01/10/2017;5;14;23;Muy buena / Oso ona;22;11;26;Muy buena / Oso ona;11;Muy buena / Oso ona;214;94;1013,5;0;27;15,9;0,41;Muy buena / Oso ona
30/09/2017;;;;Sin datos / Daturik gabe;13;43;67;Buena / Ona;12;Muy buena / Oso ona;52;86;1012,3;0;58,4;16,7;0,67;Buena / Ona
29/09/2017;14;20;42;Muy buena / Oso ona;36;47;91;Buena / Ona;25;Muy buena / Oso ona;39;78;1011,1;0;152,7;19,3;0,77;Buena / Ona
28/09/2017;18;23;55;Buena / Ona;49;30;75;Buena / Ona;25;Muy buena / Oso ona;189;73;1010,8;0;158,2;20,6;0,61;Buena / Ona
27/09/2017;13;18;26;Muy buena / Oso ona;34;32;72;Buena / Ona;20;Muy buena / Oso ona;76;77;1009,4;0;175,4;18,2;0,43;Buena / Ona
26/09/2017;;;;Sin datos / Daturik gabe;22;32;63;Buena / Ona;11;Muy buena / Oso ona;48;83;1011,5;0;171;17,5;0,66;Buena / Ona
25/09/2017;;;;Sin datos / Daturik gabe;23;40;73;Buena / Ona;12;Muy buena / Oso ona;244;84;1011,9;0;85,3;18;0,67;Buena / Ona
24/09/2017;;;;Sin datos / Daturik gabe;14;51;85;Buena / Ona;20;Muy buena / Oso ona;21;78;1008,5;0;180,1;19,9;0,67;Buena / Ona
23/09/2017;4;14;29;Muy buena / Oso ona;20;38;87;Buena / Ona;18;Muy buena / Oso ona;156;73;1008,6;0;189,8;20;0,58;Buena / Ona
