Date;D.vien (grados);H (%);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;4;86;14,7;0,76;
27/10/2017;31;83;15,1;0,39;
26/10/2017;230;60;18,6;0,58;
25/10/2017;156;59;18,2;1,88;
24/10/2017;139;62;16,1;3,21;
23/10/2017;145;78;13,1;2,55;
22/10/2017;259;86;12,5;1,77;
21/10/2017;294;75;15,3;5,73;
20/10/2017;207;59;19,6;3,09;
19/10/2017;182;69;15,9;3,14;
18/10/2017;208;79;15;1,83;
17/10/2017;119;74;18,7;2,85;
16/10/2017;210;69;20,3;0,52;
15/10/2017;163;55;23,7;4,08;
14/10/2017;150;66;22,1;2,55;
13/10/2017;82;78;18;0,67;
12/10/2017;138;84;16,3;2,24;
11/10/2017;177;71;17,3;0,63;
10/10/2017;143;83;14,9;1,95;
09/10/2017;150;78;14,2;1,58;
08/10/2017;158;77;13,7;1,29;
07/10/2017;125;80;13,3;2,49;
06/10/2017;360;92;14,8;2,04;
05/10/2017;344;97;17,3;2,15;
04/10/2017;2;91;18,7;0,53;
03/10/2017;358;96;18,2;0,61;
02/10/2017;252;95;18,3;0,47;
01/10/2017;196;93;16,4;1,84;
30/09/2017;337;95;15,6;0,54;
29/09/2017;342;86;18,5;1,66;
28/09/2017;191;70;20,4;0,75;
27/09/2017;183;72;18,3;1,28;
26/09/2017;125;85;16,8;1,67;
25/09/2017;288;87;16,4;2,16;
24/09/2017;300;82;18,1;0,98;
23/09/2017;187;74;19,4;1,3;
22/09/2017;5;98;15,1;1,45;
21/09/2017;180;82;16,4;0,27;
20/09/2017;131;72;15,5;2,56;
19/09/2017;125;83;14,8;0,41;
18/09/2017;194;97;13,8;0,39;
17/09/2017;265;74;14,3;2,42;
16/09/2017;232;84;11,9;2,02;
15/09/2017;228;88;12,2;2,26;
14/09/2017;307;80;15,4;3,21;
13/09/2017;194;81;18,2;0,38;
12/09/2017;250;83;16,2;1,42;
11/09/2017;293;89;16,2;5,88;
10/09/2017;275;80;15,6;3,93;
09/09/2017;283;86;15;5,76;
08/09/2017;213;76;17;0,83;
07/09/2017;278;77;17;0,14;
06/09/2017;337;89;17,2;1,64;
05/09/2017;305;85;19,2;0,61;
04/09/2017;325;87;18,8;0,77;
03/09/2017;140;74;18,9;1,04;
02/09/2017;150;75;17;0,58;
01/09/2017;290;77;16,4;3,07;
31/08/2017;267;84;16,2;0,42;
30/08/2017;314;91;18,4;1,75;
29/08/2017;230;85;19,9;0,74;
28/08/2017;174;75;21,3;2,83;
27/08/2017;160;73;22,1;2,76;
26/08/2017;13;86;21;0,75;
25/08/2017;356;88;20;1,07;
24/08/2017;328;92;19,6;2,35;
23/08/2017;59;84;19,9;1,01;
22/08/2017;337;70;22,4;2,52;
21/08/2017;120;60;23,3;3,69;
20/08/2017;115;72;18,4;2,02;
19/08/2017;31;82;18,8;1,32;
18/08/2017;335;90;19,2;1,02;
17/08/2017;271;73;20,4;1,17;
16/08/2017;301;81;20,2;1,45;
15/08/2017;347;90;18,8;2,3;
14/08/2017;86;77;22;0,6;
13/08/2017;174;78;18,6;0,32;
12/08/2017;227;72;17,2;0,67;
11/08/2017;310;75;16,6;0,96;
10/08/2017;298;80;15,4;5,35;
09/08/2017;297;75;15,6;4,95;
08/08/2017;290;80;16,1;3,55;
07/08/2017;285;83;18,5;3,49;
06/08/2017;19;75;18,2;2,34;
05/08/2017;340;99;17,4;3,11;
04/08/2017;360;74;23,7;0,92;
03/08/2017;296;83;20,7;0,82;
02/08/2017;328;82;20;0,45;
01/08/2017;44;87;18,8;0,5;
31/07/2017;319;95;17,3;1,28;
30/07/2017;304;88;18,7;1,31;
29/07/2017;119;64;22,6;1,04;
28/07/2017;330;89;19,7;1,31;
27/07/2017;338;83;19,6;1,16;
26/07/2017;292;82;18,2;0,34;
25/07/2017;295;85;16,8;3,42;
24/07/2017;302;96;16,8;6,12;
23/07/2017;294;77;18,7;1,28;
