Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;1;1;4;Muy buena / Oso ona;3;73;81;Buena / Ona;9;Muy buena / Oso ona;314;69;973,1;72,9;14,4;2,93;Buena / Ona
27/10/2017;1;5;12;Muy buena / Oso ona;8;57;70;Buena / Ona;18;Muy buena / Oso ona;299;67;974,9;97,7;15,4;2,6;Buena / Ona
26/10/2017;3;10;14;Muy buena / Oso ona;14;42;72;Buena / Ona;29;Buena / Ona;275;60;971,2;95,5;16,2;0,76;Buena / Ona
25/10/2017;3;8;15;Muy buena / Oso ona;12;45;71;Buena / Ona;20;Muy buena / Oso ona;89;60;968,2;96,1;14,5;0,89;Buena / Ona
24/10/2017;2;9;18;Muy buena / Oso ona;13;43;67;Buena / Ona;10;Muy buena / Oso ona;305;55;968,4;103,7;15,1;1,14;Buena / Ona
23/10/2017;2;7;15;Muy buena / Oso ona;10;43;65;Buena / Ona;8;Muy buena / Oso ona;274;65;970,6;99;12,3;2,08;Buena / Ona
22/10/2017;1;2;6;Muy buena / Oso ona;4;56;72;Buena / Ona;9;Muy buena / Oso ona;289;75;972,1;97,4;11,3;2;Buena / Ona
21/10/2017;2;7;15;Muy buena / Oso ona;9;45;68;Buena / Ona;13;Muy buena / Oso ona;7;82;967,8;37;13,1;0,79;Buena / Ona
20/10/2017;1;6;13;Muy buena / Oso ona;8;53;70;Buena / Ona;9;Muy buena / Oso ona;269;70;962,2;98,5;16,5;1,33;Buena / Ona
19/10/2017;1;5;9;Muy buena / Oso ona;7;55;69;Buena / Ona;6;Muy buena / Oso ona;272;78;957;87,3;12,9;2,77;Buena / Ona
18/10/2017;1;6;20;Muy buena / Oso ona;8;50;60;Muy buena / Oso ona;11;Muy buena / Oso ona;280;88;955,6;35,1;13,6;0,69;Muy buena / Oso ona
17/10/2017;;;;Sin datos / Daturik gabe;5;68;79;Buena / Ona;25;Muy buena / Oso ona;83;73;962,7;95,6;17,4;5,22;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;4;76;86;Buena / Ona;29;Buena / Ona;82;72;967,7;76,9;19;6,47;Buena / Ona
15/10/2017;;;;Sin datos / Daturik gabe;3;69;75;Buena / Ona;23;Muy buena / Oso ona;84;78;969;77,2;19;5,97;Buena / Ona
14/10/2017;;;;Sin datos / Daturik gabe;7;64;83;Buena / Ona;36;Buena / Ona;103;78;969;60;17,5;3,43;Buena / Ona
13/10/2017;;;;Sin datos / Daturik gabe;9;68;95;Buena / Ona;39;Buena / Ona;107;66;969;120,4;17,9;2;Buena / Ona
12/10/2017;;;;Sin datos / Daturik gabe;8;64;93;Buena / Ona;33;Buena / Ona;100;67;969,4;125,4;16,1;1,63;Buena / Ona
11/10/2017;;;;Sin datos / Daturik gabe;10;55;90;Buena / Ona;29;Buena / Ona;96;58;966,3;107,3;14,9;1,13;Buena / Ona
10/10/2017;;;;Sin datos / Daturik gabe;9;58;81;Buena / Ona;12;Muy buena / Oso ona;343;47;964,7;141;16,8;0,63;Buena / Ona
