Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;57;65;Buena / Ona;1;78;963,7;0;51,9;12,9;1,18;Buena / Ona
27/10/2017;39;57;Muy buena / Oso ona;5;74;965,6;0;68,9;13,8;1,03;Muy buena / Oso ona
26/10/2017;35;69;Buena / Ona;311;55;961,4;0;97,3;16,8;0,23;Buena / Ona
25/10/2017;26;55;Muy buena / Oso ona;201;56;958,1;0;98,6;15,5;0,11;Muy buena / Oso ona
24/10/2017;23;42;Muy buena / Oso ona;356;55;958,7;0;99,5;14,1;0,05;Muy buena / Oso ona
23/10/2017;25;41;Muy buena / Oso ona;344;71;961;0;99;11,6;0,13;Muy buena / Oso ona
22/10/2017;48;66;Buena / Ona;305;77;962,4;0;61,2;10,6;0,75;Buena / Ona
21/10/2017;53;60;Muy buena / Oso ona;353;74;958,4;0;43,4;14,1;0,61;Muy buena / Oso ona
20/10/2017;49;67;Buena / Ona;224;59;952,2;0;109,6;17,6;2,27;Buena / Ona
19/10/2017;45;61;Buena / Ona;221;68;947;0;104;13,8;1,13;Buena / Ona
18/10/2017;43;;Sin datos / Daturik gabe;213;80;946,1;0,1;26,9;13,9;0,49;Sin datos / Daturik gabe
17/10/2017;60;71;Buena / Ona;136;57;952,4;0;88,1;19;1,25;Buena / Ona
16/10/2017;57;76;Buena / Ona;81;65;957,5;0;108,3;19,3;1,06;Buena / Ona
15/10/2017;51;68;Buena / Ona;67;66;958,7;0;112,8;19,4;0,25;Buena / Ona
14/10/2017;41;81;Buena / Ona;333;71;959;0;117,5;17,8;0,09;Buena / Ona
13/10/2017;47;88;Buena / Ona;344;63;959,4;0;114,7;17,5;0,06;Buena / Ona
12/10/2017;47;74;Buena / Ona;206;68;959,7;0;116,1;15,5;0,31;Buena / Ona
11/10/2017;43;78;Buena / Ona;331;66;956,7;0;120,5;15;0,56;Buena / Ona
10/10/2017;28;57;Muy buena / Oso ona;300;72;955,6;0;131;12,9;0,11;Muy buena / Oso ona
09/10/2017;36;66;Buena / Ona;6;69;956,4;0;134,8;12,7;0,5;Buena / Ona
08/10/2017;43;75;Buena / Ona;18;64;956,8;0;140,1;13,1;0,57;Buena / Ona
07/10/2017;46;76;Buena / Ona;322;67;958,1;0;142,3;12,9;0,28;Buena / Ona
06/10/2017;54;59;Muy buena / Oso ona;359;77;959,9;0;79,1;14,7;1,34;Muy buena / Oso ona
05/10/2017;34;59;Muy buena / Oso ona;12;81;958,9;0;65,6;16,3;0,94;Muy buena / Oso ona
04/10/2017;26;50;Muy buena / Oso ona;196;77;958,2;0;130,1;17,5;0,16;Muy buena / Oso ona
03/10/2017;19;37;Muy buena / Oso ona;21;82;958,4;0;102,5;17,5;0,63;Muy buena / Oso ona
02/10/2017;17;30;Muy buena / Oso ona;333;85;959,9;0;62,2;17,9;0,29;Muy buena / Oso ona
01/10/2017;26;48;Muy buena / Oso ona;294;83;958,6;0;42,2;15,5;0,35;Muy buena / Oso ona
30/09/2017;49;72;Buena / Ona;6;84;956,8;0;35,3;15,5;0,8;Buena / Ona
29/09/2017;62;98;Buena / Ona;352;70;956,8;0;133,9;17,9;0,9;Buena / Ona
28/09/2017;52;88;Buena / Ona;221;63;957,1;0;156,6;18,3;0,25;Buena / Ona
27/09/2017;47;87;Buena / Ona;272;69;955,3;0;161,7;15,7;0,11;Buena / Ona
26/09/2017;53;77;Buena / Ona;298;71;956,3;0;144,6;16;0,39;Buena / Ona
25/09/2017;57;65;Buena / Ona;355;71;956,8;0;101,4;16,4;0,92;Buena / Ona
24/09/2017;63;101;Mejorable / Hobetzeko modukoa;323;66;954,5;0;156,7;18,1;0,42;Mejorable / Hobetzeko modukoa
23/09/2017;50;89;Buena / Ona;215;77;954,8;0;166;16,2;0,25;Buena / Ona
22/09/2017;41;58;Muy buena / Oso ona;342;80;955,9;0;107,5;16;0,89;Muy buena / Oso ona
21/09/2017;47;81;Buena / Ona;4;66;953,4;0;146,3;14,7;0,89;Buena / Ona
20/09/2017;40;75;Buena / Ona;258;69;955,1;0;167,2;12,3;0,04;Buena / Ona
19/09/2017;52;80;Buena / Ona;354;71;958,7;0;167,7;13,7;0,55;Buena / Ona
18/09/2017;39;60;Muy buena / Oso ona;19;83;954,5;0;64,1;13,5;0,41;Muy buena / Oso ona
17/09/2017;51;72;Buena / Ona;2;66;952,7;0;133,1;12,9;0,65;Buena / Ona
16/09/2017;55;73;Buena / Ona;317;68;951,4;0;120,8;11,1;0,71;Buena / Ona
15/09/2017;48;60;Muy buena / Oso ona;301;75;952,5;0;107;11,4;0,77;Muy buena / Oso ona
14/09/2017;51;66;Buena / Ona;360;74;956,4;0;57,5;14,1;1,19;Buena / Ona
13/09/2017;40;71;Buena / Ona;345;79;956,1;0;193,9;15,8;0,69;Buena / Ona
12/09/2017;51;63;Buena / Ona;352;75;954,3;0;168,9;15,5;0,47;Buena / Ona
11/09/2017;41;56;Muy buena / Oso ona;346;80;950,1;0;54,4;15,3;0,81;Muy buena / Oso ona
10/09/2017;61;71;Buena / Ona;304;74;949,5;0;119,2;14,3;1,04;Buena / Ona
09/09/2017;58;67;Buena / Ona;313;72;946;0;107;14,3;1,72;Buena / Ona
08/09/2017;47;74;Buena / Ona;15;74;950,4;0;193,8;14,6;0,58;Buena / Ona
07/09/2017;58;71;Buena / Ona;354;65;956,8;0;180;16,1;1,15;Buena / Ona
06/09/2017;52;62;Buena / Ona;1;80;960,7;0;102,5;16,4;1,32;Buena / Ona
05/09/2017;45;73;Buena / Ona;8;79;958,2;0;192,1;17,5;1,04;Buena / Ona
04/09/2017;39;60;Muy buena / Oso ona;5;76;952,8;0;183,7;18,6;0,5;Muy buena / Oso ona
03/09/2017;53;89;Buena / Ona;14;67;951,2;0;161,6;17,9;0,6;Buena / Ona
02/09/2017;64;84;Buena / Ona;304;69;958,1;0;221,6;15,2;0,47;Buena / Ona
01/09/2017;54;76;Buena / Ona;338;68;957,9;0;147;15,3;1;Buena / Ona
31/08/2017;60;72;Buena / Ona;8;75;956,3;0;148,2;15,2;1,03;Buena / Ona
30/08/2017;62;87;Buena / Ona;10;82;951,3;0;161,2;17,4;0,98;Buena / Ona
29/08/2017;55;86;Buena / Ona;124;78;950,2;0;179,8;18,7;0,19;Buena / Ona
28/08/2017;40;59;Muy buena / Oso ona;235;79;951,8;0;51,3;18,8;0,87;Muy buena / Oso ona
27/08/2017;48;72;Buena / Ona;248;62;951,7;0,1;71,5;22,3;0,28;Buena / Ona
26/08/2017;67;93;Buena / Ona;153;60;950,6;0;167,3;22,8;0,8;Buena / Ona
25/08/2017;62;87;Buena / Ona;352;82;951,8;0;228,8;19,2;0,92;Buena / Ona
24/08/2017;62;86;Buena / Ona;354;81;952,2;0;228,3;19,4;1,4;Buena / Ona
23/08/2017;47;82;Buena / Ona;344;78;953,4;0;177,3;18,9;0,6;Buena / Ona
22/08/2017;79;119;Mejorable / Hobetzeko modukoa;1;54;952,7;0;225,7;22;0,93;Mejorable / Hobetzeko modukoa
21/08/2017;61;93;Buena / Ona;215;57;954,6;0;259,3;18,4;0,07;Buena / Ona
20/08/2017;59;82;Buena / Ona;321;68;959,2;0;262,4;15,4;0,31;Buena / Ona
19/08/2017;68;78;Buena / Ona;8;73;958,5;0;225;17,4;1,52;Buena / Ona
18/08/2017;59;75;Buena / Ona;11;74;956,2;0;122,9;19,1;1,52;Buena / Ona
17/08/2017;55;79;Buena / Ona;316;67;955,9;0;259,8;18,4;0,44;Buena / Ona
16/08/2017;57;76;Buena / Ona;349;73;957,2;0;236,5;18,6;0,9;Buena / Ona
15/08/2017;57;92;Buena / Ona;350;77;954,6;0;128,8;18,8;1,36;Buena / Ona
14/08/2017;71;96;Buena / Ona;330;70;951,8;0;252,6;20;0,75;Buena / Ona
13/08/2017;56;70;Buena / Ona;337;72;954,8;0;268,7;17,5;0,51;Buena / Ona
12/08/2017;54;78;Buena / Ona;14;72;958,3;0;271,1;14,2;0,67;Buena / Ona
11/08/2017;62;83;Buena / Ona;355;66;959,7;0;237,5;15,2;0,69;Buena / Ona
10/08/2017;66;69;Buena / Ona;316;71;960,7;0;121,3;14,2;1,83;Buena / Ona
09/08/2017;67;74;Buena / Ona;327;66;956,6;0;130,6;14,5;1,39;Buena / Ona
08/08/2017;68;74;Buena / Ona;1;67;954,1;0;198,2;15,8;1,56;Buena / Ona
07/08/2017;68;78;Buena / Ona;351;77;951,3;0;188,8;17,4;1,4;Buena / Ona
06/08/2017;65;69;Buena / Ona;13;71;956,6;0;189,2;17;2,09;Buena / Ona
05/08/2017;47;59;Muy buena / Oso ona;6;80;956;0;68,9;18,6;1,94;Muy buena / Oso ona
04/08/2017;54;77;Buena / Ona;358;76;954,1;0;275,8;21,1;0,96;Buena / Ona
