Date;PM10 (µg/m3);PM10 - ICA;H (%);P (mBar);R (w/m2);Tº (ºC);Precipitación (l/m2);ICA Estación
28/10/2017;12;Muy buena / Oso ona;86;1030,7;28,3;15,1;;Muy buena / Oso ona
27/10/2017;25;Muy buena / Oso ona;86;1032,2;21,9;15,7;;Muy buena / Oso ona
26/10/2017;32;Buena / Ona;85;1026,3;25,6;15,8;;Buena / Ona
25/10/2017;29;Buena / Ona;80;1022,4;25,2;15,8;;Buena / Ona
24/10/2017;21;Muy buena / Oso ona;79;1023,8;28,5;14,7;;Muy buena / Oso ona
23/10/2017;15;Muy buena / Oso ona;85;1027,6;25,9;13,7;;Muy buena / Oso ona
22/10/2017;9;Muy buena / Oso ona;90;1029,3;30,1;13,7;;Muy buena / Oso ona
21/10/2017;17;Muy buena / Oso ona;78;1024,4;28,4;16,8;;Muy buena / Oso ona
20/10/2017;15;Muy buena / Oso ona;74;1016,4;34,6;18,4;;Muy buena / Oso ona
19/10/2017;15;Muy buena / Oso ona;84;1011,9;31,5;16,1;;Muy buena / Oso ona
18/10/2017;21;Muy buena / Oso ona;89;1010,7;14,8;16,9;;Muy buena / Oso ona
17/10/2017;30;Buena / Ona;64;1016,3;27,1;21,8;;Buena / Ona
16/10/2017;;Sin datos / Daturik gabe;;;;;;Sin datos / Daturik gabe
14/10/2017;;Sin datos / Daturik gabe;;;;;;Sin datos / Daturik gabe
13/10/2017;37;Buena / Ona;85;1024,1;34,1;17,9;;Buena / Ona
12/10/2017;24;Muy buena / Oso ona;85;1025;35,7;17,2;;Muy buena / Oso ona
11/10/2017;35;Buena / Ona;84;1021,3;25,9;16,7;;Buena / Ona
10/10/2017;20;Muy buena / Oso ona;85;1021,2;37,1;16,3;;Muy buena / Oso ona
09/10/2017;24;Muy buena / Oso ona;83;1022,9;36,5;15,1;;Muy buena / Oso ona
08/10/2017;15;Muy buena / Oso ona;81;1023,7;38,2;13,5;;Muy buena / Oso ona
07/10/2017;13;Muy buena / Oso ona;81;1025,3;39;13,6;;Muy buena / Oso ona
06/10/2017;14;Muy buena / Oso ona;84;1026,2;41,5;16,4;;Muy buena / Oso ona
05/10/2017;20;Muy buena / Oso ona;91;1024,4;28,2;19;;Muy buena / Oso ona
04/10/2017;28;Buena / Ona;91;1023,3;46,8;19,3;;Buena / Ona
03/10/2017;10;Muy buena / Oso ona;95;1023,9;53,2;19,1;;Muy buena / Oso ona
02/10/2017;8;Muy buena / Oso ona;98;1025;21;18,7;;Muy buena / Oso ona
01/10/2017;11;Muy buena / Oso ona;95;1023,8;11,3;16,6;;Muy buena / Oso ona
30/09/2017;10;Muy buena / Oso ona;88;1022,8;33,8;16,6;;Muy buena / Oso ona
29/09/2017;33;Buena / Ona;84;1021,6;44,1;19,4;;Buena / Ona
28/09/2017;40;Buena / Ona;77;1020,8;55,7;20,7;;Buena / Ona
27/09/2017;30;Buena / Ona;77;1019,6;50,9;18,4;;Buena / Ona
26/09/2017;11;Muy buena / Oso ona;83;1022,1;59,5;17,7;;Muy buena / Oso ona
25/09/2017;10;Muy buena / Oso ona;87;1022,4;47,6;18,2;;Muy buena / Oso ona
24/09/2017;16;Muy buena / Oso ona;84;1018,9;54,5;19,8;;Muy buena / Oso ona
23/09/2017;18;Muy buena / Oso ona;77;1018,7;61,9;19,8;;Muy buena / Oso ona
22/09/2017;12;Muy buena / Oso ona;88;1021,9;58,8;17,1;;Muy buena / Oso ona
21/09/2017;27;Buena / Ona;83;1018,8;42,4;16,1;;Buena / Ona
20/09/2017;11;Muy buena / Oso ona;76;1020,7;67,5;15,4;;Muy buena / Oso ona
19/09/2017;9;Muy buena / Oso ona;80;1025,4;80,1;15,6;;Muy buena / Oso ona
18/09/2017;10;Muy buena / Oso ona;90;1020,5;52,8;15,8;;Muy buena / Oso ona
