Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
28/10/2017;1;13;27;Muy buena / Oso ona;15;12;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
27/10/2017;13;18;41;Muy buena / Oso ona;38;20;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
26/10/2017;14;27;54;Buena / Ona;49;28;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
25/10/2017;23;35;78;Buena / Ona;69;24;Muy buena / Oso ona;13;Muy buena / Oso ona;Buena / Ona
24/10/2017;25;36;67;Buena / Ona;73;21;Muy buena / Oso ona;13;Muy buena / Oso ona;Buena / Ona
23/10/2017;7;24;52;Buena / Ona;34;15;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
22/10/2017;1;9;17;Muy buena / Oso ona;11;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
21/10/2017;1;8;14;Muy buena / Oso ona;10;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
20/10/2017;3;12;38;Muy buena / Oso ona;16;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
19/10/2017;3;17;46;Muy buena / Oso ona;21;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
18/10/2017;2;13;35;Muy buena / Oso ona;16;18;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
17/10/2017;1;9;35;Muy buena / Oso ona;12;25;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
16/10/2017;1;10;30;Muy buena / Oso ona;12;28;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
15/10/2017;1;10;28;Muy buena / Oso ona;13;24;Muy buena / Oso ona;13;Muy buena / Oso ona;Muy buena / Oso ona
14/10/2017;6;22;67;Buena / Ona;31;31;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
13/10/2017;8;26;62;Buena / Ona;38;35;Buena / Ona;19;Buena / Ona;Buena / Ona
