Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
28/10/2017;0,35;0,59;Muy buena / Oso ona;23;48;70;Buena / Ona;74;36;63;Buena / Ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
27/10/2017;0,36;0,48;Muy buena / Oso ona;65;50;68;Buena / Ona;149;20;38;Muy buena / Oso ona;32;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
26/10/2017;;;Sin datos / Daturik gabe;75;63;94;Buena / Ona;179;16;38;Muy buena / Oso ona;34;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
25/10/2017;;;Sin datos / Daturik gabe;112;61;92;Buena / Ona;232;7;11;Muy buena / Oso ona;43;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
24/10/2017;;;Sin datos / Daturik gabe;101;60;89;Buena / Ona;214;6;10;Muy buena / Oso ona;32;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
23/10/2017;;;Sin datos / Daturik gabe;58;51;79;Buena / Ona;140;8;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
22/10/2017;0,52;;Sin datos / Daturik gabe;10;39;61;Buena / Ona;45;43;57;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
21/10/2017;0,44;0,9;Muy buena / Oso ona;8;31;52;Buena / Ona;38;53;59;Muy buena / Oso ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
20/10/2017;0,63;1,07;Muy buena / Oso ona;55;51;93;Buena / Ona;135;20;28;Muy buena / Oso ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
19/10/2017;0,43;0,51;Muy buena / Oso ona;34;48;77;Buena / Ona;97;20;36;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/10/2017;0,44;0,86;Muy buena / Oso ona;49;59;85;Buena / Ona;133;12;26;Muy buena / Oso ona;25;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
17/10/2017;0,45;0,83;Muy buena / Oso ona;22;50;76;Buena / Ona;83;26;50;Muy buena / Oso ona;39;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
16/10/2017;0,3;0,41;Muy buena / Oso ona;16;43;80;Buena / Ona;59;47;55;Muy buena / Oso ona;36;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
15/10/2017;0,32;0,49;Muy buena / Oso ona;15;44;69;Buena / Ona;67;32;48;Muy buena / Oso ona;28;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
14/10/2017;0,39;0,57;Muy buena / Oso ona;27;50;99;Buena / Ona;80;36;54;Muy buena / Oso ona;33;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
13/10/2017;0,51;0,61;Muy buena / Oso ona;53;46;100;Buena / Ona;127;28;53;Muy buena / Oso ona;42;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
12/10/2017;0,38;0,56;Muy buena / Oso ona;25;42;73;Buena / Ona;80;20;46;Muy buena / Oso ona;30;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
11/10/2017;0,39;0,5;Muy buena / Oso ona;69;56;90;Buena / Ona;160;22;46;Muy buena / Oso ona;32;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
10/10/2017;0,4;0,51;Muy buena / Oso ona;58;48;82;Buena / Ona;137;12;27;Muy buena / Oso ona;29;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
09/10/2017;0,31;0,4;Muy buena / Oso ona;42;50;77;Buena / Ona;114;15;;Sin datos / Daturik gabe;28;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
08/10/2017;0,28;0,57;Muy buena / Oso ona;22;41;91;Buena / Ona;75;24;59;Muy buena / Oso ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
07/10/2017;0,43;1,15;Muy buena / Oso ona;24;39;68;Buena / Ona;75;22;61;Buena / Ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
06/10/2017;0,57;1,17;Muy buena / Oso ona;21;48;72;Buena / Ona;69;36;64;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
05/10/2017;0,31;0,38;Muy buena / Oso ona;24;42;59;Buena / Ona;76;29;47;Muy buena / Oso ona;19;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
04/10/2017;0,35;0,63;Muy buena / Oso ona;35;30;54;Buena / Ona;83;14;23;Muy buena / Oso ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
03/10/2017;0,47;0,56;Muy buena / Oso ona;51;28;41;Muy buena / Oso ona;105;8;14;Muy buena / Oso ona;20;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;0,54;0,6;Muy buena / Oso ona;58;41;60;Buena / Ona;131;6;8;Muy buena / Oso ona;20;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
