Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
28/10/2017;0,26;0,22;0,28;Muy buena / Oso ona;;8;28;60;Buena / Ona;38;0,54;15;Muy buena / Oso ona;2;Muy buena / Oso ona;1,21;Buena / Ona
27/10/2017;0,27;0,32;0,44;Muy buena / Oso ona;;38;34;64;Buena / Ona;92;2,17;33;Buena / Ona;10;Muy buena / Oso ona;3,02;Buena / Ona
26/10/2017;0,29;0,36;0,51;Muy buena / Oso ona;0,78;42;50;92;Buena / Ona;114;3,6;29;Buena / Ona;5;Muy buena / Oso ona;4,58;Buena / Ona
25/10/2017;0,32;0,46;0,57;Muy buena / Oso ona;0,89;62;62;80;Buena / Ona;157;3,93;43;Buena / Ona;13;Muy buena / Oso ona;6,85;Buena / Ona
24/10/2017;0,98;0,35;0,39;Muy buena / Oso ona;1,55;50;57;95;Buena / Ona;133;4,51;30;Buena / Ona;12;Muy buena / Oso ona;4,87;Buena / Ona
23/10/2017;0,27;0,27;0,34;Muy buena / Oso ona;;30;43;80;Buena / Ona;89;1,55;22;Muy buena / Oso ona;6;Muy buena / Oso ona;2,23;Buena / Ona
22/10/2017;0,18;0,19;0,24;Muy buena / Oso ona;;4;24;45;Muy buena / Oso ona;30;0,31;13;Muy buena / Oso ona;3;Muy buena / Oso ona;0,56;Muy buena / Oso ona
21/10/2017;0,18;0,15;0,31;Muy buena / Oso ona;;5;19;48;Muy buena / Oso ona;26;0,28;18;Muy buena / Oso ona;3;Muy buena / Oso ona;0,53;Muy buena / Oso ona
20/10/2017;0,22;0,29;0,35;Muy buena / Oso ona;0,41;29;46;91;Buena / Ona;90;1,67;19;Muy buena / Oso ona;5;Muy buena / Oso ona;2,87;Buena / Ona
19/10/2017;0,24;0,24;0,28;Muy buena / Oso ona;;22;45;76;Buena / Ona;78;1,18;14;Muy buena / Oso ona;4;Muy buena / Oso ona;1,77;Buena / Ona
18/10/2017;0,39;0,34;1,05;Muy buena / Oso ona;0,41;25;49;78;Buena / Ona;86;1,54;29;Buena / Ona;5;Muy buena / Oso ona;2,68;Buena / Ona
17/10/2017;0,6;0,49;0,99;Muy buena / Oso ona;0,26;14;41;69;Buena / Ona;62;1;41;Buena / Ona;4;Muy buena / Oso ona;2,05;Buena / Ona
16/10/2017;0,87;0,23;0,27;Muy buena / Oso ona;;5;21;47;Muy buena / Oso ona;29;2,21;33;Buena / Ona;2;Muy buena / Oso ona;1,46;Buena / Ona
