Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;4;8;13;Muy buena / Oso ona;14;59;84;Buena / Ona;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;332;83;1027,3;0;31,7;16;0,48;Buena / Ona
27/10/2017;7;13;27;Muy buena / Oso ona;23;48;78;Buena / Ona;18;Muy buena / Oso ona;1;4;Muy buena / Oso ona;308;86;1028,9;0;69,9;16;0,57;Buena / Ona
26/10/2017;7;19;48;Muy buena / Oso ona;29;49;69;Buena / Ona;23;Muy buena / Oso ona;1;7;Muy buena / Oso ona;176;65;1022,7;0;234,5;19;0,29;Buena / Ona
25/10/2017;18;40;66;Buena / Ona;67;16;27;Muy buena / Oso ona;27;Buena / Ona;2;11;Muy buena / Oso ona;180;76;1018,6;0;240,9;16;0,41;Buena / Ona
24/10/2017;22;37;55;Buena / Ona;71;16;32;Muy buena / Oso ona;24;Muy buena / Oso ona;1;8;Muy buena / Oso ona;133;72;1019,6;0;222,8;16;0,98;Buena / Ona
23/10/2017;5;16;29;Muy buena / Oso ona;23;37;59;Muy buena / Oso ona;10;Muy buena / Oso ona;1;4;Muy buena / Oso ona;186;77;1023,6;0;260,5;14;0,67;Muy buena / Oso ona
22/10/2017;2;4;6;Muy buena / Oso ona;8;62;70;Buena / Ona;9;Muy buena / Oso ona;1;2;Muy buena / Oso ona;225;81;1025,8;0;42,7;14;1,54;Buena / Ona
21/10/2017;1;4;6;Muy buena / Oso ona;6;70;76;Buena / Ona;15;Muy buena / Oso ona;1;2;Muy buena / Oso ona;270;70;1020,9;0;62,2;17;2,33;Buena / Ona
20/10/2017;;;;Sin datos / Daturik gabe;13;51;56;Muy buena / Oso ona;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;210;61;1012,2;0;240,4;20;1,26;Muy buena / Oso ona
19/10/2017;3;7;20;Muy buena / Oso ona;10;51;60;Muy buena / Oso ona;6;Muy buena / Oso ona;1;2;Muy buena / Oso ona;193;69;1008;0;230,2;17;1,29;Muy buena / Oso ona
18/10/2017;3;9;19;Muy buena / Oso ona;13;43;53;Muy buena / Oso ona;11;Muy buena / Oso ona;1;2;Muy buena / Oso ona;205;85;1007,4;0;17,6;15;0,72;Muy buena / Oso ona
17/10/2017;1;9;20;Muy buena / Oso ona;11;59;76;Buena / Ona;28;Buena / Ona;1;2;Muy buena / Oso ona;180;72;1012,4;0;103,4;20;1,16;Buena / Ona
