Date;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;343;81;1025,6;16,5;0,94;
27/10/2017;354;84;1027,2;16,2;0,91;
26/10/2017;46;74;1021,1;18,1;0,26;
25/10/2017;207;76;1017;16,5;0,59;
24/10/2017;172;67;1018;16,7;1,56;
23/10/2017;170;75;1022;14,4;1,4;
22/10/2017;282;78;1024,2;14,5;2,17;
21/10/2017;295;68;1019,3;17,5;5,26;
20/10/2017;199;63;1010,7;20,1;0,67;
19/10/2017;146;69;1006,6;17,7;1,93;
18/10/2017;231;80;1005,9;16,7;0,71;
17/10/2017;183;73;1011;20,2;0,55;
16/10/2017;71;69;1016,2;21,7;0,81;
15/10/2017;157;51;1014,9;25,9;4,75;
14/10/2017;155;73;1017,1;21,8;1,86;
13/10/2017;333;84;1019,1;18;1,15;
12/10/2017;177;84;1019,5;17,1;0,78;
11/10/2017;325;73;1016,1;18,2;0,54;
10/10/2017;206;84;1015,3;15,8;0,86;
09/10/2017;204;77;1017,5;15,1;0,76;
08/10/2017;202;77;1018,3;14,7;0,79;
07/10/2017;130;79;1019,9;14,8;1,24;
06/10/2017;341;82;1021,5;17,1;1,58;
05/10/2017;352;90;1019,8;19,2;2,4;
04/10/2017;277;88;1018,1;19,9;0,5;
03/10/2017;357;95;1018,9;19,4;0,55;
02/10/2017;360;94;1020;19,6;0,14;
01/10/2017;270;87;1018,1;18,5;0,75;
30/09/2017;360;92;1017,9;17,3;1;
29/09/2017;332;85;1016,8;19,2;1,23;
28/09/2017;162;74;1015,6;20,6;0,57;
27/09/2017;340;77;1014,4;18,7;0,45;
26/09/2017;120;82;1016,7;18,2;0,76;
25/09/2017;296;83;1017,6;18,3;1,99;
24/09/2017;307;83;1014,1;18,9;2,08;
23/09/2017;138;72;1013,4;21;1,86;
22/09/2017;27;90;1017,2;17,1;1,77;
21/09/2017;332;83;1013,8;17,2;0,52;
20/09/2017;157;72;1014,5;16,6;1,27;
19/09/2017;13;80;1020,2;16,3;0,34;
18/09/2017;18;91;1015,4;15,6;0,12;
17/09/2017;289;71;1013,5;16,1;2,13;
16/09/2017;245;79;1012,7;13,9;1,19;
15/09/2017;261;81;1013,8;14,4;1,59;
14/09/2017;306;72;1017,5;17,6;3,89;
13/09/2017;340;80;1016,1;19,5;0,3;
12/09/2017;301;80;1014,6;17,8;1,16;
11/09/2017;295;81;1010,4;18,3;5,31;
10/09/2017;288;73;1009,8;17,8;3,51;
09/09/2017;288;77;1005,8;17,2;5,66;
08/09/2017;346;73;1010,5;18,5;0,14;
07/09/2017;8;73;1017,8;18,8;0,84;
06/09/2017;344;80;1021,7;19,3;2,29;
05/09/2017;346;83;1018,4;20,3;1,02;
04/09/2017;337;86;1012,9;20,2;1,09;
03/09/2017;80;74;1010,7;19,9;0,56;
02/09/2017;346;70;1018,9;18,7;0,7;
01/09/2017;300;73;1019;18,5;3,53;
31/08/2017;353;78;1017,4;18,3;0,86;
30/08/2017;328;86;1010,3;20;2,2;
29/08/2017;324;85;1009,4;20,8;0,66;
28/08/2017;148;70;1009,4;23,3;2,44;
27/08/2017;162;77;1009,3;22,9;1,78;
26/08/2017;348;84;1009,5;22;0,56;
25/08/2017;354;84;1011,4;21,2;1,73;
24/08/2017;333;88;1012,1;20,8;2,4;
23/08/2017;2;81;1013,5;21,1;0,76;
22/08/2017;328;77;1010,9;22,2;3,18;
21/08/2017;152;61;1011,7;24;1,89;
20/08/2017;121;73;1019,9;19,2;0,44;
19/08/2017;22;78;1019,2;20,3;1,29;
18/08/2017;8;86;1016,3;20,8;0,77;
17/08/2017;330;77;1015,8;20,9;1,24;
16/08/2017;354;82;1017,3;20,9;1,62;
15/08/2017;338;83;1015,1;20,8;2,12;
14/08/2017;88;75;1008,5;23;0,91;
13/08/2017;318;77;1015,1;19,3;0,42;
12/08/2017;352;73;1019;18,1;0,35;
11/08/2017;349;72;1020,9;18,1;1,84;
10/08/2017;298;73;1021,8;17,8;5,36;
09/08/2017;300;70;1017,6;17,8;4,91;
08/08/2017;292;73;1015;18,2;3,76;
07/08/2017;297;82;1011,1;20;2,82;
06/08/2017;6;69;1017,8;20,1;2,24;
05/08/2017;344;94;1017,1;19,1;2,75;
04/08/2017;347;72;1012,7;24,6;1,33;
03/08/2017;339;83;1014,2;21,4;1,49;
02/08/2017;11;83;1013,9;20,6;1,25;
01/08/2017;18;83;1012,3;20,4;0,71;
31/07/2017;308;88;1009,2;19,3;0,96;
30/07/2017;289;83;1010,8;20,4;0,53;
