Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,87;0,37;1;13;32;Muy buena / Oso ona;15;62;79;Buena / Ona;18;Muy buena / Oso ona;1;3;Muy buena / Oso ona;0,86;313;90;1026,7;46,7;16,5;0,2;Buena / Ona
27/10/2017;0,66;0,49;4;16;54;Buena / Ona;22;50;72;Buena / Ona;26;Buena / Ona;1;4;Muy buena / Oso ona;0,96;238;94;1028,3;71,9;16,6;0,8;Buena / Ona
26/10/2017;2,95;1,19;4;19;37;Muy buena / Oso ona;25;55;73;Buena / Ona;34;Buena / Ona;1;5;Muy buena / Oso ona;2,91;160;71;1022,1;132,7;19,8;0,5;Buena / Ona
25/10/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;36;Buena / Ona;;;Sin datos / Daturik gabe;;265;83;1018;134,4;16,7;0,8;Buena / Ona
24/10/2017;2,17;2,21;16;38;67;Buena / Ona;62;26;41;Muy buena / Oso ona;29;Buena / Ona;3;11;Muy buena / Oso ona;3,58;221;74;1018,9;134,9;17,1;1,2;Buena / Ona
23/10/2017;0,96;0,53;4;17;34;Muy buena / Oso ona;24;45;62;Buena / Ona;14;Muy buena / Oso ona;5;6;Muy buena / Oso ona;1,53;235;82;1023;142,5;14,4;1,1;Buena / Ona
22/10/2017;0,43;0,07;1;7;10;Muy buena / Oso ona;8;65;72;Buena / Ona;14;Muy buena / Oso ona;4;5;Muy buena / Oso ona;0,49;291;87;1025,3;54,7;14,5;0,5;Buena / Ona
21/10/2017;0,39;0,09;1;6;7;Muy buena / Oso ona;7;72;76;Buena / Ona;22;Muy buena / Oso ona;4;5;Muy buena / Oso ona;0,27;343;75;1020,4;70,3;17,5;1,6;Buena / Ona
20/10/2017;1,04;0,72;3;15;29;Muy buena / Oso ona;20;52;62;Buena / Ona;15;Muy buena / Oso ona;5;6;Muy buena / Oso ona;1,49;212;65;1011,4;141,8;20,5;1,3;Buena / Ona
19/10/2017;1,09;0,68;4;14;47;Muy buena / Oso ona;20;51;60;Muy buena / Oso ona;10;Muy buena / Oso ona;6;7;Muy buena / Oso ona;1,37;162;72;1007,4;134,3;17,8;1,4;Muy buena / Oso ona
18/10/2017;0,98;1,03;2;16;29;Muy buena / Oso ona;19;48;57;Muy buena / Oso ona;20;Muy buena / Oso ona;5;5;Muy buena / Oso ona;1,27;214;90;1006,8;25,6;16;0,6;Muy buena / Oso ona
17/10/2017;2,99;3,19;2;19;34;Muy buena / Oso ona;22;56;74;Buena / Ona;42;Buena / Ona;6;9;Muy buena / Oso ona;4,5;160;77;1011,6;77,4;20,7;2,5;Buena / Ona
16/10/2017;1,36;0,96;2;13;31;Muy buena / Oso ona;16;69;76;Buena / Ona;40;Buena / Ona;5;5;Muy buena / Oso ona;1,88;171;77;1016,9;138;22;3,5;Buena / Ona
15/10/2017;1,89;1,73;2;10;12;Muy buena / Oso ona;12;70;79;Buena / Ona;36;Buena / Ona;5;5;Muy buena / Oso ona;3,21;165;55;1015,3;97,5;26;7,5;Buena / Ona
14/10/2017;3,35;2,2;2;19;46;Muy buena / Oso ona;22;60;78;Buena / Ona;55;Mejorable / Hobetzeko modukoa;4;7;Muy buena / Oso ona;4;149;83;1018;154,9;21,6;0,9;Mejorable / Hobetzeko modukoa
13/10/2017;1,52;0,59;7;32;70;Buena / Ona;42;36;62;Buena / Ona;57;Mejorable / Hobetzeko modukoa;4;8;Muy buena / Oso ona;1,46;336;91;1020;144,3;18,7;0,8;Mejorable / Hobetzeko modukoa
12/10/2017;2;1,06;4;18;38;Muy buena / Oso ona;24;43;66;Buena / Ona;32;Buena / Ona;4;10;Muy buena / Oso ona;1,93;259;94;1020,5;157,1;16,9;0,9;Buena / Ona
11/10/2017;0,9;0,7;2;16;31;Muy buena / Oso ona;20;57;77;Buena / Ona;29;Buena / Ona;4;5;Muy buena / Oso ona;2,82;315;77;1016,9;148,7;18,6;0,7;Buena / Ona
