Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;;;;Sin datos / Daturik gabe;4;66;70;Buena / Ona;35;92;980;39,8;12,8;3,46;Buena / Ona
27/10/2017;;;;Sin datos / Daturik gabe;16;65;73;Buena / Ona;12;89;981,6;58,4;14,6;3,6;Buena / Ona
26/10/2017;;;;Sin datos / Daturik gabe;18;72;82;Buena / Ona;271;54;976,1;293,9;19,1;2,51;Buena / Ona
25/10/2017;;;;Sin datos / Daturik gabe;39;44;74;Buena / Ona;207;42;972,1;298,3;21,4;2,26;Buena / Ona
24/10/2017;;;;Sin datos / Daturik gabe;13;67;77;Buena / Ona;214;32;973;274,1;21;1,57;Buena / Ona
23/10/2017;;;;Sin datos / Daturik gabe;15;58;81;Buena / Ona;204;62;976,3;307,9;14,3;1,46;Buena / Ona
22/10/2017;;;;Sin datos / Daturik gabe;6;67;76;Buena / Ona;299;86;978,2;51;10,9;5,22;Buena / Ona
21/10/2017;;;;Sin datos / Daturik gabe;3;67;71;Buena / Ona;312;81;973,6;71,1;13,4;9,82;Buena / Ona
20/10/2017;;;;Sin datos / Daturik gabe;13;50;65;Buena / Ona;236;62;965,8;288;18,3;7,94;Buena / Ona
19/10/2017;;;;Sin datos / Daturik gabe;8;60;65;Buena / Ona;244;67;961,4;254,4;14,9;5,47;Buena / Ona
18/10/2017;;;;Sin datos / Daturik gabe;9;65;77;Buena / Ona;257;77;960,7;21,3;13,9;5,52;Buena / Ona
17/10/2017;;;;Sin datos / Daturik gabe;11;62;71;Buena / Ona;195;70;966,1;109,4;18,3;7,03;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;8;61;74;Buena / Ona;229;76;971,3;247,1;18,2;2,93;Buena / Ona
15/10/2017;;;;Sin datos / Daturik gabe;6;67;83;Buena / Ona;214;48;970,6;159,6;23,8;9,66;Buena / Ona
14/10/2017;;;;Sin datos / Daturik gabe;13;60;83;Buena / Ona;196;68;972,6;316,9;20,8;5,04;Buena / Ona
13/10/2017;;;;Sin datos / Daturik gabe;21;66;98;Buena / Ona;222;67;974;241,2;18,7;0,93;Buena / Ona
