Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
28/10/2017;15;25;57;Buena / Ona;48;15;Muy buena / Oso ona;Buena / Ona
27/10/2017;37;25;52;Buena / Ona;82;28;Buena / Ona;Buena / Ona
26/10/2017;44;37;77;Buena / Ona;105;31;Buena / Ona;Buena / Ona
25/10/2017;48;35;72;Buena / Ona;109;28;Buena / Ona;Buena / Ona
24/10/2017;40;31;52;Buena / Ona;92;20;Muy buena / Oso ona;Buena / Ona
23/10/2017;21;26;57;Buena / Ona;58;16;Muy buena / Oso ona;Buena / Ona
22/10/2017;7;16;34;Muy buena / Oso ona;27;9;Muy buena / Oso ona;Muy buena / Oso ona
21/10/2017;9;21;37;Muy buena / Oso ona;34;16;Muy buena / Oso ona;Muy buena / Oso ona
20/10/2017;45;35;67;Buena / Ona;107;22;Muy buena / Oso ona;Buena / Ona
19/10/2017;19;29;50;Muy buena / Oso ona;57;14;Muy buena / Oso ona;Muy buena / Oso ona
18/10/2017;25;36;57;Buena / Ona;76;19;Muy buena / Oso ona;Buena / Ona
17/10/2017;26;36;70;Buena / Ona;76;28;Buena / Ona;Buena / Ona
16/10/2017;15;29;78;Buena / Ona;52;32;Buena / Ona;Buena / Ona
15/10/2017;6;21;40;Muy buena / Oso ona;30;25;Muy buena / Oso ona;Muy buena / Oso ona
14/10/2017;9;20;33;Muy buena / Oso ona;33;29;Buena / Ona;Buena / Ona
13/10/2017;22;23;39;Muy buena / Oso ona;56;36;Buena / Ona;Buena / Ona
12/10/2017;9;16;43;Muy buena / Oso ona;30;27;Buena / Ona;Buena / Ona
11/10/2017;23;24;43;Muy buena / Oso ona;59;26;Buena / Ona;Buena / Ona
10/10/2017;11;21;49;Muy buena / Oso ona;37;18;Muy buena / Oso ona;Muy buena / Oso ona
09/10/2017;17;21;42;Muy buena / Oso ona;47;19;Muy buena / Oso ona;Muy buena / Oso ona
08/10/2017;9;16;36;Muy buena / Oso ona;29;16;Muy buena / Oso ona;Muy buena / Oso ona
07/10/2017;10;17;43;Muy buena / Oso ona;32;15;Muy buena / Oso ona;Muy buena / Oso ona
06/10/2017;11;20;45;Muy buena / Oso ona;37;15;Muy buena / Oso ona;Muy buena / Oso ona
05/10/2017;17;14;23;Muy buena / Oso ona;40;19;Muy buena / Oso ona;Muy buena / Oso ona
04/10/2017;22;19;37;Muy buena / Oso ona;52;20;Muy buena / Oso ona;Muy buena / Oso ona
03/10/2017;23;16;24;Muy buena / Oso ona;51;15;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;31;23;37;Muy buena / Oso ona;70;13;Muy buena / Oso ona;Muy buena / Oso ona
01/10/2017;18;18;31;Muy buena / Oso ona;45;15;Muy buena / Oso ona;Muy buena / Oso ona
30/09/2017;8;18;32;Muy buena / Oso ona;31;17;Muy buena / Oso ona;Muy buena / Oso ona
29/09/2017;26;25;47;Muy buena / Oso ona;65;32;Buena / Ona;Buena / Ona
28/09/2017;26;25;62;Buena / Ona;65;28;Buena / Ona;Buena / Ona
27/09/2017;18;24;56;Buena / Ona;51;22;Muy buena / Oso ona;Buena / Ona
26/09/2017;14;24;44;Muy buena / Oso ona;45;17;Muy buena / Oso ona;Muy buena / Oso ona
25/09/2017;14;25;49;Muy buena / Oso ona;47;16;Muy buena / Oso ona;Muy buena / Oso ona
24/09/2017;8;17;53;Buena / Ona;29;23;Muy buena / Oso ona;Buena / Ona
23/09/2017;11;17;38;Muy buena / Oso ona;33;20;Muy buena / Oso ona;Muy buena / Oso ona
22/09/2017;21;21;40;Muy buena / Oso ona;53;19;Muy buena / Oso ona;Muy buena / Oso ona
21/09/2017;26;21;35;Muy buena / Oso ona;61;26;Buena / Ona;Buena / Ona
20/09/2017;13;22;50;Muy buena / Oso ona;42;16;Muy buena / Oso ona;Muy buena / Oso ona
19/09/2017;14;18;37;Muy buena / Oso ona;39;13;Muy buena / Oso ona;Muy buena / Oso ona
18/09/2017;17;24;38;Muy buena / Oso ona;51;12;Muy buena / Oso ona;Muy buena / Oso ona
