Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;ICA Estación
28/10/2017;65;69;Buena / Ona;Buena / Ona
27/10/2017;63;89;Buena / Ona;Buena / Ona
26/10/2017;73;90;Buena / Ona;Buena / Ona
25/10/2017;67;76;Buena / Ona;Buena / Ona
24/10/2017;74;81;Buena / Ona;Buena / Ona
23/10/2017;65;77;Buena / Ona;Buena / Ona
22/10/2017;61;64;Buena / Ona;Buena / Ona
21/10/2017;60;64;Buena / Ona;Buena / Ona
20/10/2017;55;68;Buena / Ona;Buena / Ona
19/10/2017;55;61;Buena / Ona;Buena / Ona
18/10/2017;;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
17/10/2017;;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
16/10/2017;;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
15/10/2017;;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
14/10/2017;;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
13/10/2017;;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
12/10/2017;88;102;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
11/10/2017;80;88;Buena / Ona;Buena / Ona
10/10/2017;75;80;Buena / Ona;Buena / Ona
09/10/2017;81;93;Buena / Ona;Buena / Ona
08/10/2017;84;86;Buena / Ona;Buena / Ona
07/10/2017;81;82;Buena / Ona;Buena / Ona
06/10/2017;66;72;Buena / Ona;Buena / Ona
05/10/2017;57;69;Buena / Ona;Buena / Ona
04/10/2017;46;69;Buena / Ona;Buena / Ona
03/10/2017;32;44;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;42;56;Muy buena / Oso ona;Muy buena / Oso ona
01/10/2017;51;71;Buena / Ona;Buena / Ona
30/09/2017;70;81;Buena / Ona;Buena / Ona
29/09/2017;96;113;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
28/09/2017;100;117;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
27/09/2017;87;109;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
26/09/2017;69;78;Buena / Ona;Buena / Ona
25/09/2017;73;92;Buena / Ona;Buena / Ona
24/09/2017;99;115;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
23/09/2017;87;105;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
22/09/2017;59;64;Buena / Ona;Buena / Ona
21/09/2017;82;100;Buena / Ona;Buena / Ona
20/09/2017;90;99;Buena / Ona;Buena / Ona
19/09/2017;76;81;Buena / Ona;Buena / Ona
18/09/2017;62;70;Buena / Ona;Buena / Ona
17/09/2017;69;78;Buena / Ona;Buena / Ona
16/09/2017;69;75;Buena / Ona;Buena / Ona
15/09/2017;65;68;Buena / Ona;Buena / Ona
14/09/2017;66;76;Buena / Ona;Buena / Ona
13/09/2017;66;82;Buena / Ona;Buena / Ona
12/09/2017;70;75;Buena / Ona;Buena / Ona
11/09/2017;60;70;Buena / Ona;Buena / Ona
10/09/2017;70;80;Buena / Ona;Buena / Ona
09/09/2017;70;75;Buena / Ona;Buena / Ona
08/09/2017;73;82;Buena / Ona;Buena / Ona
07/09/2017;70;74;Buena / Ona;Buena / Ona
06/09/2017;66;71;Buena / Ona;Buena / Ona
05/09/2017;62;75;Buena / Ona;Buena / Ona
04/09/2017;58;66;Buena / Ona;Buena / Ona
03/09/2017;74;92;Buena / Ona;Buena / Ona
02/09/2017;77;88;Buena / Ona;Buena / Ona
