Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
28/10/2017;;;;Sin datos / Daturik gabe;7;36;59;Muy buena / Oso ona;15;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
27/10/2017;;;;Sin datos / Daturik gabe;22;31;58;Muy buena / Oso ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
26/10/2017;;;;Sin datos / Daturik gabe;24;27;70;Buena / Ona;21;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
25/10/2017;;;;Sin datos / Daturik gabe;33;14;37;Muy buena / Oso ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
24/10/2017;9;12;26;Muy buena / Oso ona;22;15;47;Muy buena / Oso ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
23/10/2017;;;;Sin datos / Daturik gabe;11;21;49;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
22/10/2017;;;;Sin datos / Daturik gabe;;48;62;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
21/10/2017;;;;Sin datos / Daturik gabe;;59;69;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
20/10/2017;;;;Sin datos / Daturik gabe;23;27;57;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
19/10/2017;;;;Sin datos / Daturik gabe;;27;55;Muy buena / Oso ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
18/10/2017;;;;Sin datos / Daturik gabe;12;22;36;Muy buena / Oso ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
17/10/2017;;;;Sin datos / Daturik gabe;12;30;59;Muy buena / Oso ona;33;Buena / Ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;8;51;71;Buena / Ona;33;Buena / Ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
15/10/2017;;;;Sin datos / Daturik gabe;7;34;58;Muy buena / Oso ona;28;Buena / Ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
14/10/2017;;;;Sin datos / Daturik gabe;;41;77;Buena / Ona;34;Buena / Ona;19;Buena / Ona;1;Muy buena / Oso ona;Buena / Ona
13/10/2017;;;;Sin datos / Daturik gabe;14;30;69;Buena / Ona;35;Buena / Ona;19;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
12/10/2017;;;;Sin datos / Daturik gabe;8;29;60;Muy buena / Oso ona;26;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
11/10/2017;;;;Sin datos / Daturik gabe;18;23;65;Buena / Ona;23;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
10/10/2017;;;;Sin datos / Daturik gabe;8;25;53;Muy buena / Oso ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
09/10/2017;;;;Sin datos / Daturik gabe;8;32;68;Buena / Ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
08/10/2017;;;;Sin datos / Daturik gabe;6;33;71;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
07/10/2017;;;;Sin datos / Daturik gabe;5;32;62;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
06/10/2017;;;;Sin datos / Daturik gabe;;40;69;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
05/10/2017;;;;Sin datos / Daturik gabe;;40;69;Buena / Ona;23;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
04/10/2017;;;;Sin datos / Daturik gabe;10;22;47;Muy buena / Oso ona;22;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
