Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
28/10/2017;0,55;0,23;0,29;Muy buena / Oso ona;0,38;4;21;44;Muy buena / Oso ona;27;33;55;Muy buena / Oso ona;1,26;19;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;1,45;Muy buena / Oso ona
27/10/2017;0,92;0,27;0,37;Muy buena / Oso ona;0,66;31;28;61;Buena / Ona;75;21;42;Muy buena / Oso ona;2,37;45;Buena / Ona;18;Buena / Ona;6;Muy buena / Oso ona;3,38;Buena / Ona
26/10/2017;0,63;0,31;0,43;Muy buena / Oso ona;0,89;33;33;70;Buena / Ona;83;22;64;Buena / Ona;2,55;36;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;2,9;Buena / Ona
25/10/2017;1,27;0,42;;Sin datos / Daturik gabe;0,81;36;35;80;Buena / Ona;90;12;;Sin datos / Daturik gabe;2,87;41;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;4,05;Buena / Ona
24/10/2017;0,87;0,31;0,4;Muy buena / Oso ona;0,52;24;37;77;Buena / Ona;73;14;38;Muy buena / Oso ona;2,3;38;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3,52;Buena / Ona
23/10/2017;56,8;;;Sin datos / Daturik gabe;;11;19;32;Muy buena / Oso ona;36;22;52;Muy buena / Oso ona;;19;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
22/10/2017;162,6;0,16;0,21;Muy buena / Oso ona;;3;13;18;Muy buena / Oso ona;16;38;54;Muy buena / Oso ona;;17;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
21/10/2017;118,41;0,21;0,24;Muy buena / Oso ona;;3;13;23;Muy buena / Oso ona;17;52;62;Buena / Ona;;29;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
20/10/2017;0,35;0,26;;Sin datos / Daturik gabe;0,21;21;28;52;Buena / Ona;60;17;46;Muy buena / Oso ona;0,76;30;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1,17;Buena / Ona
19/10/2017;0,22;0,23;0,3;Muy buena / Oso ona;0,18;6;18;36;Muy buena / Oso ona;28;29;53;Muy buena / Oso ona;0,15;17;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;0,21;Muy buena / Oso ona
