Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;16;26;Muy buena / Oso ona;50;37;Muy buena / Oso ona;3;Muy buena / Oso ona;121;90;1015,9;3,3;10,3;1,33
29/10/2017;06:00;7;22;Muy buena / Oso ona;32;21;Muy buena / Oso ona;3;Muy buena / Oso ona;121;91;1016,1;0,1;10,1;1,12
29/10/2017;05:00;3;18;Muy buena / Oso ona;23;23;Muy buena / Oso ona;3;Muy buena / Oso ona;135;92;1016;0,1;9,7;0,92
29/10/2017;04:00;3;18;Muy buena / Oso ona;22;25;Muy buena / Oso ona;3;Muy buena / Oso ona;130;93;1016;0,1;9,3;1,29
29/10/2017;03:00;2;20;Muy buena / Oso ona;22;20;Muy buena / Oso ona;3;Muy buena / Oso ona;137;92;1016,2;0,1;9,6;1,19
29/10/2017;02:00;2;20;Muy buena / Oso ona;22;23;Muy buena / Oso ona;3;Muy buena / Oso ona;126;92;1016,6;0,1;9,8;1,31
29/10/2017;01:00;2;26;Muy buena / Oso ona;29;27;Muy buena / Oso ona;3;Muy buena / Oso ona;146;92;1016,9;0,1;10,1;1,36
28/10/2017;24:00;5;34;Muy buena / Oso ona;41;24;Muy buena / Oso ona;3;Muy buena / Oso ona;136;90;1017,4;0,1;10,9;1,45
28/10/2017;23:00;8;42;Muy buena / Oso ona;54;23;Muy buena / Oso ona;3;Muy buena / Oso ona;130;89;1017,6;0,1;11,3;1,22
28/10/2017;22:00;13;53;Muy buena / Oso ona;72;23;Muy buena / Oso ona;3;Muy buena / Oso ona;107;88;1017,7;0,1;12;1,17
28/10/2017;21:00;7;52;Muy buena / Oso ona;62;18;Muy buena / Oso ona;3;Muy buena / Oso ona;104;84;1017,7;0,1;12,9;0,82
28/10/2017;20:00;3;38;Muy buena / Oso ona;41;15;Muy buena / Oso ona;3;Muy buena / Oso ona;19;77;1017,8;0,1;14,5;0,19
28/10/2017;19:00;3;39;Muy buena / Oso ona;43;12;Muy buena / Oso ona;3;Muy buena / Oso ona;42;71;1017,8;0,1;15,9;0,45
28/10/2017;18:00;1;11;Muy buena / Oso ona;12;11;Muy buena / Oso ona;3;Muy buena / Oso ona;49;70;1017,6;1,3;15,9;0,86
28/10/2017;17:00;1;10;Muy buena / Oso ona;12;17;Muy buena / Oso ona;3;Muy buena / Oso ona;55;75;1017,3;30,3;16,5;1,31
28/10/2017;16:00;1;7;Muy buena / Oso ona;9;14;Muy buena / Oso ona;3;Muy buena / Oso ona;44;72;1017;95,1;17,5;1,63
28/10/2017;15:00;1;3;Muy buena / Oso ona;5;14;Muy buena / Oso ona;3;Muy buena / Oso ona;48;72;1016,9;163,3;17,9;1,87
28/10/2017;14:00;1;5;Muy buena / Oso ona;7;11;Muy buena / Oso ona;3;Muy buena / Oso ona;35;72;1017;211,4;18;1,86
28/10/2017;13:00;1;6;Muy buena / Oso ona;8;6;Muy buena / Oso ona;3;Muy buena / Oso ona;37;72;1017,7;204,8;18;1,55
28/10/2017;12:00;1;7;Muy buena / Oso ona;9;12;Muy buena / Oso ona;3;Muy buena / Oso ona;46;78;1018,5;174,6;17,6;1,58
28/10/2017;11:00;6;24;Muy buena / Oso ona;33;27;Muy buena / Oso ona;3;Muy buena / Oso ona;337;83;1018,9;170,1;17,4;1,54
28/10/2017;10:00;26;50;Muy buena / Oso ona;89;40;Muy buena / Oso ona;4;Muy buena / Oso ona;356;85;1019;152,9;17,4;0,29
28/10/2017;09:00;23;45;Muy buena / Oso ona;80;31;Muy buena / Oso ona;3;Muy buena / Oso ona;54;91;1019,1;88,6;15,7;0,47
28/10/2017;08:00;14;44;Muy buena / Oso ona;65;23;Muy buena / Oso ona;3;Muy buena / Oso ona;147;95;1019;35,5;14,6;0,91
28/10/2017;07:00;2;27;Muy buena / Oso ona;30;18;Muy buena / Oso ona;2;Muy buena / Oso ona;156;92;1019;2,9;15,1;0,22
28/10/2017;06:00;1;19;Muy buena / Oso ona;20;15;Muy buena / Oso ona;3;Muy buena / Oso ona;344;92;1019;0,1;15,3;0,73
28/10/2017;05:00;1;8;Muy buena / Oso ona;9;20;Muy buena / Oso ona;3;Muy buena / Oso ona;338;91;1019,3;0,1;15,6;0,62
28/10/2017;04:00;1;4;Muy buena / Oso ona;6;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;332;86;1019,3;0,1;16;1,52
28/10/2017;03:00;1;3;Muy buena / Oso ona;5;22;Muy buena / Oso ona;3;Muy buena / Oso ona;12;85;1019,6;0,1;16,2;1,42
28/10/2017;02:00;1;3;Muy buena / Oso ona;5;21;Muy buena / Oso ona;3;Muy buena / Oso ona;340;83;1019,9;0,1;16,3;1,31
28/10/2017;01:00;1;5;Muy buena / Oso ona;7;19;Muy buena / Oso ona;3;Muy buena / Oso ona;339;83;1020,3;0,1;16,4;1,27
27/10/2017;24:00;1;6;Muy buena / Oso ona;8;13;Muy buena / Oso ona;3;Muy buena / Oso ona;332;81;1020,6;0,1;16,7;1,09
27/10/2017;23:00;1;7;Muy buena / Oso ona;9;5;Muy buena / Oso ona;3;Muy buena / Oso ona;335;81;1020,8;0,1;16,7;1,29
27/10/2017;22:00;1;6;Muy buena / Oso ona;8;9;Muy buena / Oso ona;3;Muy buena / Oso ona;5;83;1020,8;0,1;16,6;1,54
27/10/2017;21:00;1;10;Muy buena / Oso ona;11;14;Muy buena / Oso ona;3;Muy buena / Oso ona;339;86;1020,6;0,1;16,7;1,16
27/10/2017;20:00;1;10;Muy buena / Oso ona;11;17;Muy buena / Oso ona;3;Muy buena / Oso ona;18;88;1020,6;0,1;16,8;1,89
27/10/2017;19:00;1;20;Muy buena / Oso ona;21;23;Muy buena / Oso ona;3;Muy buena / Oso ona;335;87;1020,4;0,1;17,3;1,67
27/10/2017;18:00;1;14;Muy buena / Oso ona;15;26;Muy buena / Oso ona;3;Muy buena / Oso ona;332;86;1020,4;0,7;17,5;2,22
27/10/2017;17:00;1;16;Muy buena / Oso ona;17;27;Muy buena / Oso ona;3;Muy buena / Oso ona;331;83;1020,3;17,8;17,8;2,11
27/10/2017;16:00;2;17;Muy buena / Oso ona;19;24;Muy buena / Oso ona;3;Muy buena / Oso ona;333;80;1020,3;68,8;18,3;2,16
27/10/2017;15:00;3;27;Muy buena / Oso ona;31;35;Muy buena / Oso ona;3;Muy buena / Oso ona;345;79;1020,2;65,7;18,6;1,74
27/10/2017;14:00;4;20;Muy buena / Oso ona;26;33;Muy buena / Oso ona;4;Muy buena / Oso ona;8;76;1020;162,8;19,1;2,1
27/10/2017;13:00;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;343;71;1020,2;203,3;19,5;1,3
27/10/2017;12:00;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;23;66;1020,5;;20,5;0,32
27/10/2017;11:00;83;55;Muy buena / Oso ona;182;61;Mejorable / Hobetzeko modukoa;6;Muy buena / Oso ona;165;74;1020,4;292,6;17,4;0,76
27/10/2017;10:00;106;49;Muy buena / Oso ona;211;74;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;134;81;1020,6;204,3;14,7;0,91
27/10/2017;09:00;125;48;Muy buena / Oso ona;239;63;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;166;87;1020,6;82,1;12,5;1,3
27/10/2017;08:00;100;40;Muy buena / Oso ona;193;58;Buena / Ona;5;Muy buena / Oso ona;137;90;1020,2;25,5;11,4;1,65
27/10/2017;07:00;106;40;Muy buena / Oso ona;202;46;Buena / Ona;4;Muy buena / Oso ona;126;91;1019,8;2;11;1,2
27/10/2017;06:00;84;36;Muy buena / Oso ona;164;37;Muy buena / Oso ona;4;Muy buena / Oso ona;106;91;1019,4;0,1;11,2;1,49
27/10/2017;05:00;38;28;Muy buena / Oso ona;87;29;Muy buena / Oso ona;4;Muy buena / Oso ona;125;92;1019;0,1;11,2;1,34
27/10/2017;04:00;23;31;Muy buena / Oso ona;66;30;Muy buena / Oso ona;4;Muy buena / Oso ona;143;92;1018,5;0,1;11,5;1,22
27/10/2017;03:00;27;32;Muy buena / Oso ona;73;29;Muy buena / Oso ona;4;Muy buena / Oso ona;136;91;1018,6;0,1;11,9;1,14
27/10/2017;02:00;9;32;Muy buena / Oso ona;46;32;Muy buena / Oso ona;3;Muy buena / Oso ona;164;93;1018,8;0,1;11,9;1,52
27/10/2017;01:00;8;34;Muy buena / Oso ona;46;38;Muy buena / Oso ona;3;Muy buena / Oso ona;150;91;1019;0,1;12,5;1,54
26/10/2017;24:00;12;42;Muy buena / Oso ona;60;33;Muy buena / Oso ona;3;Muy buena / Oso ona;127;89;1018,9;0,1;13,2;1,51
26/10/2017;23:00;21;47;Muy buena / Oso ona;78;40;Muy buena / Oso ona;3;Muy buena / Oso ona;120;87;1018,7;0,1;13,9;1,29
26/10/2017;22:00;27;57;Muy buena / Oso ona;99;44;Buena / Ona;4;Muy buena / Oso ona;163;86;1018,2;0,1;14,5;1,26
26/10/2017;21:00;32;64;Muy buena / Oso ona;114;35;Muy buena / Oso ona;3;Muy buena / Oso ona;147;84;1017,6;0,1;15,2;1,14
26/10/2017;20:00;28;72;Muy buena / Oso ona;114;44;Buena / Ona;4;Muy buena / Oso ona;156;81;1017,2;0,1;16,3;1,37
26/10/2017;19:00;25;73;Muy buena / Oso ona;111;41;Buena / Ona;4;Muy buena / Oso ona;165;75;1017;0,1;17,8;1,06
26/10/2017;18:00;2;44;Muy buena / Oso ona;47;36;Muy buena / Oso ona;3;Muy buena / Oso ona;21;69;1016,5;2,1;19,1;1,01
26/10/2017;17:00;3;42;Muy buena / Oso ona;47;37;Muy buena / Oso ona;4;Muy buena / Oso ona;347;62;1015,9;33,5;21;1,31
26/10/2017;16:00;2;20;Muy buena / Oso ona;22;24;Muy buena / Oso ona;4;Muy buena / Oso ona;345;56;1015,3;138,6;22;2,24
26/10/2017;15:00;2;12;Muy buena / Oso ona;14;21;Muy buena / Oso ona;4;Muy buena / Oso ona;343;54;1014,7;262,4;22,4;2,67
26/10/2017;14:00;3;16;Muy buena / Oso ona;20;26;Muy buena / Oso ona;4;Muy buena / Oso ona;343;56;1014,3;346,7;22,4;3,09
26/10/2017;13:00;5;25;Muy buena / Oso ona;33;31;Muy buena / Oso ona;4;Muy buena / Oso ona;350;59;1013,9;389,6;22;2,68
26/10/2017;12:00;8;28;Muy buena / Oso ona;40;35;Muy buena / Oso ona;3;Muy buena / Oso ona;322;58;1013,7;417,1;21,8;3,19
26/10/2017;11:00;27;49;Muy buena / Oso ona;90;56;Buena / Ona;3;Muy buena / Oso ona;312;67;1013,4;386,4;20,7;2,86
26/10/2017;10:00;39;57;Muy buena / Oso ona;117;64;Mejorable / Hobetzeko modukoa;4;Muy buena / Oso ona;314;70;1013;315,6;19,5;2,12
26/10/2017;09:00;117;73;Muy buena / Oso ona;252;20;Muy buena / Oso ona;5;Muy buena / Oso ona;177;62;1012,6;211,5;18,4;0,96
26/10/2017;08:00;100;75;Muy buena / Oso ona;228;33;Muy buena / Oso ona;4;Muy buena / Oso ona;170;63;1012,1;63,4;16,5;2,61
26/10/2017;07:00;70;68;Muy buena / Oso ona;175;46;Buena / Ona;4;Muy buena / Oso ona;150;64;1011,5;4,1;15,9;2,8
26/10/2017;06:00;97;67;Muy buena / Oso ona;216;72;Mejorable / Hobetzeko modukoa;4;Muy buena / Oso ona;167;64;1010,9;0,1;16,1;2,5
26/10/2017;05:00;78;55;Muy buena / Oso ona;174;47;Buena / Ona;4;Muy buena / Oso ona;158;76;1010,3;0,1;13,9;1,92
26/10/2017;04:00;27;46;Muy buena / Oso ona;87;35;Muy buena / Oso ona;4;Muy buena / Oso ona;149;75;1009,8;0,1;14,2;1,35
26/10/2017;03:00;13;42;Muy buena / Oso ona;61;39;Muy buena / Oso ona;4;Muy buena / Oso ona;156;77;1009,9;0,1;14,2;1,9
26/10/2017;02:00;8;41;Muy buena / Oso ona;54;32;Muy buena / Oso ona;4;Muy buena / Oso ona;171;75;1010;0,1;14,6;2,61
26/10/2017;01:00;12;46;Muy buena / Oso ona;64;31;Muy buena / Oso ona;4;Muy buena / Oso ona;163;78;1010;0,1;14,5;2,26
25/10/2017;24:00;14;54;Muy buena / Oso ona;75;31;Muy buena / Oso ona;4;Muy buena / Oso ona;164;78;1010;0,1;15,1;2,42
25/10/2017;23:00;22;61;Muy buena / Oso ona;95;40;Muy buena / Oso ona;4;Muy buena / Oso ona;163;83;1010,1;0,1;15;2,63
25/10/2017;22:00;32;68;Muy buena / Oso ona;116;46;Buena / Ona;4;Muy buena / Oso ona;157;84;1010,2;0,1;15,3;2,74
25/10/2017;21:00;47;73;Muy buena / Oso ona;144;49;Buena / Ona;5;Muy buena / Oso ona;165;84;1009,9;0,1;15,7;2,57
25/10/2017;20:00;88;80;Muy buena / Oso ona;214;62;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;154;83;1009,7;0,1;16,3;1,55
25/10/2017;19:00;85;88;Muy buena / Oso ona;217;66;Mejorable / Hobetzeko modukoa;6;Muy buena / Oso ona;151;77;1009,6;0,1;17,4;0,67
25/10/2017;18:00;56;97;Muy buena / Oso ona;182;63;Mejorable / Hobetzeko modukoa;6;Muy buena / Oso ona;326;70;1009,6;2,6;18,6;1,23
