Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;10;33;Muy buena / Oso ona;49;2;"Muy buena / ";5;22;Muy buena / Oso ona;15;Muy buena / Oso ona;11;Muy buena / Oso ona
29/10/2017;06:00;5;29;Muy buena / Oso ona;37;3;"Muy buena / ";6;15;Muy buena / Oso ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;05:00;2;27;Muy buena / Oso ona;30;6;"Muy buena / ";8;17;Muy buena / Oso ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;04:00;3;27;Muy buena / Oso ona;31;6;"Muy buena / ";9;21;Muy buena / Oso ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona
29/10/2017;03:00;1;27;Muy buena / Oso ona;29;;"Sin datos / ";14;20;Muy buena / Oso ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona
29/10/2017;02:00;1;29;Muy buena / Oso ona;31;8;"Muy buena / ";18;18;Muy buena / Oso ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona
29/10/2017;01:00;2;34;Muy buena / Oso ona;36;8;"Muy buena / ";23;25;Muy buena / Oso ona;19;Muy buena / Oso ona;8;Muy buena / Oso ona
28/10/2017;24:00;1;32;Muy buena / Oso ona;34;14;"Muy buena / ";30;26;Muy buena / Oso ona;20;Muy buena / Oso ona;6;Muy buena / Oso ona
28/10/2017;23:00;3;44;Muy buena / Oso ona;49;7;"Muy buena / ";34;20;Muy buena / Oso ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona
28/10/2017;22:00;4;49;Muy buena / Oso ona;55;11;"Muy buena / ";41;12;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;21:00;6;54;Muy buena / Oso ona;62;14;"Muy buena / ";47;11;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;20:00;1;30;Muy buena / Oso ona;31;38;"Muy buena / ";53;14;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;19:00;1;44;Muy buena / Oso ona;39;31;"Muy buena / ";54;12;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;18:00;;;Sin datos / Daturik gabe;15;54;"Muy buena / ";56;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;17:00;;;Sin datos / Daturik gabe;14;56;"Muy buena / ";50;13;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;16:00;;;Sin datos / Daturik gabe;7;63;"Buena / ";44;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;15:00;;;Sin datos / Daturik gabe;12;60;"Muy buena / ";37;8;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;14:00;;;Sin datos / Daturik gabe;7;60;"Muy buena / ";31;16;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;13:00;1;7;Muy buena / Oso ona;9;59;"Muy buena / ";29;20;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;12:00;2;12;Muy buena / Oso ona;15;50;"Muy buena / ";29;19;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;11:00;3;23;Muy buena / Oso ona;27;42;"Muy buena / ";30;27;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;10:00;20;47;Muy buena / Oso ona;78;12;"Muy buena / ";34;31;Muy buena / Oso ona;21;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;09:00;19;44;Muy buena / Oso ona;74;7;"Muy buena / ";37;26;Muy buena / Oso ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;08:00;17;51;Muy buena / Oso ona;76;5;"Muy buena / ";45;20;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;07:00;5;44;Muy buena / Oso ona;52;15;"Muy buena / ";52;17;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;06:00;;;Sin datos / Daturik gabe;22;41;"Muy buena / ";60;16;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;05:00;;;Sin datos / Daturik gabe;9;57;"Muy buena / ";62;17;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;04:00;;;Sin datos / Daturik gabe;6;64;"Buena / ";61;14;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;03:00;;;Sin datos / Daturik gabe;3;;"Sin datos / ";60;16;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;02:00;;;Sin datos / Daturik gabe;4;67;"Buena / ";56;16;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;01:00;;;Sin datos / Daturik gabe;7;66;"Buena / ";56;15;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;24:00;;;Sin datos / Daturik gabe;9;64;"Buena / ";54;14;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;23:00;;;Sin datos / Daturik gabe;8;62;"Buena / ";54;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;22:00;;;Sin datos / Daturik gabe;11;58;"Muy buena / ";52;18;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;21:00;;;Sin datos / Daturik gabe;19;50;"Muy buena / ";51;15;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;20:00;1;14;Muy buena / Oso ona;15;54;"Muy buena / ";51;21;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;19:00;1;20;Muy buena / Oso ona;22;48;"Muy buena / ";50;20;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;18:00;;;Sin datos / Daturik gabe;19;51;"Muy buena / ";43;16;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;17:00;;;Sin datos / Daturik gabe;16;53;"Muy buena / ";35;19;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;16:00;2;17;Muy buena / Oso ona;20;52;"Muy buena / ";27;23;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona
27/10/2017;15:00;1;25;Muy buena / Oso ona;27;47;"Muy buena / ";18;22;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona
27/10/2017;14:00;2;19;Muy buena / Oso ona;22;52;"Muy buena / ";11;9;Muy buena / Oso ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona
27/10/2017;13:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";2;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
27/10/2017;12:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";2;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
27/10/2017;11:00;82;55;Muy buena / Oso ona;181;5;"Muy buena / ";2;53;Buena / Ona;31;Buena / Ona;30;Muy buena / Oso ona
27/10/2017;10:00;91;49;Muy buena / Oso ona;188;3;"Muy buena / ";2;49;Buena / Ona;33;Buena / Ona;22;Muy buena / Oso ona
27/10/2017;09:00;123;45;Muy buena / Oso ona;233;2;"Muy buena / ";2;50;Buena / Ona;34;Buena / Ona;18;Muy buena / Oso ona
27/10/2017;08:00;101;42;Muy buena / Oso ona;197;2;"Muy buena / ";2;52;Buena / Ona;29;Buena / Ona;14;Muy buena / Oso ona
27/10/2017;07:00;101;44;Muy buena / Oso ona;199;2;"Muy buena / ";2;49;Buena / Ona;27;Buena / Ona;10;Muy buena / Oso ona
27/10/2017;06:00;81;44;Muy buena / Oso ona;168;1;"Muy buena / ";2;36;Muy buena / Oso ona;23;Muy buena / Oso ona;9;Muy buena / Oso ona
27/10/2017;05:00;38;40;Muy buena / Oso ona;98;2;"Muy buena / ";2;31;Muy buena / Oso ona;21;Muy buena / Oso ona;9;Muy buena / Oso ona
27/10/2017;04:00;18;43;Muy buena / Oso ona;70;2;"Muy buena / ";2;27;Muy buena / Oso ona;23;Muy buena / Oso ona;9;Muy buena / Oso ona
27/10/2017;03:00;28;38;Muy buena / Oso ona;80;;"Sin datos / ";2;27;Muy buena / Oso ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona
27/10/2017;02:00;9;38;Muy buena / Oso ona;51;4;"Muy buena / ";3;28;Muy buena / Oso ona;20;Muy buena / Oso ona;7;Muy buena / Oso ona
27/10/2017;01:00;11;44;Muy buena / Oso ona;60;2;"Muy buena / ";8;27;Muy buena / Oso ona;19;Muy buena / Oso ona;8;Muy buena / Oso ona
26/10/2017;24:00;12;51;Muy buena / Oso ona;69;2;"Muy buena / ";16;32;Muy buena / Oso ona;23;Muy buena / Oso ona;7;Muy buena / Oso ona
26/10/2017;23:00;18;53;Muy buena / Oso ona;81;1;"Muy buena / ";23;34;Muy buena / Oso ona;24;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;22:00;24;59;Muy buena / Oso ona;95;2;"Muy buena / ";32;37;Muy buena / Oso ona;23;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;21:00;22;66;Muy buena / Oso ona;100;2;"Muy buena / ";42;27;Muy buena / Oso ona;17;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;20:00;19;75;Muy buena / Oso ona;104;3;"Muy buena / ";50;29;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;19:00;15;81;Muy buena / Oso ona;103;9;"Muy buena / ";56;27;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;18:00;2;51;Muy buena / Oso ona;53;39;"Muy buena / ";58;24;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;17:00;1;32;Muy buena / Oso ona;34;54;"Muy buena / ";55;22;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;16:00;1;20;Muy buena / Oso ona;22;70;"Buena / ";48;20;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona
26/10/2017;15:00;1;12;Muy buena / Oso ona;15;79;"Buena / ";40;28;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona
26/10/2017;14:00;1;14;Muy buena / Oso ona;17;83;"Buena / ";30;27;Muy buena / Oso ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona
26/10/2017;13:00;4;25;Muy buena / Oso ona;31;63;"Buena / ";20;25;Muy buena / Oso ona;12;Muy buena / Oso ona;10;Muy buena / Oso ona
26/10/2017;12:00;5;24;Muy buena / Oso ona;32;51;"Muy buena / ";13;37;Muy buena / Oso ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona
26/10/2017;11:00;19;39;Muy buena / Oso ona;67;25;"Muy buena / ";10;47;Buena / Ona;27;Buena / Ona;6;Muy buena / Oso ona
26/10/2017;10:00;34;54;Muy buena / Oso ona;106;11;"Muy buena / ";11;42;Buena / Ona;22;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;09:00;88;76;Muy buena / Oso ona;211;4;"Muy buena / ";11;38;Muy buena / Oso ona;23;Muy buena / Oso ona;7;Muy buena / Oso ona
26/10/2017;08:00;111;76;Muy buena / Oso ona;246;2;"Muy buena / ";14;35;Muy buena / Oso ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;07:00;90;74;Muy buena / Oso ona;212;2;"Muy buena / ";16;33;Muy buena / Oso ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona
26/10/2017;06:00;39;70;Muy buena / Oso ona;129;2;"Muy buena / ";16;23;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;05:00;16;53;Muy buena / Oso ona;77;6;"Muy buena / ";16;23;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona
26/10/2017;04:00;1;25;Muy buena / Oso ona;28;31;"Muy buena / ";15;20;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;03:00;1;21;Muy buena / Oso ona;22;;"Sin datos / ";11;20;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;02:00;1;25;Muy buena / Oso ona;27;30;"Muy buena / ";6;20;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;01:00;1;36;Muy buena / Oso ona;38;20;"Muy buena / ";5;21;Muy buena / Oso ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona
25/10/2017;24:00;3;46;Muy buena / Oso ona;50;12;"Muy buena / ";3;26;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona
