Date;Hour;O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;71;"Buena / ";74;291;88;966,6;0;10,6;2,06
29/10/2017;06:00;70;"Buena / ";75;336;87;966,9;0;10,5;2,14
29/10/2017;05:00;73;"Buena / ";75;347;87;967;0;10,5;2,79
29/10/2017;04:00;76;"Buena / ";76;2;86;966,9;0;10,6;3,22
29/10/2017;03:00;;"Sin datos / ";76;20;85;967,1;0;10,8;4,41
29/10/2017;02:00;79;"Buena / ";77;22;85;967,5;0;10,8;5,17
29/10/2017;01:00;78;"Buena / ";76;39;80;967,9;0;10,8;4,43
28/10/2017;24:00;73;"Buena / ";76;47;76;968,3;0;10,9;4,82
28/10/2017;23:00;73;"Buena / ";76;36;73;968,5;0;11,3;5,35
28/10/2017;22:00;74;"Buena / ";77;28;78;968,7;0;11,4;5,54
28/10/2017;21:00;76;"Buena / ";77;13;82;968,7;0;11,6;5,18
28/10/2017;20:00;78;"Buena / ";76;8;83;968,7;0;11,6;4,99
28/10/2017;19:00;81;"Buena / ";75;10;82;968,8;0;11,6;4,91
28/10/2017;18:00;78;"Buena / ";73;19;80;968,8;0;11,5;4,59
28/10/2017;17:00;76;"Buena / ";71;354;80;968,6;0;11,6;3,67
28/10/2017;16:00;75;"Buena / ";70;345;81;968,5;0;12,2;2,9
28/10/2017;15:00;75;"Buena / ";68;8;85;968,7;0;12,3;2,63
28/10/2017;14:00;73;"Buena / ";69;18;88;968,9;0;12,2;3,06
28/10/2017;13:00;71;"Buena / ";69;12;90;969,4;0;11,8;4,33
28/10/2017;12:00;68;"Buena / ";69;35;86;970,1;0;12,6;2,36
28/10/2017;11:00;64;"Buena / ";71;54;88;970,6;0;12;2,87
28/10/2017;10:00;67;"Buena / ";72;20;88;970,6;0;11,9;3,66
28/10/2017;09:00;64;"Buena / ";73;8;89;970,5;0;11,8;3,51
28/10/2017;08:00;65;"Buena / ";76;9;86;970,2;0;12,2;3,54
28/10/2017;07:00;76;"Buena / ";78;40;81;969,9;0;12,6;4,39
28/10/2017;06:00;73;"Buena / ";79;56;85;970;0;12,4;4,67
28/10/2017;05:00;74;"Buena / ";80;63;90;970,2;0;12,2;6,67
28/10/2017;04:00;82;"Buena / ";80;46;89;970,3;0;12;6,63
28/10/2017;03:00;;"Sin datos / ";79;55;95;970,6;0;11,5;5,16
28/10/2017;02:00;80;"Buena / ";79;324;95;970,9;0;11,8;2,48
28/10/2017;01:00;81;"Buena / ";78;292;94;971,1;0;11,4;3,85
27/10/2017;24:00;81;"Buena / ";77;293;96;971,3;0;11,8;4,79
27/10/2017;23:00;82;"Buena / ";76;314;95;971,6;0;12,3;6,23
27/10/2017;22:00;79;"Buena / ";74;322;94;971,7;0;12,2;5,68
27/10/2017;21:00;77;"Buena / ";73;315;95;971,6;0;12;5,18
27/10/2017;20:00;76;"Buena / ";70;331;95;971,4;0;12,7;5,75
27/10/2017;19:00;75;"Buena / ";67;345;96;971,5;0;12,8;5,42
27/10/2017;18:00;73;"Buena / ";66;341;95;971,3;0,1;13,3;4,69
27/10/2017;17:00;71;"Buena / ";65;312;95;971,3;0;13,4;3,63
27/10/2017;16:00;71;"Buena / ";65;318;95;971,5;0;13,6;4,71
27/10/2017;15:00;71;"Buena / ";66;315;95;971,6;0;13,6;4,43
27/10/2017;14:00;70;"Buena / ";66;315;95;971,6;0;13,9;5,67
27/10/2017;13:00;53;"Muy buena / ";67;294;95;971,7;0;14,2;5,69
27/10/2017;12:00;54;"Muy buena / ";70;291;95;972;0;13,8;3,87
27/10/2017;11:00;64;"Buena / ";73;285;94;972;0;13,7;4,4
27/10/2017;10:00;69;"Buena / ";75;289;94;971,9;0;13,5;3,53
27/10/2017;09:00;71;"Buena / ";76;285;93;971,7;0;13,8;2,96
27/10/2017;08:00;73;"Buena / ";77;305;91;971,3;0;13,8;2,22
27/10/2017;07:00;76;"Buena / ";78;319;89;971;0;13,8;3,32
27/10/2017;06:00;75;"Buena / ";79;318;91;970,8;0;13,5;2,82
27/10/2017;05:00;76;"Buena / ";82;323;93;970,5;0;13,1;2,85
27/10/2017;04:00;82;"Buena / ";85;280;85;970,1;0;14,2;2,62
27/10/2017;03:00;;"Sin datos / ";86;265;82;970,1;0;14,3;2,68
27/10/2017;02:00;77;"Buena / ";87;248;89;970,3;0;13,5;2,7
27/10/2017;01:00;78;"Buena / ";90;287;92;970,4;0;13,7;3,86
26/10/2017;24:00;80;"Buena / ";93;298;85;970,3;0;14,3;5,2
26/10/2017;23:00;85;"Buena / ";95;294;79;970,1;0;14,9;5,82
26/10/2017;22:00;93;"Buena / ";97;272;65;969,9;0;16,2;5,31
26/10/2017;21:00;98;"Buena / ";96;242;58;969,4;0;17;5,64
26/10/2017;20:00;93;"Buena / ";93;253;71;969,1;0;15,6;5,38
26/10/2017;19:00;95;"Buena / ";89;267;78;968,8;0;14,9;5,18
26/10/2017;18:00;98;"Buena / ";85;250;69;968,3;0;15,9;5,76
26/10/2017;17:00;98;"Buena / ";83;250;72;967,9;0;15,7;5,3
26/10/2017;16:00;99;"Buena / ";80;264;72;967,5;0;16;6,16
26/10/2017;15:00;101;"Buena / ";77;267;73;967,4;0;16;7,15
26/10/2017;14:00;83;"Buena / ";75;286;87;967,2;0;14,6;6,79
26/10/2017;13:00;73;"Buena / ";74;296;91;967;0;14,5;7,39
26/10/2017;12:00;65;"Buena / ";75;294;87;966,9;0;14,9;6,13
26/10/2017;11:00;60;"Muy buena / ";76;277;70;966,7;0;16,8;5,99
26/10/2017;10:00;81;"Buena / ";78;214;35;966;0;22,6;8,07
26/10/2017;09:00;78;"Buena / ";78;192;34;965,6;0;22,9;7,98
26/10/2017;08:00;78;"Buena / ";79;183;35;964,9;0;22,5;6,92
26/10/2017;07:00;78;"Buena / ";80;169;35;964,2;0;22,6;7,88
26/10/2017;06:00;77;"Buena / ";81;161;35;963,6;0;22,6;8,34
26/10/2017;05:00;79;"Buena / ";83;162;35;963,3;0;22,6;8,87
26/10/2017;04:00;77;"Buena / ";83;168;35;963;0;22,8;8,62
26/10/2017;03:00;;"Sin datos / ";84;162;35;962,7;0;23;9,61
26/10/2017;02:00;80;"Buena / ";84;159;35;962,8;0;23,1;9,26
26/10/2017;01:00;84;"Buena / ";84;157;36;962,8;0;23,1;10,09
25/10/2017;24:00;86;"Buena / ";84;157;36;963,2;0;23;9,74
25/10/2017;23:00;86;"Buena / ";83;160;36;963,2;0;23,1;8,85
25/10/2017;22:00;86;"Buena / ";80;160;36;963;0;23,2;8,98
25/10/2017;21:00;84;"Buena / ";78;159;35;962,6;0;23,4;9,81
25/10/2017;20:00;82;"Buena / ";74;160;36;962,6;0;23,5;7,39
25/10/2017;19:00;80;"Buena / ";73;149;37;962,6;0;23,5;3,67
25/10/2017;18:00;83;"Buena / ";72;154;40;962,6;0;23,4;4,24
25/10/2017;17:00;82;"Buena / ";68;143;45;962,4;0;23,5;3,45
25/10/2017;16:00;77;"Buena / ";65;127;46;962,4;0;25,2;0,21
25/10/2017;15:00;68;"Buena / ";63;93;51;962,4;0;23,9;0,21
25/10/2017;14:00;64;"Buena / ";63;160;50;962,6;0;22,6;1,15
25/10/2017;13:00;57;"Muy buena / ";64;149;49;963,2;0;21,9;1,12
25/10/2017;12:00;;"Sin datos / ";67;110;54;963,7;0;20,2;1,72
25/10/2017;11:00;;"Sin datos / ";67;141;58;963,8;0;20;0,68
25/10/2017;10:00;60;"Muy buena / ";67;159;53;963,8;0;19,6;0,8
25/10/2017;09:00;62;"Buena / ";68;252;44;963,5;0;18,6;1,86
25/10/2017;08:00;67;"Buena / ";69;281;43;963;0;18,6;3,02
25/10/2017;07:00;65;"Buena / ";69;258;40;962,5;0;19,6;4,04
25/10/2017;06:00;75;"Buena / ";69;251;38;962,3;0;20,5;2,91
25/10/2017;05:00;71;"Buena / ";67;223;34;962,1;0;22;3,01
25/10/2017;04:00;70;"Buena / ";67;172;35;962,1;0;22,5;2,99
25/10/2017;03:00;;"Sin datos / ";67;155;41;962,4;0;22,3;1,97
25/10/2017;02:00;68;"Buena / ";67;156;43;962,6;0;21,8;1,05
25/10/2017;01:00;68;"Buena / ";67;187;45;962,7;0;21,7;1,67
24/10/2017;24:00;68;"Buena / ";68;218;46;962,9;0;21,4;1,98
24/10/2017;23:00;64;"Buena / ";68;241;47;963;0;21,3;2,42
24/10/2017;22:00;61;"Buena / ";69;238;43;962,9;0;21,9;1,23
24/10/2017;21:00;68;"Buena / ";71;222;44;962,7;0;21,8;1,16
24/10/2017;20:00;70;"Buena / ";71;186;42;962,5;0;22,3;0,66
24/10/2017;19:00;66;"Buena / ";71;163;45;962,6;0;22,5;1,55
24/10/2017;18:00;71;"Buena / ";72;136;48;962,6;0;22;3,06
24/10/2017;17:00;72;"Buena / ";73;108;43;962,5;0;22,3;3,77
24/10/2017;16:00;74;"Buena / ";74;95;39;962,5;0;22,9;4,59
24/10/2017;15:00;69;"Buena / ";76;95;40;962,7;0;22,6;3,51
24/10/2017;14:00;74;"Buena / ";79;93;40;962,9;0;21,9;5,98
24/10/2017;13:00;70;"Buena / ";82;96;39;963,2;0;22,2;4,21
24/10/2017;12:00;70;"Buena / ";83;122;35;963,7;0;22,1;4
24/10/2017;11:00;72;"Buena / ";85;112;26;964,3;0;21,5;3,86
24/10/2017;10:00;80;"Buena / ";87;122;24;964,6;0;20,9;2,97
24/10/2017;09:00;85;"Buena / ";87;116;21;964,7;0;20;3,38
24/10/2017;08:00;89;"Buena / ";86;97;18;964,5;0;18,5;5,53
24/10/2017;07:00;94;"Buena / ";85;107;18;964,5;0;17,6;4,57
24/10/2017;06:00;92;"Buena / ";82;89;24;964,7;0;16,4;5,51
24/10/2017;05:00;84;"Buena / ";80;82;41;965;0;15,3;4,96
24/10/2017;04:00;83;"Buena / ";79;77;22;965,2;0;16,3;2,3
24/10/2017;03:00;;"Sin datos / ";79;72;26;965,5;0;15,8;1,49
24/10/2017;02:00;81;"Buena / ";80;199;38;965,8;0;14,9;0,17
24/10/2017;01:00;76;"Buena / ";80;209;64;966,1;0;14,1;1,44
23/10/2017;24:00;82;"Buena / ";80;256;60;966,5;0;14,2;1,33
23/10/2017;23:00;76;"Buena / ";80;275;53;966,7;0;14,3;1,01
23/10/2017;22:00;75;"Buena / ";80;258;55;966,6;0;14,5;1,26
23/10/2017;21:00;80;"Buena / ";80;229;59;966,3;0;14,5;2,03
23/10/2017;20:00;81;"Buena / ";79;219;59;966,2;0;14,5;2,02
23/10/2017;19:00;86;"Buena / ";77;228;57;966,2;0;14,5;2,09
23/10/2017;18:00;80;"Buena / ";74;173;59;966,1;0;14,3;1,17
23/10/2017;17:00;80;"Buena / ";72;130;54;966,2;0;15,4;0,48
23/10/2017;16:00;81;"Buena / ";71;85;64;966,4;0;14,4;2,2
23/10/2017;15:00;80;"Buena / ";71;68;72;966,5;0;13,9;4,11
23/10/2017;14:00;75;"Buena / ";71;44;75;966,6;0;13,9;2,97
23/10/2017;13:00;69;"Buena / ";71;34;71;966,5;0;14,2;1,3
23/10/2017;12:00;64;"Buena / ";73;123;69;966,4;0;13,9;2,27
23/10/2017;11:00;62;"Buena / ";75;117;72;966,7;0;13;2,67
23/10/2017;10:00;67;"Buena / ";77;103;72;966,9;0;12,7;2,04
23/10/2017;09:00;70;"Buena / ";79;96;71;966,9;0;12,3;2,81
23/10/2017;08:00;77;"Buena / ";80;110;74;966,5;0;11,6;3,34
23/10/2017;07:00;81;"Buena / ";80;121;77;966,4;0;11;2,23
23/10/2017;06:00;81;"Buena / ";80;98;79;966,7;0;10,8;1,07
23/10/2017;05:00;79;"Buena / ";80;101;82;966,7;0;10,4;0,55
23/10/2017;04:00;82;"Buena / ";80;332;81;966,5;0;10,6;0,35
23/10/2017;03:00;;"Sin datos / ";79;339;81;966,6;0;10,5;0,33
23/10/2017;02:00;80;"Buena / ";79;253;85;967,1;0;10,8;1,44
23/10/2017;01:00;78;"Buena / ";78;256;87;967,5;0;10,8;2,3
22/10/2017;24:00;80;"Buena / ";78;254;87;967,9;0;10,7;2,17
22/10/2017;23:00;78;"Buena / ";78;259;88;968,2;0;10,7;2,24
22/10/2017;22:00;80;"Buena / ";77;267;88;968,2;0;10,7;2,79
22/10/2017;21:00;80;"Buena / ";77;263;89;968,2;0;10,5;2,75
22/10/2017;20:00;80;"Buena / ";76;263;91;968,2;0;10,2;3,27
22/10/2017;19:00;72;"Buena / ";75;257;94;968,2;0,1;9,9;4,87
22/10/2017;18:00;74;"Buena / ";74;251;94;968,1;0,3;9,9;4,85
22/10/2017;17:00;79;"Buena / ";74;268;94;967,7;0;10,3;5,72
22/10/2017;16:00;79;"Buena / ";72;277;94;967,6;0;10,5;8,79
22/10/2017;15:00;71;"Buena / ";71;271;94;967,6;0;10,4;6,53
22/10/2017;14:00;77;"Buena / ";71;277;95;967,7;0;9,7;6,22
22/10/2017;13:00;73;"Buena / ";71;265;95;967,8;0,1;9,8;6,86
22/10/2017;12:00;74;"Buena / ";71;272;95;968,5;0,2;9,7;7,32
22/10/2017;11:00;65;"Buena / ";70;255;95;968,4;0;10;6,25
22/10/2017;10:00;70;"Buena / ";71;261;94;968,3;1,5;9,3;5,57
22/10/2017;09:00;67;"Buena / ";71;261;94;968,1;0,1;9,4;5,53
22/10/2017;08:00;70;"Buena / ";70;247;94;967,8;0,2;9,2;8,47
