Date;Hour;PM10 (µg/m3);PM10 - ICA;H (%);P (mBar);R (w/m2);Tº (ºC);Precipitación (l/m2)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;11;Muy buena / Oso ona;93;1028,2;1,4;9,1;
29/10/2017;06:00;8;Muy buena / Oso ona;93;1028,4;0,5;8,8;
29/10/2017;05:00;8;Muy buena / Oso ona;93;1028,5;0,4;9,1;
29/10/2017;04:00;10;Muy buena / Oso ona;93;1028,5;0,5;9,5;
29/10/2017;03:00;9;Muy buena / Oso ona;93;1028,6;0,4;9,2;
29/10/2017;02:00;9;Muy buena / Oso ona;92;1029;0,4;9,6;
29/10/2017;01:00;10;Muy buena / Oso ona;92;1029,4;0,5;10,2;
28/10/2017;24:00;12;Muy buena / Oso ona;92;1029,7;0,5;10,4;
28/10/2017;23:00;10;Muy buena / Oso ona;91;1029,9;0,5;11,1;
28/10/2017;22:00;10;Muy buena / Oso ona;89;1030;0,5;12;
28/10/2017;21:00;12;Muy buena / Oso ona;88;1030;0,5;12,7;
28/10/2017;20:00;13;Muy buena / Oso ona;86;1030;0,5;13,3;
28/10/2017;19:00;14;Muy buena / Oso ona;84;1030;0,5;13,8;
28/10/2017;18:00;12;Muy buena / Oso ona;77;1029,8;1;14,9;
28/10/2017;17:00;6;Muy buena / Oso ona;70;1029,6;19,2;16,9;
28/10/2017;16:00;10;Muy buena / Oso ona;73;1029,4;68,6;17,9;
28/10/2017;15:00;11;Muy buena / Oso ona;74;1029,6;129,5;18,2;
28/10/2017;14:00;13;Muy buena / Oso ona;75;1029,7;92,7;17,9;
28/10/2017;13:00;15;Muy buena / Oso ona;75;1030,4;90,9;17,8;
28/10/2017;12:00;9;Muy buena / Oso ona;80;1031;77,9;17,2;
28/10/2017;11:00;17;Muy buena / Oso ona;90;1031,6;84,6;16,2;
28/10/2017;10:00;18;Muy buena / Oso ona;92;1031,7;51,6;15,5;
28/10/2017;09:00;16;Muy buena / Oso ona;93;1031,7;35,7;14,9;
28/10/2017;08:00;14;Muy buena / Oso ona;93;1031,4;19,5;14,3;
28/10/2017;07:00;11;Muy buena / Oso ona;93;1031,2;1,7;14,1;
28/10/2017;06:00;7;Muy buena / Oso ona;93;1031,2;0,5;14,5;
28/10/2017;05:00;8;Muy buena / Oso ona;92;1031,4;0,5;15;
28/10/2017;04:00;9;Muy buena / Oso ona;91;1031,4;0,5;15,4;
28/10/2017;03:00;10;Muy buena / Oso ona;90;1031,7;0,5;15,5;
28/10/2017;02:00;10;Muy buena / Oso ona;88;1032;0,5;15,8;
28/10/2017;01:00;10;Muy buena / Oso ona;86;1032,3;0,5;16;
27/10/2017;24:00;8;Muy buena / Oso ona;86;1032,5;0,5;16,2;
27/10/2017;23:00;13;Muy buena / Oso ona;83;1032,7;0,5;16,9;
27/10/2017;22:00;13;Muy buena / Oso ona;79;1032,7;0,5;17,4;
27/10/2017;21:00;6;Muy buena / Oso ona;80;1032,6;0,5;17,3;
27/10/2017;20:00;11;Muy buena / Oso ona;85;1032,4;0,5;17,4;
27/10/2017;19:00;13;Muy buena / Oso ona;86;1032,5;0,5;17,4;
27/10/2017;18:00;18;Muy buena / Oso ona;86;1032,2;0,5;18;
27/10/2017;17:00;21;Muy buena / Oso ona;81;1032,1;5,9;18,5;
27/10/2017;16:00;17;Muy buena / Oso ona;81;1032,2;29,6;18,7;
27/10/2017;15:00;18;Muy buena / Oso ona;82;1032,3;58,4;18,9;
27/10/2017;14:00;17;Muy buena / Oso ona;85;1032,3;69,8;18,6;
27/10/2017;13:00;44;Buena / Ona;85;1032,5;51,5;18,5;
27/10/2017;12:00;49;Buena / Ona;80;1032,8;59,4;18,2;
27/10/2017;11:00;59;Buena / Ona;83;1033;151,1;16,7;
27/10/2017;10:00;63;Mejorable / Hobetzeko modukoa;85;1033;58,8;15,2;
27/10/2017;09:00;41;Buena / Ona;86;1032,7;21,6;14,5;
27/10/2017;08:00;54;Buena / Ona;90;1032,4;10,7;13,6;
27/10/2017;07:00;52;Buena / Ona;92;1032,1;1,3;13;
27/10/2017;06:00;22;Muy buena / Oso ona;93;1031,9;0,5;12,2;
27/10/2017;05:00;17;Muy buena / Oso ona;93;1031,7;0,5;11,3;
27/10/2017;04:00;13;Muy buena / Oso ona;92;1031,1;0,5;11,2;
27/10/2017;03:00;13;Muy buena / Oso ona;92;1031,2;0,5;11,6;
27/10/2017;02:00;12;Muy buena / Oso ona;92;1031,4;0,5;12;
27/10/2017;01:00;13;Muy buena / Oso ona;91;1031,5;0,5;12,3;
26/10/2017;24:00;14;Muy buena / Oso ona;91;1031,3;0,5;12,7;
26/10/2017;23:00;19;Muy buena / Oso ona;90;1031;0,5;13,3;
26/10/2017;22:00;19;Muy buena / Oso ona;89;1030,5;0,5;13,8;
26/10/2017;21:00;20;Muy buena / Oso ona;89;1029,9;0,5;14,5;
26/10/2017;20:00;20;Muy buena / Oso ona;87;1029,6;0,5;15,4;
26/10/2017;19:00;29;Muy buena / Oso ona;83;1029,2;0,5;16,9;
26/10/2017;18:00;34;Muy buena / Oso ona;76;1028,4;1,2;18,9;
26/10/2017;17:00;31;Muy buena / Oso ona;71;1027,9;26,6;20,1;
26/10/2017;16:00;32;Muy buena / Oso ona;64;1027,5;166,3;22;
26/10/2017;15:00;43;Buena / Ona;70;1027,4;185;22,1;
26/10/2017;14:00;44;Buena / Ona;80;1027,4;62;20;
26/10/2017;13:00;38;Muy buena / Oso ona;83;1027,3;56,9;19,5;
26/10/2017;12:00;46;Buena / Ona;82;1027,1;39,4;19,4;
26/10/2017;11:00;87;Mejorable / Hobetzeko modukoa;81;1026,3;26,1;19,6;
26/10/2017;10:00;57;Buena / Ona;78;1025,1;18,5;18,5;
26/10/2017;09:00;49;Buena / Ona;90;1024,7;14,4;14,2;
26/10/2017;08:00;58;Buena / Ona;92;1024,2;9,4;12,1;
26/10/2017;07:00;28;Muy buena / Oso ona;92;1023,4;2;11,7;
26/10/2017;06:00;22;Muy buena / Oso ona;92;1022,8;0,5;11,9;
26/10/2017;05:00;18;Muy buena / Oso ona;92;1022,5;0,5;12;
26/10/2017;04:00;15;Muy buena / Oso ona;92;1022,3;0,5;12,4;
26/10/2017;03:00;14;Muy buena / Oso ona;92;1022;0,5;12,5;
26/10/2017;02:00;15;Muy buena / Oso ona;92;1022;0,5;12,8;
26/10/2017;01:00;17;Muy buena / Oso ona;91;1022,2;0,5;12,9;
25/10/2017;24:00;19;Muy buena / Oso ona;90;1022,6;0,5;13;
25/10/2017;23:00;20;Muy buena / Oso ona;89;1022,6;0,5;13,3;
25/10/2017;22:00;25;Muy buena / Oso ona;87;1022,4;0,5;13,6;
25/10/2017;21:00;26;Muy buena / Oso ona;84;1022,1;0,5;14,1;
25/10/2017;20:00;25;Muy buena / Oso ona;82;1022,2;0,5;14,7;
25/10/2017;19:00;29;Muy buena / Oso ona;77;1022,3;0,5;16,1;
25/10/2017;18:00;36;Muy buena / Oso ona;66;1022,1;1,4;18,8;
25/10/2017;17:00;35;Muy buena / Oso ona;57;1021,8;24,2;22,3;
25/10/2017;16:00;32;Muy buena / Oso ona;57;1021,5;192,9;24;
25/10/2017;15:00;33;Muy buena / Oso ona;59;1021,5;204,6;23,8;
25/10/2017;14:00;40;Muy buena / Oso ona;59;1021,8;45;23,5;
25/10/2017;13:00;31;Muy buena / Oso ona;54;1022,4;34,7;22,9;
25/10/2017;12:00;38;Muy buena / Oso ona;59;1023;27,9;21,1;
25/10/2017;11:00;;Sin datos / Daturik gabe;74;1023,5;22,6;18,7;
25/10/2017;10:00;93;Mejorable / Hobetzeko modukoa;90;1023,7;19;15,3;
25/10/2017;09:00;55;Buena / Ona;93;1023,5;14,6;13;
25/10/2017;08:00;55;Buena / Ona;94;1023,1;9,6;11,2;
25/10/2017;07:00;28;Muy buena / Oso ona;94;1022,5;2,3;10,9;
25/10/2017;06:00;13;Muy buena / Oso ona;94;1022,2;0,4;10,8;
25/10/2017;05:00;10;Muy buena / Oso ona;93;1021,9;0,4;11;
25/10/2017;04:00;6;Muy buena / Oso ona;93;1021,7;0,4;11,3;
25/10/2017;03:00;6;Muy buena / Oso ona;93;1022;0,4;11,7;
25/10/2017;02:00;7;Muy buena / Oso ona;93;1022,3;0,4;12;
25/10/2017;01:00;9;Muy buena / Oso ona;93;1022,3;0,4;12,5;
24/10/2017;24:00;10;Muy buena / Oso ona;92;1022,4;0,4;12,9;
24/10/2017;23:00;12;Muy buena / Oso ona;91;1022,6;0,4;13,4;
24/10/2017;22:00;15;Muy buena / Oso ona;91;1022,6;0,4;14,1;
24/10/2017;21:00;18;Muy buena / Oso ona;89;1022,1;0,4;14,8;
24/10/2017;20:00;20;Muy buena / Oso ona;88;1021,9;0,4;15,6;
24/10/2017;19:00;18;Muy buena / Oso ona;84;1021,9;0,5;17,1;
24/10/2017;18:00;25;Muy buena / Oso ona;77;1021,8;2;19,3;
24/10/2017;17:00;51;Buena / Ona;60;1021,6;29,6;23;
24/10/2017;16:00;54;Buena / Ona;48;1021,5;176,7;26,2;
24/10/2017;15:00;46;Buena / Ona;47;1021,6;188,9;24,4;
24/10/2017;14:00;17;Muy buena / Oso ona;48;1021,8;75,8;23,4;
24/10/2017;13:00;25;Muy buena / Oso ona;49;1022,4;57,8;21,7;
24/10/2017;12:00;16;Muy buena / Oso ona;52;1023,2;44,3;19,3;
24/10/2017;11:00;19;Muy buena / Oso ona;66;1024,1;34,6;16,1;
24/10/2017;10:00;22;Muy buena / Oso ona;79;1024,8;35,1;13,1;
24/10/2017;09:00;34;Muy buena / Oso ona;91;1025,1;20,8;10,4;
24/10/2017;08:00;41;Buena / Ona;93;1025,3;10,9;8,4;
24/10/2017;07:00;23;Muy buena / Oso ona;93;1025,4;2,4;7,9;
24/10/2017;06:00;13;Muy buena / Oso ona;93;1025,6;0,4;7,9;
24/10/2017;05:00;9;Muy buena / Oso ona;93;1026;0,4;8,2;
24/10/2017;04:00;7;Muy buena / Oso ona;92;1026,2;0,4;8,5;
24/10/2017;03:00;6;Muy buena / Oso ona;92;1026,4;0,4;8,9;
24/10/2017;02:00;6;Muy buena / Oso ona;92;1026,7;0,4;9,4;
24/10/2017;01:00;6;Muy buena / Oso ona;91;1027,1;0,4;9,7;
23/10/2017;24:00;7;Muy buena / Oso ona;91;1027,5;0,4;10,2;
23/10/2017;23:00;9;Muy buena / Oso ona;90;1027,7;0,4;10,7;
23/10/2017;22:00;10;Muy buena / Oso ona;90;1027,4;0,4;11,3;
23/10/2017;21:00;13;Muy buena / Oso ona;88;1027,1;0,4;12,3;
23/10/2017;20:00;16;Muy buena / Oso ona;87;1026,9;0,4;13,4;
23/10/2017;19:00;20;Muy buena / Oso ona;86;1026,8;0,4;14,3;
23/10/2017;18:00;24;Muy buena / Oso ona;79;1026,6;1,5;16;
23/10/2017;17:00;24;Muy buena / Oso ona;68;1026,6;24;18,4;
23/10/2017;16:00;26;Muy buena / Oso ona;61;1026,7;198,3;20,1;
23/10/2017;15:00;17;Muy buena / Oso ona;59;1026,9;218;20,3;
23/10/2017;14:00;27;Muy buena / Oso ona;64;1027;42,7;19,4;
23/10/2017;13:00;19;Muy buena / Oso ona;65;1026,9;34,2;19;
23/10/2017;12:00;13;Muy buena / Oso ona;70;1027;27,1;17,4;
23/10/2017;11:00;19;Muy buena / Oso ona;86;1027,7;21,9;14,7;
23/10/2017;10:00;17;Muy buena / Oso ona;94;1028,2;19;12,4;
23/10/2017;09:00;26;Muy buena / Oso ona;96;1028,4;16,8;11;
23/10/2017;08:00;21;Muy buena / Oso ona;96;1028,1;11,5;9,9;
23/10/2017;07:00;11;Muy buena / Oso ona;96;1028;2,7;9,7;
23/10/2017;06:00;10;Muy buena / Oso ona;95;1028,2;0,4;10;
23/10/2017;05:00;9;Muy buena / Oso ona;95;1028,2;0,4;10,4;
23/10/2017;04:00;8;Muy buena / Oso ona;95;1028;0,4;10,8;
23/10/2017;03:00;7;Muy buena / Oso ona;94;1028;0,4;11,3;
23/10/2017;02:00;9;Muy buena / Oso ona;94;1028,5;0,4;12,1;
23/10/2017;01:00;8;Muy buena / Oso ona;93;1028,9;0,4;13;
22/10/2017;24:00;9;Muy buena / Oso ona;93;1029,3;0,4;13,3;
22/10/2017;23:00;10;Muy buena / Oso ona;92;1029,6;0,4;13,3;
22/10/2017;22:00;9;Muy buena / Oso ona;92;1029,7;0,4;13,3;
22/10/2017;21:00;9;Muy buena / Oso ona;91;1029,7;0,4;13,5;
22/10/2017;20:00;11;Muy buena / Oso ona;91;1029,7;0,4;13,7;
22/10/2017;19:00;12;Muy buena / Oso ona;88;1029,7;0,5;13,9;
22/10/2017;18:00;9;Muy buena / Oso ona;86;1029,5;0,9;14,3;
22/10/2017;17:00;10;Muy buena / Oso ona;85;1029,1;19;14,7;
22/10/2017;16:00;13;Muy buena / Oso ona;84;1029;41,5;15,2;
22/10/2017;15:00;12;Muy buena / Oso ona;84;1029;126,7;15,7;
22/10/2017;14:00;12;Muy buena / Oso ona;87;1029,1;84,6;14,6;
22/10/2017;13:00;8;Muy buena / Oso ona;89;1029,4;113,4;14,4;
22/10/2017;12:00;14;Muy buena / Oso ona;87;1030,1;77,1;14,3;
22/10/2017;11:00;8;Muy buena / Oso ona;92;1029,9;103,8;14,3;
22/10/2017;10:00;10;Muy buena / Oso ona;92;1030,1;69,4;13,5;
22/10/2017;09:00;7;Muy buena / Oso ona;93;1029,8;51,5;13,1;
22/10/2017;08:00;7;Muy buena / Oso ona;93;1029,6;28,4;12,6;
