Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;28;35;Muy buena / Oso ona;77
29/10/2017;06:00;23;35;Muy buena / Oso ona;71
29/10/2017;05:00;22;36;Muy buena / Oso ona;70
29/10/2017;04:00;20;35;Muy buena / Oso ona;65
29/10/2017;03:00;21;39;Muy buena / Oso ona;71
29/10/2017;02:00;;;Sin datos / Daturik gabe;
29/10/2017;01:00;20;44;Muy buena / Oso ona;76
28/10/2017;24:00;19;48;Muy buena / Oso ona;78
28/10/2017;23:00;;;Sin datos / Daturik gabe;
28/10/2017;22:00;21;58;Muy buena / Oso ona;90
28/10/2017;21:00;24;64;Muy buena / Oso ona;101
28/10/2017;20:00;16;57;Muy buena / Oso ona;81
28/10/2017;19:00;11;19;Muy buena / Oso ona;37
28/10/2017;18:00;12;21;Muy buena / Oso ona;39
28/10/2017;17:00;11;10;Muy buena / Oso ona;28
28/10/2017;16:00;12;10;Muy buena / Oso ona;28
28/10/2017;15:00;13;13;Muy buena / Oso ona;33
28/10/2017;14:00;13;13;Muy buena / Oso ona;32
28/10/2017;13:00;;;Sin datos / Daturik gabe;
28/10/2017;12:00;13;16;Muy buena / Oso ona;36
28/10/2017;11:00;15;23;Muy buena / Oso ona;46
28/10/2017;10:00;27;47;Muy buena / Oso ona;86
28/10/2017;09:00;30;49;Muy buena / Oso ona;95
28/10/2017;08:00;20;47;Muy buena / Oso ona;78
28/10/2017;07:00;13;26;Muy buena / Oso ona;45
28/10/2017;06:00;12;16;Muy buena / Oso ona;33
28/10/2017;05:00;12;13;Muy buena / Oso ona;31
28/10/2017;04:00;11;7;Muy buena / Oso ona;23
28/10/2017;03:00;11;8;Muy buena / Oso ona;24
28/10/2017;02:00;11;6;Muy buena / Oso ona;23
28/10/2017;01:00;11;7;Muy buena / Oso ona;24
27/10/2017;24:00;11;9;Muy buena / Oso ona;26
27/10/2017;23:00;11;14;Muy buena / Oso ona;32
27/10/2017;22:00;12;11;Muy buena / Oso ona;29
27/10/2017;21:00;15;19;Muy buena / Oso ona;42
27/10/2017;20:00;13;20;Muy buena / Oso ona;39
27/10/2017;19:00;13;18;Muy buena / Oso ona;39
27/10/2017;18:00;12;20;Muy buena / Oso ona;39
27/10/2017;17:00;12;14;Muy buena / Oso ona;32
27/10/2017;16:00;14;20;Muy buena / Oso ona;42
27/10/2017;15:00;14;24;Muy buena / Oso ona;45
27/10/2017;14:00;20;39;Muy buena / Oso ona;70
27/10/2017;13:00;30;51;Muy buena / Oso ona;96
27/10/2017;12:00;58;66;Muy buena / Oso ona;156
27/10/2017;11:00;75;57;Muy buena / Oso ona;173
27/10/2017;10:00;98;56;Muy buena / Oso ona;206
27/10/2017;09:00;103;52;Muy buena / Oso ona;210
27/10/2017;08:00;129;55;Muy buena / Oso ona;253
27/10/2017;07:00;109;53;Muy buena / Oso ona;220
27/10/2017;06:00;64;48;Muy buena / Oso ona;147
27/10/2017;05:00;37;46;Muy buena / Oso ona;103
27/10/2017;04:00;29;46;Muy buena / Oso ona;90
27/10/2017;03:00;20;47;Muy buena / Oso ona;78
27/10/2017;02:00;;;Sin datos / Daturik gabe;
27/10/2017;01:00;31;51;Muy buena / Oso ona;99
26/10/2017;24:00;27;54;Muy buena / Oso ona;96
26/10/2017;23:00;34;59;Muy buena / Oso ona;111
26/10/2017;22:00;35;66;Muy buena / Oso ona;120
26/10/2017;21:00;43;72;Muy buena / Oso ona;138
26/10/2017;20:00;37;76;Muy buena / Oso ona;133
26/10/2017;19:00;55;89;Muy buena / Oso ona;172
26/10/2017;18:00;15;61;Muy buena / Oso ona;84
26/10/2017;17:00;15;49;Muy buena / Oso ona;72
26/10/2017;16:00;17;43;Muy buena / Oso ona;69
26/10/2017;15:00;15;26;Muy buena / Oso ona;48
26/10/2017;14:00;14;21;Muy buena / Oso ona;43
26/10/2017;13:00;17;37;Muy buena / Oso ona;63
26/10/2017;12:00;21;44;Muy buena / Oso ona;77
26/10/2017;11:00;24;50;Muy buena / Oso ona;88
26/10/2017;10:00;27;37;Muy buena / Oso ona;78
26/10/2017;09:00;26;35;Muy buena / Oso ona;75
26/10/2017;08:00;56;64;Muy buena / Oso ona;150
26/10/2017;07:00;29;67;Muy buena / Oso ona;110
26/10/2017;06:00;20;59;Muy buena / Oso ona;90
26/10/2017;05:00;20;51;Muy buena / Oso ona;82
26/10/2017;04:00;20;47;Muy buena / Oso ona;77
26/10/2017;03:00;20;49;Muy buena / Oso ona;80
26/10/2017;02:00;24;56;Muy buena / Oso ona;92
26/10/2017;01:00;41;62;Muy buena / Oso ona;126
25/10/2017;24:00;83;64;Muy buena / Oso ona;192
25/10/2017;23:00;104;68;Muy buena / Oso ona;227
25/10/2017;22:00;130;84;Muy buena / Oso ona;284
25/10/2017;21:00;93;81;Muy buena / Oso ona;223
25/10/2017;20:00;87;91;Muy buena / Oso ona;223
25/10/2017;19:00;42;75;Muy buena / Oso ona;139
25/10/2017;18:00;18;65;Muy buena / Oso ona;92
25/10/2017;17:00;17;53;Muy buena / Oso ona;78
25/10/2017;16:00;21;48;Muy buena / Oso ona;81
25/10/2017;15:00;25;49;Muy buena / Oso ona;87
25/10/2017;14:00;30;48;Muy buena / Oso ona;93
25/10/2017;13:00;81;79;Muy buena / Oso ona;203
25/10/2017;12:00;98;77;Muy buena / Oso ona;227
25/10/2017;11:00;99;66;Muy buena / Oso ona;217
25/10/2017;10:00;128;64;Muy buena / Oso ona;259
25/10/2017;09:00;138;58;Muy buena / Oso ona;269
25/10/2017;08:00;129;57;Muy buena / Oso ona;254
25/10/2017;07:00;104;53;Muy buena / Oso ona;212
25/10/2017;06:00;98;49;Muy buena / Oso ona;199
25/10/2017;05:00;53;45;Muy buena / Oso ona;127
25/10/2017;04:00;32;46;Muy buena / Oso ona;94
25/10/2017;03:00;30;47;Muy buena / Oso ona;93
25/10/2017;02:00;43;51;Muy buena / Oso ona;118
25/10/2017;01:00;39;56;Muy buena / Oso ona;116
24/10/2017;24:00;46;59;Muy buena / Oso ona;129
24/10/2017;23:00;53;64;Muy buena / Oso ona;145
24/10/2017;22:00;74;72;Muy buena / Oso ona;185
24/10/2017;21:00;83;81;Muy buena / Oso ona;208
24/10/2017;20:00;65;78;Muy buena / Oso ona;178
24/10/2017;19:00;28;79;Muy buena / Oso ona;122
24/10/2017;18:00;15;61;Muy buena / Oso ona;85
24/10/2017;17:00;18;54;Muy buena / Oso ona;80
24/10/2017;16:00;40;73;Muy buena / Oso ona;134
24/10/2017;15:00;31;61;Muy buena / Oso ona;110
24/10/2017;14:00;36;56;Muy buena / Oso ona;111
24/10/2017;13:00;42;55;Muy buena / Oso ona;119
24/10/2017;12:00;37;47;Muy buena / Oso ona;103
24/10/2017;11:00;45;51;Muy buena / Oso ona;119
24/10/2017;10:00;;;Sin datos / Daturik gabe;
24/10/2017;09:00;63;57;Muy buena / Oso ona;154
24/10/2017;08:00;84;61;Muy buena / Oso ona;190
24/10/2017;07:00;67;60;Muy buena / Oso ona;163
24/10/2017;06:00;50;52;Muy buena / Oso ona;128
24/10/2017;05:00;34;49;Muy buena / Oso ona;101
24/10/2017;04:00;27;47;Muy buena / Oso ona;88
24/10/2017;03:00;26;45;Muy buena / Oso ona;85
24/10/2017;02:00;26;45;Muy buena / Oso ona;86
24/10/2017;01:00;30;46;Muy buena / Oso ona;91
23/10/2017;24:00;34;48;Muy buena / Oso ona;100
23/10/2017;23:00;44;54;Muy buena / Oso ona;120
23/10/2017;22:00;54;63;Muy buena / Oso ona;146
23/10/2017;21:00;42;67;Muy buena / Oso ona;131
23/10/2017;20:00;44;71;Muy buena / Oso ona;138
23/10/2017;19:00;70;79;Muy buena / Oso ona;185
23/10/2017;18:00;33;72;Muy buena / Oso ona;123
23/10/2017;17:00;18;45;Muy buena / Oso ona;72
23/10/2017;16:00;17;33;Muy buena / Oso ona;60
23/10/2017;15:00;16;28;Muy buena / Oso ona;52
23/10/2017;14:00;16;20;Muy buena / Oso ona;45
23/10/2017;13:00;24;31;Muy buena / Oso ona;67
23/10/2017;12:00;26;30;Muy buena / Oso ona;71
23/10/2017;11:00;32;34;Muy buena / Oso ona;83
23/10/2017;10:00;38;37;Muy buena / Oso ona;94
23/10/2017;09:00;45;43;Muy buena / Oso ona;112
23/10/2017;08:00;57;47;Muy buena / Oso ona;134
23/10/2017;07:00;58;47;Muy buena / Oso ona;136
23/10/2017;06:00;43;41;Muy buena / Oso ona;108
23/10/2017;05:00;33;38;Muy buena / Oso ona;89
23/10/2017;04:00;18;35;Muy buena / Oso ona;62
23/10/2017;03:00;14;32;Muy buena / Oso ona;53
23/10/2017;02:00;13;27;Muy buena / Oso ona;47
23/10/2017;01:00;13;22;Muy buena / Oso ona;42
22/10/2017;24:00;12;25;Muy buena / Oso ona;44
22/10/2017;23:00;13;30;Muy buena / Oso ona;50
22/10/2017;22:00;16;39;Muy buena / Oso ona;63
22/10/2017;21:00;18;54;Muy buena / Oso ona;81
22/10/2017;20:00;14;41;Muy buena / Oso ona;61
22/10/2017;19:00;12;23;Muy buena / Oso ona;42
22/10/2017;18:00;12;22;Muy buena / Oso ona;40
22/10/2017;17:00;12;14;Muy buena / Oso ona;33
22/10/2017;16:00;14;17;Muy buena / Oso ona;38
22/10/2017;15:00;13;14;Muy buena / Oso ona;34
22/10/2017;14:00;14;15;Muy buena / Oso ona;36
22/10/2017;13:00;14;13;Muy buena / Oso ona;33
22/10/2017;12:00;13;11;Muy buena / Oso ona;31
22/10/2017;11:00;13;10;Muy buena / Oso ona;30
22/10/2017;10:00;13;15;Muy buena / Oso ona;35
22/10/2017;09:00;13;15;Muy buena / Oso ona;35
22/10/2017;08:00;11;12;Muy buena / Oso ona;29
22/10/2017;07:00;11;9;Muy buena / Oso ona;26
22/10/2017;06:00;12;15;Muy buena / Oso ona;34
22/10/2017;05:00;11;14;Muy buena / Oso ona;31
22/10/2017;04:00;11;10;Muy buena / Oso ona;27
22/10/2017;03:00;11;8;Muy buena / Oso ona;25
22/10/2017;02:00;12;10;Muy buena / Oso ona;27
22/10/2017;01:00;11;9;Muy buena / Oso ona;27
21/10/2017;24:00;12;11;Muy buena / Oso ona;31
21/10/2017;23:00;11;9;Muy buena / Oso ona;27
21/10/2017;22:00;11;15;Muy buena / Oso ona;33
21/10/2017;21:00;13;18;Muy buena / Oso ona;37
21/10/2017;20:00;13;19;Muy buena / Oso ona;39
21/10/2017;19:00;12;19;Muy buena / Oso ona;38
21/10/2017;18:00;12;10;Muy buena / Oso ona;29
21/10/2017;17:00;13;9;Muy buena / Oso ona;29
21/10/2017;16:00;12;11;Muy buena / Oso ona;30
21/10/2017;15:00;13;12;Muy buena / Oso ona;31
21/10/2017;14:00;12;12;Muy buena / Oso ona;31
21/10/2017;13:00;14;12;Muy buena / Oso ona;33
21/10/2017;12:00;14;15;Muy buena / Oso ona;36
21/10/2017;11:00;16;19;Muy buena / Oso ona;43
21/10/2017;10:00;15;23;Muy buena / Oso ona;46
21/10/2017;09:00;14;25;Muy buena / Oso ona;46
21/10/2017;08:00;12;16;Muy buena / Oso ona;34
21/10/2017;07:00;12;10;Muy buena / Oso ona;28
21/10/2017;06:00;15;12;Muy buena / Oso ona;34
21/10/2017;05:00;11;5;Muy buena / Oso ona;23
21/10/2017;04:00;11;4;Muy buena / Oso ona;21
21/10/2017;03:00;11;8;Muy buena / Oso ona;25
21/10/2017;02:00;11;6;Muy buena / Oso ona;23
21/10/2017;01:00;11;7;Muy buena / Oso ona;24
20/10/2017;24:00;11;6;Muy buena / Oso ona;24
20/10/2017;23:00;11;6;Muy buena / Oso ona;23
20/10/2017;22:00;12;7;Muy buena / Oso ona;25
20/10/2017;21:00;11;9;Muy buena / Oso ona;27
20/10/2017;20:00;26;61;Muy buena / Oso ona;101
20/10/2017;19:00;77;93;Muy buena / Oso ona;211
20/10/2017;18:00;27;78;Muy buena / Oso ona;119
20/10/2017;17:00;21;52;Muy buena / Oso ona;85
20/10/2017;16:00;19;35;Muy buena / Oso ona;64
20/10/2017;15:00;17;23;Muy buena / Oso ona;49
20/10/2017;14:00;17;18;Muy buena / Oso ona;43
20/10/2017;13:00;17;17;Muy buena / Oso ona;43
20/10/2017;12:00;14;11;Muy buena / Oso ona;33
20/10/2017;11:00;26;23;Muy buena / Oso ona;63
20/10/2017;10:00;71;46;Muy buena / Oso ona;155
20/10/2017;09:00;100;56;Muy buena / Oso ona;209
20/10/2017;08:00;107;60;Muy buena / Oso ona;223
20/10/2017;07:00;96;61;Muy buena / Oso ona;209
20/10/2017;06:00;48;55;Muy buena / Oso ona;128
20/10/2017;05:00;21;46;Muy buena / Oso ona;78
20/10/2017;04:00;13;28;Muy buena / Oso ona;47
20/10/2017;03:00;12;33;Muy buena / Oso ona;52
20/10/2017;02:00;12;34;Muy buena / Oso ona;53
20/10/2017;01:00;12;25;Muy buena / Oso ona;43
19/10/2017;24:00;13;33;Muy buena / Oso ona;52
19/10/2017;23:00;20;39;Muy buena / Oso ona;70
19/10/2017;22:00;14;28;Muy buena / Oso ona;50
19/10/2017;21:00;17;46;Muy buena / Oso ona;73
19/10/2017;20:00;26;61;Muy buena / Oso ona;101
19/10/2017;19:00;54;72;Muy buena / Oso ona;155
19/10/2017;18:00;20;41;Muy buena / Oso ona;71
19/10/2017;17:00;17;31;Muy buena / Oso ona;57
19/10/2017;16:00;14;19;Muy buena / Oso ona;40
