Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;12;9;Muy buena / Oso ona;28;9;Muy buena / Oso ona
29/10/2017;06:00;12;11;Muy buena / Oso ona;29;11;Muy buena / Oso ona
29/10/2017;05:00;12;14;Muy buena / Oso ona;31;14;Muy buena / Oso ona
29/10/2017;04:00;12;15;Muy buena / Oso ona;34;13;Muy buena / Oso ona
29/10/2017;03:00;16;16;Muy buena / Oso ona;40;13;Muy buena / Oso ona
29/10/2017;02:00;11;16;Muy buena / Oso ona;32;12;Muy buena / Oso ona
29/10/2017;01:00;14;18;Muy buena / Oso ona;38;13;Muy buena / Oso ona
28/10/2017;24:00;16;24;Muy buena / Oso ona;49;14;Muy buena / Oso ona
28/10/2017;23:00;20;27;Muy buena / Oso ona;58;18;Muy buena / Oso ona
28/10/2017;22:00;24;27;Muy buena / Oso ona;64;18;Muy buena / Oso ona
28/10/2017;21:00;14;24;Muy buena / Oso ona;45;13;Muy buena / Oso ona
28/10/2017;20:00;24;41;Muy buena / Oso ona;77;18;Muy buena / Oso ona
28/10/2017;19:00;53;57;Muy buena / Oso ona;138;24;Muy buena / Oso ona
28/10/2017;18:00;5;24;Muy buena / Oso ona;31;18;Muy buena / Oso ona
28/10/2017;17:00;5;15;Muy buena / Oso ona;23;9;Muy buena / Oso ona
28/10/2017;16:00;5;13;Muy buena / Oso ona;20;14;Muy buena / Oso ona
28/10/2017;15:00;6;19;Muy buena / Oso ona;28;16;Muy buena / Oso ona
28/10/2017;14:00;5;12;Muy buena / Oso ona;20;14;Muy buena / Oso ona
28/10/2017;13:00;7;15;Muy buena / Oso ona;26;11;Muy buena / Oso ona
28/10/2017;12:00;18;29;Muy buena / Oso ona;56;17;Muy buena / Oso ona
28/10/2017;11:00;17;35;Muy buena / Oso ona;61;21;Muy buena / Oso ona
28/10/2017;10:00;18;38;Muy buena / Oso ona;66;21;Muy buena / Oso ona
28/10/2017;09:00;29;41;Muy buena / Oso ona;86;28;Muy buena / Oso ona
28/10/2017;08:00;37;30;Muy buena / Oso ona;86;16;Muy buena / Oso ona
28/10/2017;07:00;25;32;Muy buena / Oso ona;70;15;Muy buena / Oso ona
28/10/2017;06:00;14;33;Muy buena / Oso ona;54;11;Muy buena / Oso ona
28/10/2017;05:00;5;19;Muy buena / Oso ona;27;10;Muy buena / Oso ona
28/10/2017;04:00;4;14;Muy buena / Oso ona;19;10;Muy buena / Oso ona
28/10/2017;03:00;4;13;Muy buena / Oso ona;19;10;Muy buena / Oso ona
28/10/2017;02:00;4;16;Muy buena / Oso ona;21;11;Muy buena / Oso ona
28/10/2017;01:00;2;7;Muy buena / Oso ona;10;10;Muy buena / Oso ona
27/10/2017;24:00;4;11;Muy buena / Oso ona;17;13;Muy buena / Oso ona
27/10/2017;23:00;4;11;Muy buena / Oso ona;17;9;Muy buena / Oso ona
27/10/2017;22:00;3;10;Muy buena / Oso ona;15;9;Muy buena / Oso ona
27/10/2017;21:00;4;7;Muy buena / Oso ona;12;11;Muy buena / Oso ona
27/10/2017;20:00;5;14;Muy buena / Oso ona;22;16;Muy buena / Oso ona
27/10/2017;19:00;8;21;Muy buena / Oso ona;33;21;Muy buena / Oso ona
27/10/2017;18:00;13;37;Muy buena / Oso ona;56;25;Muy buena / Oso ona
27/10/2017;17:00;10;31;Muy buena / Oso ona;46;22;Muy buena / Oso ona
27/10/2017;16:00;9;27;Muy buena / Oso ona;40;17;Muy buena / Oso ona
27/10/2017;15:00;9;25;Muy buena / Oso ona;39;27;Muy buena / Oso ona
27/10/2017;14:00;77;52;Muy buena / Oso ona;169;54;Buena / Ona
27/10/2017;13:00;77;42;Muy buena / Oso ona;159;49;Buena / Ona
27/10/2017;12:00;66;40;Muy buena / Oso ona;140;57;Buena / Ona
27/10/2017;11:00;83;37;Muy buena / Oso ona;164;51;Buena / Ona
27/10/2017;10:00;90;36;Muy buena / Oso ona;174;55;Buena / Ona
27/10/2017;09:00;88;34;Muy buena / Oso ona;169;41;Buena / Ona
27/10/2017;08:00;78;29;Muy buena / Oso ona;149;36;Muy buena / Oso ona
27/10/2017;07:00;92;32;Muy buena / Oso ona;173;35;Muy buena / Oso ona
27/10/2017;06:00;53;25;Muy buena / Oso ona;106;27;Muy buena / Oso ona
27/10/2017;05:00;37;23;Muy buena / Oso ona;80;29;Muy buena / Oso ona
27/10/2017;04:00;29;19;Muy buena / Oso ona;63;23;Muy buena / Oso ona
27/10/2017;03:00;19;16;Muy buena / Oso ona;46;18;Muy buena / Oso ona
27/10/2017;02:00;19;16;Muy buena / Oso ona;44;18;Muy buena / Oso ona
27/10/2017;01:00;13;14;Muy buena / Oso ona;33;15;Muy buena / Oso ona
26/10/2017;24:00;9;15;Muy buena / Oso ona;29;16;Muy buena / Oso ona
26/10/2017;23:00;8;16;Muy buena / Oso ona;28;16;Muy buena / Oso ona
26/10/2017;22:00;8;20;Muy buena / Oso ona;32;17;Muy buena / Oso ona
26/10/2017;21:00;18;30;Muy buena / Oso ona;57;20;Muy buena / Oso ona
26/10/2017;20:00;42;43;Muy buena / Oso ona;107;26;Muy buena / Oso ona
26/10/2017;19:00;51;55;Muy buena / Oso ona;133;32;Muy buena / Oso ona
26/10/2017;18:00;85;77;Muy buena / Oso ona;207;43;Buena / Ona
26/10/2017;17:00;36;59;Muy buena / Oso ona;114;41;Buena / Ona
26/10/2017;16:00;10;30;Muy buena / Oso ona;45;26;Muy buena / Oso ona
26/10/2017;15:00;7;26;Muy buena / Oso ona;38;42;Buena / Ona
26/10/2017;14:00;9;23;Muy buena / Oso ona;38;42;Buena / Ona
26/10/2017;13:00;12;28;Muy buena / Oso ona;46;49;Buena / Ona
26/10/2017;12:00;30;50;Muy buena / Oso ona;96;31;Muy buena / Oso ona
26/10/2017;11:00;67;60;Muy buena / Oso ona;163;35;Muy buena / Oso ona
26/10/2017;10:00;73;50;Muy buena / Oso ona;162;47;Buena / Ona
26/10/2017;09:00;80;48;Muy buena / Oso ona;171;38;Muy buena / Oso ona
26/10/2017;08:00;123;51;Muy buena / Oso ona;240;59;Buena / Ona
26/10/2017;07:00;115;48;Muy buena / Oso ona;225;34;Muy buena / Oso ona
26/10/2017;06:00;117;44;Muy buena / Oso ona;223;30;Muy buena / Oso ona
26/10/2017;05:00;68;35;Muy buena / Oso ona;139;24;Muy buena / Oso ona
26/10/2017;04:00;55;31;Muy buena / Oso ona;115;20;Muy buena / Oso ona
26/10/2017;03:00;21;23;Muy buena / Oso ona;54;17;Muy buena / Oso ona
26/10/2017;02:00;11;16;Muy buena / Oso ona;33;14;Muy buena / Oso ona
26/10/2017;01:00;9;14;Muy buena / Oso ona;27;13;Muy buena / Oso ona
25/10/2017;24:00;9;16;Muy buena / Oso ona;30;13;Muy buena / Oso ona
25/10/2017;23:00;9;18;Muy buena / Oso ona;31;16;Muy buena / Oso ona
25/10/2017;22:00;10;19;Muy buena / Oso ona;35;18;Muy buena / Oso ona
25/10/2017;21:00;26;29;Muy buena / Oso ona;69;20;Muy buena / Oso ona
25/10/2017;20:00;26;30;Muy buena / Oso ona;71;19;Muy buena / Oso ona
25/10/2017;19:00;43;38;Muy buena / Oso ona;104;24;Muy buena / Oso ona
25/10/2017;18:00;66;55;Muy buena / Oso ona;155;28;Muy buena / Oso ona
25/10/2017;17:00;84;72;Muy buena / Oso ona;200;40;Muy buena / Oso ona
25/10/2017;16:00;34;59;Muy buena / Oso ona;111;38;Muy buena / Oso ona
25/10/2017;15:00;23;53;Muy buena / Oso ona;88;35;Muy buena / Oso ona
25/10/2017;14:00;10;34;Muy buena / Oso ona;49;19;Muy buena / Oso ona
25/10/2017;13:00;22;43;Muy buena / Oso ona;77;22;Muy buena / Oso ona
25/10/2017;12:00;36;44;Muy buena / Oso ona;99;24;Muy buena / Oso ona
25/10/2017;11:00;56;45;Muy buena / Oso ona;131;43;Buena / Ona
25/10/2017;10:00;66;36;Muy buena / Oso ona;136;44;Buena / Ona
25/10/2017;09:00;91;33;Muy buena / Oso ona;171;45;Buena / Ona
25/10/2017;08:00;143;38;Muy buena / Oso ona;258;49;Buena / Ona
25/10/2017;07:00;139;38;Muy buena / Oso ona;252;40;Muy buena / Oso ona
25/10/2017;06:00;100;31;Muy buena / Oso ona;183;28;Muy buena / Oso ona
25/10/2017;05:00;59;24;Muy buena / Oso ona;114;25;Muy buena / Oso ona
25/10/2017;04:00;35;23;Muy buena / Oso ona;76;24;Muy buena / Oso ona
25/10/2017;03:00;25;20;Muy buena / Oso ona;58;21;Muy buena / Oso ona
25/10/2017;02:00;24;20;Muy buena / Oso ona;56;21;Muy buena / Oso ona
25/10/2017;01:00;26;20;Muy buena / Oso ona;59;18;Muy buena / Oso ona
24/10/2017;24:00;25;20;Muy buena / Oso ona;59;16;Muy buena / Oso ona
24/10/2017;23:00;33;24;Muy buena / Oso ona;75;17;Muy buena / Oso ona
24/10/2017;22:00;40;25;Muy buena / Oso ona;85;20;Muy buena / Oso ona
24/10/2017;21:00;49;29;Muy buena / Oso ona;104;19;Muy buena / Oso ona
24/10/2017;20:00;70;32;Muy buena / Oso ona;139;23;Muy buena / Oso ona
24/10/2017;19:00;65;34;Muy buena / Oso ona;134;24;Muy buena / Oso ona
24/10/2017;18:00;61;41;Muy buena / Oso ona;134;25;Muy buena / Oso ona
24/10/2017;17:00;56;52;Muy buena / Oso ona;138;28;Muy buena / Oso ona
24/10/2017;16:00;44;52;Muy buena / Oso ona;120;28;Muy buena / Oso ona
24/10/2017;15:00;32;51;Muy buena / Oso ona;101;33;Muy buena / Oso ona
24/10/2017;14:00;18;37;Muy buena / Oso ona;64;22;Muy buena / Oso ona
24/10/2017;13:00;26;40;Muy buena / Oso ona;80;20;Muy buena / Oso ona
24/10/2017;12:00;31;39;Muy buena / Oso ona;86;23;Muy buena / Oso ona
24/10/2017;11:00;36;35;Muy buena / Oso ona;90;20;Muy buena / Oso ona
24/10/2017;10:00;50;32;Muy buena / Oso ona;109;26;Muy buena / Oso ona
24/10/2017;09:00;58;28;Muy buena / Oso ona;117;26;Muy buena / Oso ona
24/10/2017;08:00;62;24;Muy buena / Oso ona;119;22;Muy buena / Oso ona
24/10/2017;07:00;75;29;Muy buena / Oso ona;144;20;Muy buena / Oso ona
24/10/2017;06:00;55;25;Muy buena / Oso ona;109;13;Muy buena / Oso ona
24/10/2017;05:00;27;20;Muy buena / Oso ona;61;11;Muy buena / Oso ona
24/10/2017;04:00;18;21;Muy buena / Oso ona;48;10;Muy buena / Oso ona
24/10/2017;03:00;10;18;Muy buena / Oso ona;33;12;Muy buena / Oso ona
24/10/2017;02:00;10;15;Muy buena / Oso ona;31;11;Muy buena / Oso ona
24/10/2017;01:00;14;14;Muy buena / Oso ona;36;8;Muy buena / Oso ona
23/10/2017;24:00;10;13;Muy buena / Oso ona;29;10;Muy buena / Oso ona
23/10/2017;23:00;20;18;Muy buena / Oso ona;49;13;Muy buena / Oso ona
23/10/2017;22:00;19;17;Muy buena / Oso ona;45;15;Muy buena / Oso ona
23/10/2017;21:00;26;22;Muy buena / Oso ona;62;15;Muy buena / Oso ona
23/10/2017;20:00;22;26;Muy buena / Oso ona;59;14;Muy buena / Oso ona
23/10/2017;19:00;37;38;Muy buena / Oso ona;95;20;Muy buena / Oso ona
23/10/2017;18:00;46;57;Muy buena / Oso ona;127;25;Muy buena / Oso ona
23/10/2017;17:00;11;49;Muy buena / Oso ona;66;25;Muy buena / Oso ona
23/10/2017;16:00;10;31;Muy buena / Oso ona;47;20;Muy buena / Oso ona
23/10/2017;15:00;9;24;Muy buena / Oso ona;37;23;Muy buena / Oso ona
23/10/2017;14:00;8;18;Muy buena / Oso ona;29;23;Muy buena / Oso ona
23/10/2017;13:00;9;17;Muy buena / Oso ona;31;3;Muy buena / Oso ona
23/10/2017;12:00;16;20;Muy buena / Oso ona;44;10;Muy buena / Oso ona
23/10/2017;11:00;30;24;Muy buena / Oso ona;70;19;Muy buena / Oso ona
23/10/2017;10:00;30;25;Muy buena / Oso ona;70;15;Muy buena / Oso ona
23/10/2017;09:00;23;26;Muy buena / Oso ona;60;13;Muy buena / Oso ona
23/10/2017;08:00;47;34;Muy buena / Oso ona;106;18;Muy buena / Oso ona
23/10/2017;07:00;45;35;Muy buena / Oso ona;103;17;Muy buena / Oso ona
23/10/2017;06:00;44;33;Muy buena / Oso ona;101;18;Muy buena / Oso ona
23/10/2017;05:00;16;22;Muy buena / Oso ona;47;13;Muy buena / Oso ona
23/10/2017;04:00;13;17;Muy buena / Oso ona;37;11;Muy buena / Oso ona
23/10/2017;03:00;6;14;Muy buena / Oso ona;23;15;Muy buena / Oso ona
23/10/2017;02:00;7;18;Muy buena / Oso ona;29;8;Muy buena / Oso ona
23/10/2017;01:00;5;14;Muy buena / Oso ona;22;10;Muy buena / Oso ona
22/10/2017;24:00;6;10;Muy buena / Oso ona;20;9;Muy buena / Oso ona
22/10/2017;23:00;9;15;Muy buena / Oso ona;28;9;Muy buena / Oso ona
22/10/2017;22:00;10;18;Muy buena / Oso ona;33;12;Muy buena / Oso ona
22/10/2017;21:00;8;17;Muy buena / Oso ona;30;14;Muy buena / Oso ona
22/10/2017;20:00;17;28;Muy buena / Oso ona;54;13;Muy buena / Oso ona
22/10/2017;19:00;9;34;Muy buena / Oso ona;48;10;Muy buena / Oso ona
22/10/2017;18:00;5;27;Muy buena / Oso ona;35;10;Muy buena / Oso ona
