Date;Hour;O3 (µg/m3);O3 - ICA;O3 8h (µg/m3)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;63;"Buena / ";68
29/10/2017;06:00;;"Sin datos / ";69
29/10/2017;05:00;70;"Buena / ";69
29/10/2017;04:00;68;"Buena / ";69
29/10/2017;03:00;70;"Buena / ";69
29/10/2017;02:00;68;"Buena / ";69
29/10/2017;01:00;71;"Buena / ";70
28/10/2017;24:00;70;"Buena / ";69
28/10/2017;23:00;67;"Buena / ";68
28/10/2017;22:00;68;"Buena / ";68
28/10/2017;21:00;69;"Buena / ";66
28/10/2017;20:00;70;"Buena / ";65
28/10/2017;19:00;72;"Buena / ";63
28/10/2017;18:00;71;"Buena / ";61
28/10/2017;17:00;67;"Buena / ";59
28/10/2017;16:00;63;"Buena / ";58
28/10/2017;15:00;62;"Buena / ";58
28/10/2017;14:00;56;"Muy buena / ";59
28/10/2017;13:00;55;"Muy buena / ";60
28/10/2017;12:00;57;"Muy buena / ";61
28/10/2017;11:00;56;"Muy buena / ";62
28/10/2017;10:00;59;"Muy buena / ";64
28/10/2017;09:00;58;"Muy buena / ";66
28/10/2017;08:00;64;"Buena / ";68
28/10/2017;07:00;63;"Buena / ";68
28/10/2017;06:00;;"Sin datos / ";69
28/10/2017;05:00;68;"Buena / ";69
28/10/2017;04:00;70;"Buena / ";68
28/10/2017;03:00;70;"Buena / ";66
28/10/2017;02:00;71;"Buena / ";65
28/10/2017;01:00;68;"Buena / ";63
27/10/2017;24:00;67;"Buena / ";62
27/10/2017;23:00;67;"Buena / ";61
27/10/2017;22:00;65;"Buena / ";59
27/10/2017;21:00;64;"Buena / ";58
27/10/2017;20:00;60;"Muy buena / ";56
27/10/2017;19:00;59;"Muy buena / ";55
27/10/2017;18:00;58;"Muy buena / ";56
27/10/2017;17:00;58;"Muy buena / ";57
27/10/2017;16:00;57;"Muy buena / ";58
27/10/2017;15:00;54;"Muy buena / ";59
27/10/2017;14:00;51;"Muy buena / ";60
27/10/2017;13:00;51;"Muy buena / ";61
27/10/2017;12:00;52;"Muy buena / ";62
27/10/2017;11:00;66;"Buena / ";66
27/10/2017;10:00;66;"Buena / ";68
27/10/2017;09:00;67;"Buena / ";69
27/10/2017;08:00;65;"Buena / ";71
27/10/2017;07:00;59;"Muy buena / ";72
27/10/2017;06:00;;"Sin datos / ";76
27/10/2017;05:00;64;"Buena / ";80
27/10/2017;04:00;77;"Buena / ";83
27/10/2017;03:00;78;"Buena / ";86
27/10/2017;02:00;78;"Buena / ";88
27/10/2017;01:00;77;"Buena / ";89
26/10/2017;24:00;79;"Buena / ";90
26/10/2017;23:00;82;"Buena / ";89
26/10/2017;22:00;89;"Buena / ";87
26/10/2017;21:00;102;"Buena / ";84
26/10/2017;20:00;96;"Buena / ";80
26/10/2017;19:00;90;"Buena / ";77
26/10/2017;18:00;86;"Buena / ";73
26/10/2017;17:00;83;"Buena / ";70
26/10/2017;16:00;81;"Buena / ";67
26/10/2017;15:00;72;"Buena / ";64
26/10/2017;14:00;60;"Muy buena / ";62
26/10/2017;13:00;73;"Buena / ";62
26/10/2017;12:00;67;"Buena / ";60
26/10/2017;11:00;65;"Buena / ";59
26/10/2017;10:00;62;"Buena / ";59
26/10/2017;09:00;58;"Muy buena / ";60
26/10/2017;08:00;55;"Muy buena / ";61
26/10/2017;07:00;55;"Muy buena / ";62
26/10/2017;06:00;;"Sin datos / ";65
26/10/2017;05:00;59;"Muy buena / ";68
26/10/2017;04:00;61;"Buena / ";68
26/10/2017;03:00;64;"Buena / ";70
26/10/2017;02:00;67;"Buena / ";71
26/10/2017;01:00;70;"Buena / ";73
25/10/2017;24:00;72;"Buena / ";74
25/10/2017;23:00;73;"Buena / ";74
25/10/2017;22:00;71;"Buena / ";75
25/10/2017;21:00;70;"Buena / ";76
25/10/2017;20:00;72;"Buena / ";76
25/10/2017;19:00;75;"Buena / ";76
25/10/2017;18:00;77;"Buena / ";75
25/10/2017;17:00;77;"Buena / ";74
25/10/2017;16:00;80;"Buena / ";71
25/10/2017;15:00;81;"Buena / ";68
25/10/2017;14:00;79;"Buena / ";65
25/10/2017;13:00;70;"Buena / ";62
25/10/2017;12:00;71;"Buena / ";61
25/10/2017;11:00;68;"Buena / ";58
25/10/2017;10:00;63;"Buena / ";56
25/10/2017;09:00;57;"Muy buena / ";55
25/10/2017;08:00;58;"Muy buena / ";56
25/10/2017;07:00;54;"Muy buena / ";56
25/10/2017;06:00;;"Sin datos / ";58
25/10/2017;05:00;57;"Muy buena / ";62
25/10/2017;04:00;53;"Muy buena / ";64
25/10/2017;03:00;54;"Muy buena / ";68
25/10/2017;02:00;59;"Muy buena / ";73
25/10/2017;01:00;61;"Buena / ";76
24/10/2017;24:00;63;"Buena / ";79
24/10/2017;23:00;68;"Buena / ";79
24/10/2017;22:00;76;"Buena / ";80
24/10/2017;21:00;80;"Buena / ";81
24/10/2017;20:00;80;"Buena / ";81
24/10/2017;19:00;85;"Buena / ";81
24/10/2017;18:00;84;"Buena / ";79
24/10/2017;17:00;78;"Buena / ";78
24/10/2017;16:00;79;"Buena / ";77
24/10/2017;15:00;81;"Buena / ";76
24/10/2017;14:00;79;"Buena / ";74
24/10/2017;13:00;79;"Buena / ";72
24/10/2017;12:00;80;"Buena / ";71
24/10/2017;11:00;74;"Buena / ";69
24/10/2017;10:00;73;"Buena / ";67
24/10/2017;09:00;71;"Buena / ";67
24/10/2017;08:00;71;"Buena / ";69
24/10/2017;07:00;68;"Buena / ";69
24/10/2017;06:00;;"Sin datos / ";72
24/10/2017;05:00;58;"Muy buena / ";76
24/10/2017;04:00;62;"Buena / ";77
24/10/2017;03:00;64;"Buena / ";80
24/10/2017;02:00;73;"Buena / ";80
24/10/2017;01:00;82;"Buena / ";80
23/10/2017;24:00;83;"Buena / ";77
23/10/2017;23:00;86;"Buena / ";76
23/10/2017;22:00;87;"Buena / ";74
23/10/2017;21:00;86;"Buena / ";70
23/10/2017;20:00;83;"Buena / ";67
23/10/2017;19:00;66;"Buena / ";63
23/10/2017;18:00;69;"Buena / ";62
23/10/2017;17:00;65;"Buena / ";60
23/10/2017;16:00;67;"Buena / ";59
23/10/2017;15:00;65;"Buena / ";56
23/10/2017;14:00;57;"Muy buena / ";53
23/10/2017;13:00;62;"Buena / ";53
23/10/2017;12:00;54;"Muy buena / ";52
23/10/2017;11:00;57;"Muy buena / ";52
23/10/2017;10:00;56;"Muy buena / ";52
23/10/2017;09:00;50;"Muy buena / ";54
23/10/2017;08:00;44;"Muy buena / ";57
23/10/2017;07:00;47;"Muy buena / ";59
23/10/2017;06:00;;"Sin datos / ";63
23/10/2017;05:00;56;"Muy buena / ";62
23/10/2017;04:00;55;"Muy buena / ";62
23/10/2017;03:00;61;"Buena / ";63
23/10/2017;02:00;66;"Buena / ";63
23/10/2017;01:00;71;"Buena / ";62
22/10/2017;24:00;73;"Buena / ";60
22/10/2017;23:00;73;"Buena / ";60
22/10/2017;22:00;48;"Muy buena / ";59
22/10/2017;21:00;62;"Buena / ";60
22/10/2017;20:00;60;"Muy buena / ";61
22/10/2017;19:00;60;"Muy buena / ";62
22/10/2017;18:00;58;"Muy buena / ";63
22/10/2017;17:00;58;"Muy buena / ";64
22/10/2017;16:00;60;"Muy buena / ";64
22/10/2017;15:00;62;"Buena / ";64
22/10/2017;14:00;62;"Buena / ";63
22/10/2017;13:00;69;"Buena / ";63
22/10/2017;12:00;67;"Buena / ";62
22/10/2017;11:00;65;"Buena / ";61
22/10/2017;10:00;65;"Buena / ";60
22/10/2017;09:00;62;"Buena / ";58
22/10/2017;08:00;57;"Muy buena / ";58
22/10/2017;07:00;60;"Muy buena / ";58
22/10/2017;06:00;;"Sin datos / ";58
22/10/2017;05:00;58;"Muy buena / ";59
22/10/2017;04:00;58;"Muy buena / ";59
22/10/2017;03:00;57;"Muy buena / ";59
22/10/2017;02:00;54;"Muy buena / ";60
22/10/2017;01:00;60;"Muy buena / ";61
21/10/2017;24:00;57;"Muy buena / ";62
21/10/2017;23:00;59;"Muy buena / ";63
21/10/2017;22:00;64;"Buena / ";64
21/10/2017;21:00;60;"Muy buena / ";64
21/10/2017;20:00;61;"Buena / ";64
21/10/2017;19:00;59;"Muy buena / ";63
21/10/2017;18:00;61;"Buena / ";64
21/10/2017;17:00;68;"Buena / ";64
21/10/2017;16:00;69;"Buena / ";63
21/10/2017;15:00;67;"Buena / ";62
21/10/2017;14:00;64;"Buena / ";61
21/10/2017;13:00;59;"Muy buena / ";61
21/10/2017;12:00;60;"Muy buena / ";61
21/10/2017;11:00;61;"Buena / ";61
21/10/2017;10:00;61;"Buena / ";60
21/10/2017;09:00;59;"Muy buena / ";58
21/10/2017;08:00;64;"Buena / ";55
21/10/2017;07:00;60;"Muy buena / ";54
21/10/2017;06:00;;"Sin datos / ";54
21/10/2017;05:00;58;"Muy buena / ";53
21/10/2017;04:00;59;"Muy buena / ";54
21/10/2017;03:00;54;"Muy buena / ";55
21/10/2017;02:00;44;"Muy buena / ";56
21/10/2017;01:00;43;"Muy buena / ";60
20/10/2017;24:00;52;"Muy buena / ";64
20/10/2017;23:00;58;"Muy buena / ";65
20/10/2017;22:00;60;"Muy buena / ";67
20/10/2017;21:00;63;"Buena / ";68
20/10/2017;20:00;61;"Buena / ";68
20/10/2017;19:00;65;"Buena / ";67
20/10/2017;18:00;72;"Buena / ";64
20/10/2017;17:00;72;"Buena / ";60
20/10/2017;16:00;72;"Buena / ";57
20/10/2017;15:00;70;"Buena / ";53
20/10/2017;14:00;67;"Buena / ";49
20/10/2017;13:00;61;"Buena / ";46
20/10/2017;12:00;57;"Muy buena / ";43
20/10/2017;11:00;43;"Muy buena / ";41
20/10/2017;10:00;41;"Muy buena / ";41
20/10/2017;09:00;43;"Muy buena / ";42
20/10/2017;08:00;40;"Muy buena / ";42
20/10/2017;07:00;40;"Muy buena / ";43
20/10/2017;06:00;;"Sin datos / ";44
20/10/2017;05:00;41;"Muy buena / ";46
20/10/2017;04:00;42;"Muy buena / ";46
20/10/2017;03:00;42;"Muy buena / ";47
20/10/2017;02:00;45;"Muy buena / ";49
20/10/2017;01:00;48;"Muy buena / ";50
19/10/2017;24:00;47;"Muy buena / ";52
19/10/2017;23:00;48;"Muy buena / ";53
19/10/2017;22:00;50;"Muy buena / ";55
19/10/2017;21:00;50;"Muy buena / ";57
19/10/2017;20:00;48;"Muy buena / ";59
19/10/2017;19:00;55;"Muy buena / ";60
19/10/2017;18:00;53;"Muy buena / ";60
19/10/2017;17:00;57;"Muy buena / ";59
19/10/2017;16:00;61;"Buena / ";58
19/10/2017;15:00;68;"Buena / ";56
19/10/2017;14:00;67;"Buena / ";53
19/10/2017;13:00;65;"Buena / ";52
19/10/2017;12:00;56;"Muy buena / ";50
19/10/2017;11:00;52;"Muy buena / ";50
19/10/2017;10:00;49;"Muy buena / ";52
19/10/2017;09:00;48;"Muy buena / ";54
19/10/2017;08:00;43;"Muy buena / ";55
19/10/2017;07:00;47;"Muy buena / ";57
19/10/2017;06:00;;"Sin datos / ";59
19/10/2017;05:00;60;"Muy buena / ";61
19/10/2017;04:00;61;"Buena / ";61
19/10/2017;03:00;62;"Buena / ";61
19/10/2017;02:00;63;"Buena / ";59
19/10/2017;01:00;59;"Muy buena / ";57
18/10/2017;24:00;60;"Muy buena / ";55
18/10/2017;23:00;59;"Muy buena / ";54
18/10/2017;22:00;62;"Buena / ";52
18/10/2017;21:00;60;"Muy buena / ";51
18/10/2017;20:00;64;"Buena / ";51
18/10/2017;19:00;46;"Muy buena / ";50
18/10/2017;18:00;50;"Muy buena / ";50
18/10/2017;17:00;47;"Muy buena / ";50
18/10/2017;16:00;43;"Muy buena / ";50
18/10/2017;15:00;47;"Muy buena / ";
18/10/2017;14:00;54;"Muy buena / ";
18/10/2017;13:00;58;"Muy buena / ";
18/10/2017;12:00;53;"Muy buena / ";
18/10/2017;11:00;;"Sin datos / ";
18/10/2017;10:00;;"Sin datos / ";
18/10/2017;09:00;;"Sin datos / ";
18/10/2017;08:00;;"Sin datos / ";
18/10/2017;07:00;;"Sin datos / ";
18/10/2017;06:00;;"Sin datos / ";
18/10/2017;05:00;;"Sin datos / ";
18/10/2017;04:00;;"Sin datos / ";
18/10/2017;03:00;;"Sin datos / ";
18/10/2017;02:00;;"Sin datos / ";
18/10/2017;01:00;;"Sin datos / ";
17/10/2017;24:00;;"Sin datos / ";
17/10/2017;23:00;;"Sin datos / ";
17/10/2017;22:00;;"Sin datos / ";
17/10/2017;21:00;;"Sin datos / ";
17/10/2017;20:00;;"Sin datos / ";
17/10/2017;19:00;;"Sin datos / ";
17/10/2017;18:00;;"Sin datos / ";
17/10/2017;17:00;;"Sin datos / ";
17/10/2017;16:00;;"Sin datos / ";
17/10/2017;15:00;;"Sin datos / ";
17/10/2017;14:00;;"Sin datos / ";
17/10/2017;13:00;;"Sin datos / ";
17/10/2017;12:00;;"Sin datos / ";
17/10/2017;11:00;;"Sin datos / ";
17/10/2017;10:00;;"Sin datos / ";
17/10/2017;09:00;;"Sin datos / ";
17/10/2017;08:00;;"Sin datos / ";
17/10/2017;07:00;;"Sin datos / ";
17/10/2017;06:00;;"Sin datos / ";
17/10/2017;05:00;;"Sin datos / ";
17/10/2017;04:00;;"Sin datos / ";
17/10/2017;03:00;;"Sin datos / ";
17/10/2017;02:00;;"Sin datos / ";
17/10/2017;01:00;;"Sin datos / ";
16/10/2017;24:00;;"Sin datos / ";
16/10/2017;23:00;;"Sin datos / ";
