Date;Hour;CO (mg/m3);CO - ICA;CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;0,19;"Muy buena / ";0,18;1;9;Muy buena / Oso ona;11;26;"Muy buena / ";27;7;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;241;92;986,7;0;3,4;10,2;1,66
29/10/2017;06:00;0,18;"Muy buena / ";0,19;;;Sin datos / Daturik gabe;9;26;"Muy buena / ";27;6;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;240;92;987;0;2,7;9,8;1,84
29/10/2017;05:00;0,18;"Muy buena / ";0,19;;;Sin datos / Daturik gabe;8;23;"Muy buena / ";28;10;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona;248;92;986,9;0;2,6;9,6;2,01
29/10/2017;04:00;0,18;"Muy buena / ";0,19;;;Sin datos / Daturik gabe;7;23;"Muy buena / ";29;11;Muy buena / Oso ona;23;Muy buena / Oso ona;2;Muy buena / Oso ona;250;92;986,8;0;2,1;9,9;1,41
29/10/2017;03:00;0,19;"Muy buena / ";0,2;;;Sin datos / Daturik gabe;8;27;"Muy buena / ";31;14;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona;241;92;987;0;2,5;9,7;1,84
29/10/2017;02:00;0,18;"Muy buena / ";0,2;;;Sin datos / Daturik gabe;9;26;"Muy buena / ";33;9;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona;263;92;987,2;0;1,8;9,6;1,47
29/10/2017;01:00;0,18;"Muy buena / ";0,2;;;Sin datos / Daturik gabe;7;31;"Muy buena / ";38;6;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;239;91;987,9;0;2,6;9,8;2,39
28/10/2017;24:00;0,19;"Muy buena / ";0,2;;;Sin datos / Daturik gabe;8;32;"Muy buena / ";43;9;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;;93;988,5;0;3,2;;
28/10/2017;23:00;0,2;"Muy buena / ";0,19;1;10;Muy buena / Oso ona;12;29;"Muy buena / ";49;10;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;244;89;988,6;0;2,9;10;2,18
28/10/2017;22:00;0,2;"Muy buena / ";0,19;1;9;Muy buena / Oso ona;11;34;"Muy buena / ";54;10;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona;246;89;988,8;0;2,9;10,3;2,12
28/10/2017;21:00;0,2;"Muy buena / ";0,18;1;15;Muy buena / Oso ona;17;32;"Muy buena / ";57;12;Muy buena / Oso ona;17;Muy buena / Oso ona;2;Muy buena / Oso ona;247;87;988,9;0;3,1;10,5;1,96
28/10/2017;20:00;0,23;"Muy buena / ";0,18;1;24;Muy buena / Oso ona;26;36;"Muy buena / ";62;7;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;242;82;988,9;0;2,7;12;1,16
28/10/2017;19:00;0,23;"Muy buena / ";0,18;2;26;Muy buena / Oso ona;29;44;"Muy buena / ";67;10;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;282;76;988,6;0;2,2;13,6;0,46
28/10/2017;18:00;0,19;"Muy buena / ";0,17;1;12;Muy buena / Oso ona;13;65;"Buena / ";70;10;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;357;71;988,5;0;2,9;14,2;1,1
28/10/2017;17:00;0,14;"Muy buena / ";0,18;1;7;Muy buena / Oso ona;9;75;"Buena / ";70;5;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;22;68;987,9;0;15;14,8;1,95
28/10/2017;16:00;0,15;"Muy buena / ";0,19;;;Sin datos / Daturik gabe;7;75;"Buena / ";67;6;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;21;74;987,6;0;43,9;15,1;2,64
28/10/2017;15:00;0,16;"Muy buena / ";0,2;;;Sin datos / Daturik gabe;10;72;"Buena / ";63;10;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;14;73;987,9;0;75;15,8;1,58
28/10/2017;14:00;0,18;"Muy buena / ";0,2;1;9;Muy buena / Oso ona;11;;"Sin datos / ";60;12;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;4;77;988,4;0;97,3;15,5;1,5
28/10/2017;13:00;0,18;"Muy buena / ";0,2;1;9;Muy buena / Oso ona;11;65;"Buena / ";60;11;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;349;76;988,8;0;44,4;15,5;1
28/10/2017;12:00;0,18;"Muy buena / ";0,2;1;6;Muy buena / Oso ona;8;71;"Buena / ";61;8;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;23;75;989,3;0;80,1;15,5;3,55
28/10/2017;11:00;0,2;"Muy buena / ";0,21;1;7;Muy buena / Oso ona;9;68;"Buena / ";60;8;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;22;78;989,8;0;60,4;15,4;2,68
28/10/2017;10:00;0,23;"Muy buena / ";0,21;1;10;Muy buena / Oso ona;12;61;"Buena / ";60;9;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;22;81;989,7;0;38;15,4;1,48
28/10/2017;09:00;0,22;"Muy buena / ";0,2;1;14;Muy buena / Oso ona;16;56;"Muy buena / ";61;11;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;349;82;989,9;0;31,4;15,3;0,97
28/10/2017;08:00;0,23;"Muy buena / ";0,2;1;16;Muy buena / Oso ona;19;47;"Muy buena / ";63;10;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;319;86;989,7;0;20,8;14,8;0,8
28/10/2017;07:00;0,21;"Muy buena / ";0,19;;;Sin datos / Daturik gabe;15;51;"Muy buena / ";66;12;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;344;84;989,3;0;2,6;14,5;0,66
28/10/2017;06:00;0,2;"Muy buena / ";0,19;;;Sin datos / Daturik gabe;8;64;"Buena / ";69;7;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;340;85;989,5;0;2;14,7;0,94
28/10/2017;05:00;0,19;"Muy buena / ";0,19;;;Sin datos / Daturik gabe;4;69;"Buena / ";70;5;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;19;88;989,5;0;1,6;14,7;1,59
28/10/2017;04:00;0,21;"Muy buena / ";0,18;;;Sin datos / Daturik gabe;5;62;"Buena / ";70;7;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;41;89;989,4;0,1;1,2;14,7;0,38
28/10/2017;03:00;0,2;"Muy buena / ";0,18;;;Sin datos / Daturik gabe;3;69;"Buena / ";70;7;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;279;89;990,4;0,1;2,7;14,7;1,28
28/10/2017;02:00;0,19;"Muy buena / ";0,18;;;Sin datos / Daturik gabe;3;72;"Buena / ";68;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;289;87;991,2;0;3,4;14,7;1,55
28/10/2017;01:00;0,18;"Muy buena / ";0,18;;;Sin datos / Daturik gabe;4;70;"Buena / ";67;9;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;282;86;991,6;0;3,6;14,8;1,7
27/10/2017;24:00;0,17;"Muy buena / ";0,18;;;Sin datos / Daturik gabe;3;74;"Buena / ";67;6;Muy buena / Oso ona;1;Muy buena / Oso ona;2;Muy buena / Oso ona;;86;991,8;0;4;;
27/10/2017;23:00;;"Sin datos / ";0,17;;;Sin datos / Daturik gabe;;;"Sin datos / ";64;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;
27/10/2017;22:00;0,18;"Muy buena / ";0,17;;;Sin datos / Daturik gabe;4;71;"Buena / ";64;4;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;331;86;992;0;3,4;14,8;2,29
27/10/2017;21:00;0,18;"Muy buena / ";0,18;;;Sin datos / Daturik gabe;5;70;"Buena / ";60;7;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona;352;87;991,6;0;3,4;15,3;2,27
27/10/2017;20:00;0,19;"Muy buena / ";0,18;1;11;Muy buena / Oso ona;13;57;"Muy buena / ";59;12;Muy buena / Oso ona;21;Muy buena / Oso ona;2;Muy buena / Oso ona;288;84;992;0;4,5;15,8;1,97
27/10/2017;19:00;0,18;"Muy buena / ";0,18;1;12;Muy buena / Oso ona;14;59;"Muy buena / ";59;14;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;286;80;991,8;0;4,1;16,3;1,53
27/10/2017;18:00;0,17;"Muy buena / ";0,18;1;10;Muy buena / Oso ona;12;64;"Buena / ";58;12;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;357;78;991,3;0;3,3;16,5;1,54
27/10/2017;17:00;0,17;"Muy buena / ";0,19;1;8;Muy buena / Oso ona;10;65;"Buena / ";53;9;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;341;78;991,5;0;8,4;17,1;2,05
27/10/2017;16:00;0,16;"Muy buena / ";0,21;1;10;Muy buena / Oso ona;13;63;"Buena / ";45;10;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;348;77;991,4;0;30,5;17,6;2,27
27/10/2017;15:00;0,17;"Muy buena / ";0,23;2;11;Muy buena / Oso ona;14;60;"Muy buena / ";36;11;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;353;76;991,2;0;61,3;18,1;1,83
27/10/2017;14:00;0,23;"Muy buena / ";0,25;4;22;Muy buena / Oso ona;28;45;"Muy buena / ";28;20;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;291;77;991,8;0;125,5;18,2;1,68
27/10/2017;13:00;0,2;"Muy buena / ";0,25;5;22;Muy buena / Oso ona;29;;"Sin datos / ";22;18;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;290;79;992;0;117,6;17,6;1,45
27/10/2017;12:00;0,19;"Muy buena / ";0,25;3;16;Muy buena / Oso ona;20;54;"Muy buena / ";22;16;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;261;79;992,5;0;93,8;17,2;2,32
27/10/2017;11:00;0,21;"Muy buena / ";0,25;5;19;Muy buena / Oso ona;26;52;"Muy buena / ";17;19;Muy buena / Oso ona;23;Muy buena / Oso ona;2;Muy buena / Oso ona;263;82;992,6;0;132,5;16,7;2,22
27/10/2017;10:00;0,25;"Muy buena / ";0,25;8;34;Muy buena / Oso ona;46;31;"Muy buena / ";14;33;Muy buena / Oso ona;35;Buena / Ona;2;Muy buena / Oso ona;249;84;992,2;0;80;15,6;1,51
27/10/2017;09:00;0,28;"Muy buena / ";0,24;21;43;Muy buena / Oso ona;74;10;"Muy buena / ";14;43;Buena / Ona;39;Buena / Ona;3;Muy buena / Oso ona;240;89;992,3;0;58,6;12,9;1,92
27/10/2017;08:00;0,29;"Muy buena / ";0,23;45;46;Muy buena / Oso ona;115;2;"Muy buena / ";17;47;Buena / Ona;31;Buena / Ona;3;Muy buena / Oso ona;243;91;991,7;0;20,9;11,1;2,16
27/10/2017;07:00;0,33;"Muy buena / ";0,21;56;50;Muy buena / Oso ona;136;2;"Muy buena / ";21;29;Muy buena / Oso ona;28;Buena / Ona;2;Muy buena / Oso ona;241;90;990,7;0;3,9;10,8;1,25
27/10/2017;06:00;0,24;"Muy buena / ";0,2;27;46;Muy buena / Oso ona;86;6;"Muy buena / ";25;24;Muy buena / Oso ona;28;Buena / Ona;2;Muy buena / Oso ona;258;90;990,7;0;2,8;10,8;1,45
27/10/2017;05:00;0,21;"Muy buena / ";0,2;4;30;Muy buena / Oso ona;36;16;"Muy buena / ";29;23;Muy buena / Oso ona;31;Buena / Ona;2;Muy buena / Oso ona;246;90;990,4;0;3;10,7;1,55
27/10/2017;04:00;0,19;"Muy buena / ";0,2;1;26;Muy buena / Oso ona;28;20;"Muy buena / ";31;23;Muy buena / Oso ona;34;Buena / Ona;2;Muy buena / Oso ona;243;89;990;0;2,8;10,8;1,41
27/10/2017;03:00;0,18;"Muy buena / ";0,21;;;Sin datos / Daturik gabe;23;24;"Muy buena / ";33;25;Muy buena / Oso ona;36;Buena / Ona;3;Muy buena / Oso ona;244;87;990;0;2,4;11,1;1,22
27/10/2017;02:00;0,18;"Muy buena / ";0,23;;;Sin datos / Daturik gabe;19;29;"Muy buena / ";33;25;Muy buena / Oso ona;39;Buena / Ona;2;Muy buena / Oso ona;244;86;990,5;0;3,2;11,4;1,6
