"ANY","FECHA","HORA","PM2.5(µg/m³)","PM1(µg/m³)","SO2(µg/m³)","CO(mg/m³)","NO(µg/m³)","NO2(µg/m³)","PM10(µg/m³)","Nox(µg/m³)","O3(µg/m³)","Veloc.(m/s)","Direc.(grados)","Temp.(°C)","H.Rel.(% H.R.)","Pres.(mb)","R.Sol.(W/m²)","Precip.(l/m²)"
2016,01/01/16,20,17,3,,5,13,26,21,31,,"0,3",244,"11,8",75,1006,,0
2016,02/01/16,3,2,3,,5,10,8,18,,,2,226,"12,2",50,1004,,0
2016,03/01/16,2,0,3,,5,9,6,17,,,2,212,"11,8",52,999,,0
2016,04/01/16,4,0,3,,5,8,36,16,,,"3,2",216,"17,3",45,987,,0
2016,05/01/16,1,0,3,,4,7,6,12,,,"1,8",236,"11,7",44,990,,0
2016,06/01/16,1,0,3,,2,4,4,6,,,"2,8",244,"8,8",46,999,35,0
2016,07/01/16,1,0,3,,5,7,6,13,,,"3,1",223,"14,2",54,998,5,0
2016,08/01/16,2,1,3,,3,7,8,11,,,"1,6",200,"14,8",50,996,94,0
2016,09/01/16,2,1,3,,2,4,6,6,,,"1,5",224,"14,4",46,993,46,0
2016,10/01/16,1,0,3,,4,6,5,12,,,3,199,"14,4",43,994,34,0
2016,11/01/16,1,0,3,,,,11,,,,"3,5",196,"13,8",43,995,27,0
2016,12/01/16,2,0,3,,,,9,,,,"2,6",225,"10,2",44,1006,102,0
2016,13/01/16,6,4,3,,3,10,12,14,,"0,01","0,7",217,"8,6",52,1010,64,0
2016,14/01/16,4,2,3,,5,14,13,21,51,,"2,1",210,"11,7",44,1002,,0
2016,15/01/16,3,2,3,,8,20,9,32,36,,1,254,"9,9",48,1005,51,0
2016,16/01/16,1,1,3,,4,13,6,19,68,,"1,3",269,"7,2",31,1013,124,0
2016,17/01/16,7,5,3,,,,11,,48,,1,220,"6,1",37,1010,91,0
2016,18/01/16,3,1,3,,,,11,,53,,"2,4",221,"10,3",38,1001,104,0
2016,19/01/16,5,4,3,,,,12,,33,,"0,6",202,"9,5",48,1002,77,0
2016,20/01/16,13,10,3,,,,22,,30,,"1,1",191,"9,3",55,1001,106,0
2016,21/01/16,10,7,3,,,,19,,22,,"0,7",226,"9,4",56,1006,115,0
2016,22/01/16,13,11,3,,,,22,,13,,"0,6",234,10,64,1013,52,0
2016,23/01/16,28,25,3,,,,36,,12,,"0,3",244,"10,6",71,1017,42,0
2016,24/01/16,37,34,3,,,,43,,24,,"0,2",245,"10,4",77,1017,31,0
2016,25/01/16,32,30,3,,,,38,,33,,"0,5",200,"11,4",70,1015,73,0
2016,26/01/16,40,36,3,,,,51,,15,,"0,2",249,"10,8",70,1015,,0
2016,27/01/16,34,30,3,,,,44,,31,,"0,5",215,"11,6",65,1013,63,0
2016,28/01/16,19,16,3,,,,28,,35,"0,01","0,7",228,"11,5",56,1012,91,0
2016,29/01/16,30,25,3,,,,41,,7,,"0,1",284,"10,5",68,1016,,0
2016,30/01/16,16,14,3,,,,21,,43,"0,01",1,234,"11,7",49,1015,119,0
2016,31/01/16,8,7,3,,,,13,,53,"0,01","2,2",220,13,49,1013,78,0
2016,01/02/16,4,2,3,,,,9,,40,,"1,4",208,"12,9",52,1014,141,0
2016,02/02/16,15,12,3,,,,24,,22,,"0,5",274,"11,2",65,1011,124,0
2016,03/02/16,14,12,3,,,,28,,46,,"0,9",272,"11,6",50,1012,89,0
2016,04/02/16,4,2,3,,,,11,,60,,"0,9",234,"8,9",45,1019,153,0
2016,05/02/16,12,7,3,,,,20,,48,,"0,7",236,"8,3",65,1013,103,0
2016,06/02/16,16,12,3,,,,26,,44,,"0,6",190,"10,7",60,1005,90,0
2016,07/02/16,2,1,3,,,,7,,93,,"2,7",235,12,39,1002,148,0
2016,08/02/16,2,1,,"0,1",,,8,,85,,"2,1",246,"12,7",45,1008,163,0
2016,09/02/16,3,1,,,,,17,,96,,"3,7",245,"14,1",46,1002,12,0
2016,10/02/16,1,0,,"0,1",,,5,,91,"0,01","3,2",215,"15,4",48,996,60,0
2016,11/02/16,1,0,,"0,1",,,3,,73,,"2,4",197,"14,9",54,995,52,0
2016,12/02/16,1,0,,"0,1",,,7,,77,"0,01","3,4",219,"15,2",51,992,17,0
2016,13/02/16,0,0,,"0,1",,,3,,63,,"3,2",214,17,50,989,34,0
2016,14/02/16,1,0,,"0,1",,,6,,,,4,258,"12,5",40,984,41,0
2016,15/02/16,1,0,,"0,1",,,7,,,"0,01","2,1",269,"9,1",32,994,122,0
2016,16/02/16,4,3,,"0,1",,,10,,,"0,01","0,7",221,"6,7",33,1008,191,0
2016,17/02/16,4,3,,"0,1",,,11,,,,"1,6",221,"6,9",30,1006,205,0
2016,18/02/16,7,5,,"0,1",,,11,,,"0,01",1,210,"9,7",46,1003,64,0
2016,19/02/16,11,8,3,"0,2",,,19,,48,"0,01","0,4",239,"8,3",50,1010,93,0
2016,20/02/16,12,9,5,"0,1",,,18,,64,,"0,9",257,"8,1",59,1015,186,0
2016,21/02/16,11,8,8,"0,1",,,15,,79,"0,01","0,6",221,"8,9",59,1012,151,0
2016,22/02/16,23,10,5,"0,1",,,73,,62,,"0,6",227,"12,8",49,1003,149,0
2016,23/02/16,50,12,3,"0,1",,,140,,67,,"1,1",244,"13,6",38,1006,185,0
2016,24/02/16,15,7,3,"0,1",,,45,,77,,"2,5",228,"12,9",40,1001,148,0
2016,25/02/16,2,1,4,"0,1",,,8,,80,,"2,1",245,"13,5",37,999,200,0
2016,26/02/16,6,4,5,"0,1",,,13,,85,,"1,7",203,"11,3",47,993,79,0
2016,27/02/16,2,2,4,"0,1",,,7,,101,,"3,4",248,"7,6",45,978,0,0
2016,28/02/16,3,2,4,"0,1",,,6,,92,,"1,3",239,"9,7",43,986,32,0
2016,29/02/16,5,4,5,"0,2",,,14,,88,,1,273,"11,3",32,997,136,0
2016,01/03/16,6,4,3,"0,1",,,19,,77,,"1,4",198,"11,3",29,1007,164,0
2016,02/03/16,4,3,3,"0,1",,,16,,77,,"2,4",225,"15,6",25,1003,159,0
2016,03/03/16,5,3,5,"0,1",,,13,,72,,"0,5",238,14,30,1000,160,0
2016,04/03/16,5,3,5,"0,2",,,16,,81,,"2,3",215,"14,4",31,992,142,0
2016,05/03/16,2,1,3,"0,1",,,5,,84,,"2,4",247,"11,4",34,991,170,0
2016,06/03/16,2,2,3,"0,1",,,5,,81,,"1,3",262,"10,2",29,995,108,0
2016,07/03/16,5,4,3,,,,7,,54,,"1,5",221,7,60,993,,0
2016,08/03/16,3,2,3,"0,1",,,7,,74,,"0,8",251,"8,6",41,1000,167,0
2016,09/03/16,4,3,,"0,1",,,9,,64,,"1,7",239,"8,5",50,998,23,0
2016,10/03/16,4,2,,"0,1",,,8,,72,,"1,2",254,9,42,997,112,0
2016,11/03/16,4,3,,"0,1",,,8,,68,,"0,9",210,"9,7",42,1002,189,0
2016,12/03/16,8,7,,"0,1",,,13,,74,,"1,2",228,9,51,1005,186,0
2016,13/03/16,15,13,3,,,,19,,89,,"1,1",245,"9,5",63,1003,178,0
2016,14/03/16,18,16,,"0,2",,,23,,80,,"0,3",316,"10,1",69,1002,53,0
2016,15/03/16,15,13,,"0,1",,,19,,77,,"0,3",44,"9,8",70,1003,61,0
2016,16/03/16,12,10,,,,,17,,85,,"1,3",210,"11,6",49,1001,194,0
2016,17/03/16,12,9,,"0,2",,,18,,81,,1,168,11,56,1006,93,0
2016,18/03/16,18,15,,,,,25,,78,,"0,6",203,"11,8",63,1004,80,0
2016,19/03/16,22,19,,,,,26,,68,,"0,4",218,"11,4",81,1000,2,0
2016,20/03/16,13,11,,"0,1",,,17,,72,,"0,5",258,12,67,1000,172,0
2016,21/03/16,20,17,,"0,1",2,5,25,7,71,,"0,3",297,"11,6",72,998,46,0
2016,22/03/16,12,10,,,2,4,14,6,74,,"1,3",252,"12,1",62,992,79,0
2016,23/03/16,10,8,,,2,6,16,8,76,,"0,9",274,"12,5",42,991,94,0
2016,24/03/16,12,10,,,2,7,18,9,89,,"1,2",236,"12,9",39,1000,223,0
2016,25/03/16,9,8,,"0,2",2,5,15,7,92,,"1,4",257,"16,4",31,1006,195,0
2016,26/03/16,7,5,,"0,1",2,4,10,6,85,,"1,7",237,"17,7",32,1005,209,0
2016,27/03/16,3,3,,,2,4,7,6,83,,2,220,"16,7",35,1003,119,0
2016,28/03/16,4,2,,,2,4,9,6,81,,"1,7",237,"16,2",33,1003,78,0
2016,29/03/16,7,5,,"0,1",2,6,13,8,80,,"1,6",221,"18,2",39,1002,219,0
2016,30/03/16,19,14,,"0,1",3,12,30,15,68,,"0,5",168,"14,5",59,999,198,0
2016,31/03/16,13,10,,"0,2",2,6,27,9,80,,2,286,"14,3",36,996,207,0
2016,01/04/16,5,3,,"0,2",2,6,11,8,83,,1,204,"11,6",39,1001,188,0
2016,02/04/16,8,5,,"0,1",2,6,16,9,90,,"1,3",278,13,47,999,239,0
2016,03/04/16,10,6,,"0,1",2,7,19,10,93,,"0,6",202,"14,6",52,998,214,0
2016,04/04/16,12,10,,"0,1",2,5,15,8,78,,"0,6",169,"13,6",62,993,37,0
2016,05/04/16,4,3,,"0,1",4,10,5,16,53,,"0,5",282,"11,6",75,991,11,0
2016,06/04/16,7,4,,,4,11,15,18,64,,"0,8",224,"15,1",55,999,172,0
2016,07/04/16,11,7,,,3,10,19,15,72,,1,313,"14,9",54,999,234,0
2016,08/04/16,3,2,3,"0,2",2,7,7,10,79,,1,257,"12,9",40,999,230,0
2016,09/04/16,5,3,3,"0,1",2,9,8,11,75,,1,250,"15,2",35,997,229,0
2016,10/04/16,7,4,3,"0,1",2,7,12,9,85,,"0,8",186,"16,3",44,993,237,0
2016,11/04/16,6,3,3,"0,1",2,7,10,9,87,,"1,7",263,"14,9",52,996,199,0
2016,12/04/16,6,4,3,"0,1",2,6,11,9,86,,"1,5",201,16,50,997,242,0
2016,13/04/16,3,1,3,"0,1",2,4,6,6,96,,"2,2",238,"16,9",37,999,257,0
2016,14/04/16,8,5,3,"0,1",2,9,18,12,84,,"1,4",239,"16,7",47,1000,258,0
2016,15/04/16,14,10,3,"0,1",5,14,26,21,68,,"0,8",219,"16,7",50,997,192,0
2016,16/04/16,4,2,4,"0,1",2,4,10,6,83,,"1,7",215,"19,5",39,996,217,0
2016,17/04/16,2,1,4,"0,1",2,4,3,6,94,,"1,8",238,19,35,999,215,0
2016,18/04/16,,,3,"0,1",2,7,,10,85,,"0,7",67,"15,7",53,1005,150,0
2016,19/04/16,8,4,3,"0,1",2,6,16,9,94,,"0,6",324,"14,5",56,1004,144,0
2016,20/04/16,12,6,3,"0,1",2,9,24,13,92,,"0,5",36,"14,3",61,1002,35,0
2016,21/04/16,6,4,3,"0,1",2,6,12,9,96,,"1,2",264,"16,6",49,1005,272,0
2016,22/04/16,12,9,3,"0,1",2,12,21,15,70,,"0,5",181,"15,3",60,1004,85,0
2016,23/04/16,5,4,3,"0,1",2,5,10,7,88,,"1,1",267,"16,8",48,1000,174,0
2016,24/04/16,2,2,3,"0,1",2,4,5,6,90,,"1,2",274,"16,6",37,999,290,0
