Situación;LAeq24;NumDistrito;Distrito;Barrio;NumBarrio
Paseo de Recoletos;68,2;1;Centro;Justicia;4
Plaza del Emperador Carlos V;69,3;1;Centro;Jerónimos;5
Plaza del Carmen;65,8;1;Centro;Sol;6
Plaza de España;65;1;Centro;Sol;6
Barrio del Pilar;64,6;8;Fuencarral-El Pardo;El Pilar;4
Gregorio Marañón;70,7;7;Chamberí;Ríos Rosas;5
Escuelas Aguirre;67;4;Salamanca;Recoletos;1
Cuatro Caminos;65;6;Tetuan;Cuatro Caminos;2
Plaza Manuel Becerra;64,8;4;Salamanca;Goya;2
Vallecas;63,8;13;Puente de Vallecas;Entrevias;1
Glorieta Fdez. Ladreda;65,3;12;Usera;Fuente del Berro;3
Arturo Soria;61,4;15;Ciudad Lineal;Quintana;3
Villaverde;61,6;17;Villaverde;San Andrés;1
Alto Extremadura;61,3;10;Latina;Lucero;3
Avda de Moratalaz;62,6;14;Moratalaz;Vinateros;6
Casa de Campo;47,5;9;Moncloa-Aravaca ;Casa de Campo;1
Santa Eugenia;65,9;18;Villa de Vallecas;Santa Eugenia;2
Barajas Pueblo;62;21;Barajas;Alameda de Osasuna;1
Cuatro Vientos;67;10;Latina ;Cuatro Vientos;6
El Pardo;56,4;8;Fuencarral-El Pardo;Fuencarral-El Pardo;1
Campo de las Naciones;64;21;Barajas;Corralejos;5
Sanchinarro;63,4;16;Hortaleza;Valdefuentes;6
Méndez Álvaro;58,3;2;Arganzuela;Delicias;5
Castellana;62,8;6;Chamartin;Castellana;4
Pza de Castilla;68,5;6;Tetuan;Castillejos;3
Ensanche de Vallecas;61,5;18;Villa de Vallecas;Caso Histórico de Vallecas;1
Tres Olivos;58,7;8;Fuencarral-El Pardo;Valverde;6
