service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
1_8__171___,1,1,1,1,1,1,1,20170524,20180623
12_8__171___,1,1,1,1,1,0,0,20170524,20180623
712_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
116_8__828___,1,1,1,1,1,0,0,20170524,20180623
124_8__828___,1,1,1,1,1,0,0,20170524,20180623
109_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
111_8__828___,1,1,1,1,1,0,0,20170524,20180623
805_9__1__006_,1,1,1,1,0,0,0,20170524,20180622
112_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
9_8__171___,1,1,1,1,1,0,0,20170524,20180623
15_8__171___,0,0,0,0,1,0,0,20170526,20180623
124_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
11_8__171___,1,1,1,1,1,0,0,20170524,20180623
5_8__171___,1,1,1,1,1,1,1,20170524,20180623
705_9__1__006_,1,1,1,1,0,0,0,20170524,20180622
804_9__1__006_,1,1,1,1,0,0,0,20170524,20180622
2_8__171___,1,1,1,1,1,1,1,20170524,20180623
77_9__3__006_,0,0,0,0,0,0,1,20170528,20180618
10_8__171___,1,1,1,1,1,0,0,20170524,20180623
105_9__1__006_,1,1,1,1,0,0,0,20170524,20180622
123_8__828___,1,1,1,1,1,0,0,20170524,20180623
704_9__1__006_,1,1,1,1,0,0,0,20170524,20180622
111_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
6_8__171___,1,1,1,1,1,1,0,20170524,20180623
14_8__171___,1,1,1,1,1,0,0,20170524,20180623
8_8__171___,1,1,1,1,1,0,0,20170524,20180623
3_8__171___,1,1,1,1,1,1,1,20170524,20180623
711_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
104_9__1__006_,1,1,1,1,0,0,0,20170524,20180622
709_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
121_8__828___,1,1,1,1,1,0,0,20170524,20180623
7_8__171___,1,1,1,1,1,0,0,20170524,20180623
13_8__171___,1,1,1,1,1,0,0,20170524,20180623
701_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
76_9__3__006_,0,0,0,0,0,0,1,20170528,20180618
4_8__171___,1,1,1,1,1,1,1,20170524,20180623
110_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
125_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
716_9__2__006_,1,1,1,1,1,0,0,20170524,20180623
