"dc:identifier";"dc:modified";"id";"lpgc:NOMBRE_VIA";"lpgc:PARTICULA";"lpgc:TIPO_VIA";"lpgc:TRAMO_VIA"
"7341";"2017-07-09 05:09:13";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/7341";"CELESTE";"";"CALLE";"7341"
"4414";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4414";"TAFIRA ALTA";"DE";"CTRA";"4414"
"4411";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4411";"TAFIRA ALTA";"DE";"CTRA";"4411"
"4410";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4410";"TAFIRA ALTA";"DE";"CTRA";"4410"
"4409";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4409";"TAFIRA ALTA";"DE";"CTRA";"4409"
"4408";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4408";"TAFIRA ALTA";"DE";"CTRA";"4408"
"4406";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4406";"TAFIRA ALTA";"DE";"CTRA";"4406"
"4405";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4405";"TAFIRA ALTA";"DE";"CTRA";"4405"
"4404";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4404";"TAFIRA ALTA";"DE";"CTRA";"4404"
"4402";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4402";"TAFIRA ALTA";"DE";"CTRA";"4402"
"4401";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4401";"TAFIRA ALTA";"DE";"CTRA";"4401"
"4400";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4400";"TAFIRA ALTA";"DE";"CTRA";"4400"
"4399";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4399";"TAFIRA ALTA";"DE";"CTRA";"4399"
"4398";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4398";"TAFIRA ALTA";"DE";"CTRA";"4398"
"4729";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4729";"TAFIRA ALTA";"DE";"CTRA";"4729"
"5061";"2016-10-06 03:57:08";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5061";"TAFIRA ALTA";"DE";"CTRA";"5061"
"4413";"2017-02-01 06:25:12";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4413";"TAFIRA ALTA";"DE";"CTRA";"4413"
"4403";"2017-02-01 06:25:12";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4403";"TAFIRA ALTA";"DE";"CTRA";"4403"
"4862";"2017-08-06 04:26:18";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4862";"BARRANQUILLO DE DIOS";" ";"LUGAR";"4862"
"1971";"2017-08-06 04:26:30";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/1971";"EL MONDALON";" ";"CALLE";"1971"
"4454";"2017-08-13 04:14:44";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4454";"MARZAGAN";"A";"CTRA";"4454"
"5741";"2017-08-13 04:14:44";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5741";"MARZAGAN";"A";"CTRA";"5741"
"5551";"2017-08-13 04:14:44";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5551";"MARZAGAN";"A";"CTRA";"5551"
"4392";"2017-08-13 04:01:14";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4392";"MARZAGAN";"DE";"CTRA";"4392"
