



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
10470305;"DAM. Innovación pedagógica en música, danza y artes escénicas";"El  DAM: Innovación Pedagógica en Música, Danza y Artes Escénicas  es un nuevo equipamiento educativo y cultural del Ayuntamiento de Madrid que promueve iniciativas vinculadas a la pedagogía de la música, la danza y las artes escénicas, así como al reciclaje formativo del profesorado.   A través de programaciones cuatrimestrales, ofrece actividades totalmente gratuitas, con contenidos actuales e innovadores, dirigidas al personal docente de enseñanzas artísticas (especialmente en música, danza y artes escénicas), tanto de escuelas municipales como de enseñanza privada u obligatoria, así como a sus estudiantes, aunque abiertas a cualquier ciudadano/a interesado/a.";"";"";"Metro: Chueca , Tribunal , Alonso Martínez , Gran Vía  Bus: 3";"Actualmente desarrolla sus actividades en distintos lugares municipales de Madrid:  Centro Centro, MediaLab, Escuelas Municipales de Música y Danza, Conde Duque...";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=24f898df8ed0e510VgnVCM1000001d4a900aRCRD";"FARMACIA";"FUTURA SEDE EN CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"440832";"4475237";"40.42378301276458";"-3.6987856754744657";"915 133 558 ";"";"dam@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
6690;"Escuela de cerámica de la Moncloa";"";"De lunes a viernes de 9 a 14 horas (atención al público)";"Biblioteca - Sala de exposiciones: Espacio de Arte y Cerámica Moncloa - Montajes - Encuentros";"Metro: Príncipe Pío  Bus: 74 , 21 , 41 , 46 , 75";"ENSEÑANZAS.  ACCESO: Con ESO - BUP o FP2 (se obtiene un Diploma de Ceramista expedido por el Ayuntamiento) -   CURSOS MONOGRÁFICOS.  ACCESO: Prueba de nivel cuando la demanda es superior a las plazas   TALLERES:  ACCESO: Prueba de nivel   Más información en:   Escuela de Cerámica de la Moncloa";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=009fa4ea6871c010VgnVCM1000000b205a0aRCRD";"FRANCISCO Y JACINTO ALCÁNTARA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28008";"CASA DE CAMPO";"MONCLOA-ARAVACA";"438672";"4475579";"40.42670719570918";"-3.7242795119747836";"915 478 589 ";"";"escuelaceramica@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
81780;"Escuela municipal de arte dramático";"";"De lunes a jueves de 9:30 a 14 horas y de 15:30 a 18:30 horas  Viernes de 9:30 a 14 horas";"Cursos para alumnos de 6 años en adelante";"Metro: Bilbao , Alonso Martínez , Tribunal Bus: 3 , 21 , 37 , 40 , 147 , 149";"ENSEÑANZA    Nivel Superior (3 cursos): Interpretación - Voz - Expresión corporal - Análisis de texto teatral - Teatro clásico español - Ortofonía y dicción - Voz y Canto - Expresión corporal II - Análisis de texto teatral II.  Formación teatral básica (junior, senior y adulto): Interpretación - Voz - Expresión corporal.  Grupos para niños (alevín e infantil): Iniciación al teatro - Juego escénico.    REQUISITOS DE EDAD    Nivel Superior: a partir de 17 años.  Senior: de 15 años en adelante.  Junior: de 12 a 14 años.  Infantil: de 9 a 11 años.  Alevín: de 6 a 8 años.   Más información en:   Escuela municipal de arte dramático";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5b184291ae91f010VgnVCM2000000c205a0aRCRD";"MEJIA LEQUERICA";"CALLE";"V";"21";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"440775";"4475710";"40.4280399538175";"-3.699501702258276";"91 594 49 98";"";"artedramatico@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
6031698;"Escuela municipal de música  El Capricho (Barajas)";"";"De lunes a viernes de 17 a 20 horas.  Durante el mes de agosto la Escuela de Música permanecerá cerrada.";"";"BUS: 101 , 105, 151  METRO: El Capricho";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3e524bc86474f210VgnVCM1000000b205a0aRCRD";"JOAQUIN IBARRA";"CALLE";"NUM";"28";"";"";"";"";"MADRID";"MADRID";"28042";"ALAMEDA DE OSUNA";"BARAJAS";"449724";"4478889";"40.4572685449013";"-3.594259736681548";"917 420 634        
(de 17 a 20 horas)";"";"emcapricho@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
4569173;"Escuela municipal de música Almudena Cano (Arganzuela)";"";"De lunes a viernes de 17 a 20 horas.  Durante el mes de agosto la Escuela de Música permanecerá cerrada.";"";"METRO: Atocha BUS: 19, 27, 34, 45, 47, 55, 247";"Características de la escuela   La capacidad máxima es de 420 plazas.  Cuenta con 10 aulas, de las que 3 se dedican a asignaturas teóricas y 7 a instrumentales.  Tiene, asimismo, un Salón de Actos con capacidad para, aproximadamente, 150  personas.     Más información detallada ver en Información relacionada: 'Escuelas Municipales de Música y Danza'";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0e943e9343652110VgnVCM1000000b205a0aRCRD";"TORTOSA";"PASAJE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28045";"PALOS DE MOGUER";"ARGANZUELA";"441348";"4473231";"40.40574857350412";"-3.6925180494110386";"915 062 722                   
(de 17 a 20 horas)";"";"emarganzuela@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
6698;"Escuela municipal de música Antonio Machado (San Blas-Canillejas)";"";"De lunes a viernes de 17 a 20 horas.  Durante el mes de agosto la Escuela de Música permanecerá cerrada.";"";"Bus: 4 , 106, 140   Metro: Alsacia";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3fefa4ea6871c010VgnVCM1000000b205a0aRCRD";"SAN ROMAN DEL VALLE";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28037";"ARCOS";"SAN BLAS-CANILLEJAS";"447365";"4474799";"40.42027705095574";"-3.621741078700336";"917 757 472                     
(de 17 a 20 horas)";"";"emamachado@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
125019;"Escuela municipal de música Carmelo Alonso Bernaola (Fuencarral-El Pardo)";"";"De lunes a viernes de 17 a 20 horas.  Durante el mes de agosto la Escuela de Música permanecerá cerrada.";"";"Metro: Begoña  Bus: 66 , 124 ,137";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9f368899fc81c010VgnVCM1000000b205a0aRCRD";"SOTO PALACIOS";"AVENIDA";"V";"7";"";"";"";"";"MADRID";"MADRID";"28034";"VALVERDE";"FUENCARRAL-EL PARDO";"442097";"4482432";"40.48876867947374";"-3.6845918447368597";"913 340 931                 
(de 17 a 20 horas)";"";"embernaola@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
6687;"Escuela municipal de música Federico Chueca (Hortaleza)";"";"De lunes a viernes de 17 a 20 horas.  Durante el mes de agosto la Escuela de Música permanecerá cerrada.";"";"Metro: Pinar del Rey Bus: 73, 87";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=db30a4ea6871c010VgnVCM1000000b205a0aRCRD";"BENITA AVILA";"CALLE";"V";"23";"";"";"";"";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"444954";"4479837";"40.46550570624769";"-3.650596897631368";"917 593 235                
(de 17 a 20 horas)";"";"emfchueca@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
4953904;"Escuela municipal de música Isaac Albéniz (Carabanchel)";"";"De lunes a viernes de 17 a 20 horas.  Durante el mes de agosto la Escuela de Música permanecerá cerrada.";"";"Metro: La Peseta Bus: 35, 47";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c048bfcfa63ea110VgnVCM2000000c205a0aRCRD";"LONJA DE LA SEDA";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28054";"BUENAVISTA";"CARABANCHEL";"435979";"4468864";"40.366012559408354";"-3.7553478337291613";"915 117 273              
(de 17 a 20 horas)";"";"emisaacalbeniz@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
6683;"Escuela municipal de música Maestro Barbieri (Usera)";"";"De lunes a viernes de 17 a 20 horas.  Durante el mes de agosto la Escuela de Música permanecerá cerrada.";"";"Bus: 6 , 60 , 78 , 81 , 116 , 121 , 131";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2260a4ea6871c010VgnVCM1000000b205a0aRCRD";"CESTONA";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28041";"ORCASITAS";"USERA";"439532";"4469578";"40.372710384742504";"-3.7135708871039514";"913 417 833                 
(de 17 a 20 horas)";"";"emmbarbieri@madrid.es";"/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza"; 
