FID,ogc_fid,nr,nom,naam,gestionnaire,zone,adresse,adres,commune,gemeente,cp,capac_aff,wkb_geometry
parkingpublic.fid--2e38e112_15225ebf4dc_-2fa2,1,52,Bota,Bota,?,Nord-Rogier,Rue Traversière 17,Dwarsstraat 17,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,1210,0,POINT (149950 171564.99999889638)
parkingpublic.fid--2e38e112_15225ebf4dc_-2fa1,2,26,Botanique,Kruidtuin,Interparking,Nord-Rogier,Boulevard du Jardin Botanique 29-31,Kruidtuinlaan 29-31,Bruxelles,Brussel,1000,387,POINT (149376.99999999985 171577.99999889545)
parkingpublic.fid--2e38e112_15225ebf4dc_-2fa0,3,21,CCN,CCN,Interparking,Nord-Rogier,Rue du Progrès 80,Vooruitgangstraat 80 ,Schaerbeek,Schaarbeek,1030,83,POINT (149439.99999999985 172319.9999988973)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f9f,4,35,City 2,City 2,Interparking,Nord-Rogier,Rue des Cendres 8,Asstraat 8,Bruxelles,Brussel,1000,425,POINT (149299.99999999988 171473.99999889638)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f9e,6,45,Manhattan Center,Manhattan Center,Co-propriété,Nord-Rogier,Rue des Croisades 19,Kruisvaartenstraat 19 ,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,1210,686,POINT (149207.99999999983 171759.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f9d,7,3,Pacheco,Pacheco,Q-Park,Nord-Rogier,Boulevard Pachéco 7,Pachecolaan 7,Bruxelles,Brussel,1000,850,POINT (149555.9999999999 171244.99999889638)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f9c,8,44,Passage 44,Passage 44,Interparking,Nord-Rogier,Rue de l'Ommegang 16-20 ,Ommegangstraat 16-20,Bruxelles,Brussel,1000,520,POINT (149504.99999999988 171345.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f9b,9,4,Rogier,Rogier,Interparking,Nord-Rogier,Place Rogier,Rogierplein,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,1210,355,POINT (149328.99999999985 171663.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f9a,10,10,W.T.C.,W.T.C.,Interparking,Nord-Rogier,Boulevard Roi Albert II  30 ,Koning Albert II-laan  30 ,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,1210,822,POINT (149173.99999999985 172317.99999889638)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f99,11,5,Gare du Midi,Zuidstation,Q-Park,Midi,Rue de France 40 ,Frankrijkstraat 40 ,Saint-Gilles,Sint-Gillis,1060,1650,POINT (147474.99999999948 169353.99999889266)
