Measurement,Fecha,NMT,Situacion,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,2017-01-01,1,Paseo de Recoletos,69.1,69.2,66.5,68.2,74,71.3,65.8,57.9,50
2,2017-01-01,2,Carlos V,70.2,69.8,66.9,69.3,75.5,71.4,67.9,61.2,54.8
3,2017-01-01,3,Plaza del Carmen,67.7,60.9,62.8,65.8,75.4,66,58.5,53.4,50.7
4,2017-01-01,4,Plaza de Espa�a,65.9,65.9,62.4,65,72.7,67.4,63.5,56.4,49.1
5,2017-01-01,5,Barrio del Pilar,65.7,66.2,60.1,64.6,74.4,67,59.7,46.9,37.9
6,2017-01-01,6,Gregorio Mara�on,71.9,71.4,67.2,70.7,77.7,74.2,67.5,60.3,52
7,2017-01-01,8,Escuelas Aguirre,68.1,67.6,64.2,67,73.6,70.2,65.3,57.5,47.3
8,2017-01-01,10,Cuatro Caminos,66.5,65.5,60.2,65,73.4,68.8,61,51.1,45.2
9,2017-01-01,11,Ramon y Cajal,69.6,68.8,63.2,68.2,74.8,71.4,66.5,52.2,39.2
10,2017-01-01,12,Plaza Manuel Becerra,65.9,65,62.1,64.8,74.3,65.5,61.3,53.4,46
11,2017-01-01,13,Vallecas,60.3,58.4,67,63.8,66.3,60.9,53.9,41.7,37.4
12,2017-01-01,14,Glorieta Fdez. Ladreda,66.3,66,62.5,65.3,71.5,67.8,63,55.4,47.8
13,2017-01-01,16,Arturo Soria,62.7,61.5,58.3,61.4,67.8,64.8,59.1,43.3,36.9
14,2017-01-01,17,Villaverde,59.2,62.7,63.4,61.6,69.4,61.4,53.6,42.2,36.4
15,2017-01-01,18,Farolillo,61.6,64,72.4,68.4,68.9,59.4,51.4,41.9,39.1
16,2017-01-01,19,Alto Extremadura,62.4,61.6,58.7,61.3,69.2,64,57.7,46.9,37.7
17,2017-01-01,20,Avda de Moratalaz,63.9,62.5,59.5,62.6,71.2,64.6,58.5,45.8,38.8
18,2017-01-01,24,Casa de Campo,49.1,44.9,44.7,47.5,56.2,50.2,44,38.8,36.2
19,2017-01-01,25,Santa Eugenia,67,66.5,63.1,65.9,71.2,68,65.4,57.1,48
20,2017-01-01,26,Embajada,64.8,63.4,59.3,63.3,71.8,67.9,58.4,49.9,41.8
21,2017-01-01,27,Barajas Pueblo,63.4,62.4,57.4,62,72.4,66.2,55,43.4,36.3
22,2017-01-01,28,Cuatro Vientos,68.6,67.4,62.1,67,75.3,71.5,61.5,42.8,37.9
23,2017-01-01,29,El Pardo,58.3,55.3,51,56.4,65.6,60.4,49.8,35.1,32.6
24,2017-01-01,30,Campo de las Naciones,66.6,59.7,54.2,64,72.6,64.2,57.5,44.6,40.4
25,2017-01-01,31,Sanchinarro,65,64.9,54.6,63.4,73.1,68.4,55.4,43.2,37.5
26,2017-01-01,47,Mendez alvaro,56.3,58,60.3,58.3,67,55.3,48.1,41,37.2
27,2017-01-01,48,Castellana,64,63.5,59.6,62.8,69.4,65.9,61.3,54,45.2
28,2017-01-01,50,Pza de Castilla,70.7,66.1,61.8,68.5,79,67.9,63.6,55.6,48.8
29,2017-01-01,54,Ensanche de Vallecas,61.8,62.1,60.6,61.5,67.8,64.2,58.8,43.8,37.8
30,2017-01-01,55,Urbanizacion Embajada II,60.7,55.8,53.4,58.6,66.8,59.4,51.5,44.2,41.2
31,2017-01-01,86,Tres Olivos,59.2,60.1,56.8,58.7,67.4,61.5,51.6,38.6,36
32,2017-02-01,1,Paseo de Recoletos,68.9,68.6,66.5,68.1,74.5,71.4,66.1,58.5,50.3
33,2017-02-01,2,Carlos V,70.5,70.1,67.1,69.5,76,71.7,68.2,61.5,54.6
34,2017-02-01,3,Plaza del Carmen,68.7,61.5,59.8,66.3,78.4,68.6,59.6,54,50.9
35,2017-02-01,4,Plaza de Espa�a,68.5,66.4,62.4,66.8,76.2,68.2,63.9,57.4,49.6
36,2017-02-01,5,Barrio del Pilar,63.9,63.2,56.6,62.4,69.5,65.7,60,47.2,39
37,2017-02-01,6,Gregorio Mara�on,72.1,71.6,67.5,70.9,77.7,74.4,67.9,61,52.8
38,2017-02-01,8,Escuelas Aguirre,68.9,68,64.7,67.7,74.1,70.7,66.1,58.8,49.6
39,2017-02-01,10,Cuatro Caminos,67.1,65.7,60.7,65.5,73.7,69.1,61.5,50.1,42.9
40,2017-02-01,11,Ramon y Cajal,70,69.1,63.4,68.5,74.8,71.8,67.2,53,39.8
41,2017-02-01,12,Plaza Manuel Becerra,65.7,65.2,59.8,64.3,71.3,65.7,61.8,54,46.5
42,2017-02-01,13,Vallecas,59.8,58.4,51.6,58,66.2,60.9,54.2,42.4,38
