CODIGO;ZV/VP;DISTRITO;DIRECCIÓN ;COMPLEMENTO DE DIRECCIÓN ;COORD. X;COORD. Y;SISTEMA DE COORDENADAS;ESTADO;FECHA DATOS
FUE_01-01_0000000001;ZV;CENTRO;PLAZA COMENDADORAS;PLAZA COMENDADORAS;440001,929;4475627,276;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000004;ZV;CENTRO;PLAZA VILLA DE PARIS;PLAZA VILLA DE PARIS;441391,228;4475400,397;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000005;ZV;CENTRO;PLAZA VILLA DE PARIS;PLAZA VILLA DE PARIS;441308,837;4475430,3;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000007;ZV;CENTRO;PLAZA SAN ILDEFONSO;PLAZA SAN ILDEFONSO;440574,975;4475278,497;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000008;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440295,323;4473261,096;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000009;ZV;CENTRO;PLAZA DE LOS CARROS;PLAZA DE LOS CARROS;439745,879;4473901,057;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000012;ZV;CENTRO;PARQUE DE LA CORNISA;PARQUE DE LA CORNISA;439414,194;4473699,919;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000017;ZV;CENTRO;PASEO DEL PRADO;PASEO DEL PRADO;441295,84;4474005,371;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000018;ZV;CENTRO;MERCADO PUERTA DE TOLEDO;MERCADO PUERTA DE TOLEDO;439846,928;4473395,538;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000020;ZV;CENTRO;PLAZA DOS DE MAYO;PLAZA DOS DE MAYO;440357,588;4475591,528;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000021;ZV;CENTRO;PARQUE DE ATENAS;PARQUE DE ATENAS;438976,56;447428,22;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000006;ZV;CENTRO;PLAZA CRISTINO MARTOS;PLAZA CRISTINO MARTOS;439710,682;4475452,296;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000024;ZV;CENTRO;JARDINES PLAZA GABRIEL MIRO;JARDINES PLAZA GABRIEL MIRO;439456,156;4474013,422;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000027;ZV;CENTRO;PARQUE DE ATENAS;PARQUE DE ATENAS;439114,64;4474250,46;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000029;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440323,015;4473339,793;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000030;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440260,289;4477319,488;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000031;VP;CENTRO;CL ARGANZUELA Nº:1;;439844,996;4473586,61;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000033;VP;CENTRO;CL SAN JUSTO Nº:1;PLAZA PUERTA CERRADA;439952,741;4474137,508;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000034;VP;CENTRO;PLAZA JESUS Nº:4;;440104,491;4473704,22;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000036;VP;CENTRO;PLAZA CASCORRO Nº:11;;441060,47;4473633,453;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000037;VP;CENTRO;PLAZA ISABEL II Nº:8;;439947,891;4474614,817;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000040;VP;CENTRO;CUESTA DE LOS CIEGOS, 2;JUNTO A LA C/ SEGOVIA;439450,618;4474128,645;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_01-01_0000000041;VP;CENTRO;C/ SANTA CRUZ DE MARCENADO, 18;ESQUINA C/ CONDE DUQUE (FTE FARMACIA);439913,974;4475809,248;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FB_000052;PARQUE HISTORICO SINGULAR O FORESTAL;CENTRO;JARDINES DE LA PLAZA DE ORIENTE;;439604,66;4474347,24;"""ETRS89 / UTM 
Zona 30N""";EN SERVICIO;20-nov-16
FB_000051;PARQUE HISTORICO SINGULAR O FORESTAL;CENTRO;JARDINES DE SABATINI;;439448,55;4474672,62;"""ETRS89 / UTM 
Zona 30N""";EN SERVICIO;20-nov-16
FB_900013;PARQUE HISTORICO SINGULAR O FORESTAL;CENTRO;MADRID RIO;;438776,1;4474277,1;"""ETRS89 / UTM 
Zona 30N""";EN SERVICIO;20-nov-16
FB_900014;PARQUE HISTORICO SINGULAR O FORESTAL;CENTRO;MADRID RIO;;438732,8;4474119,6;"""ETRS89 / UTM 
Zona 30N""";EN SERVICIO;20-nov-16
FUE_02-02_0000000001;ZV;ARGAZUELA;ED 3/3 MENDEZ ALVARO - DELICIAS;PLAZA DEL AMANECER EN MÉNDEZ ÁLVARO Nº3;441990,303;4472503,36;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000002;ZV;ARGAZUELA;RAMIREZ DE PRADO;C/RAMIREZ DE PRADO Nº 5;441776,378;4472477,91;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000003;ZV;ARGAZUELA;Z.V. PUERTO DE  BEJAR;CALLE PUERTO DE BEJAR Nº 24;441835,785;4471325,83;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000005;ZV;ARGAZUELA;PARQUE DEL BRONCE PVF;C/BRONCE Nº 19;441762,22;4471515,4;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000007;ZV;ARGAZUELA;PARQUE DE DELICIAS;C/PÀRROCO EUSEBIO CUENCA Nº 46;441693,953;4472088,84;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000009;ZV;ARGAZUELA;PZA. LUCA DE TENA;PZA  LUCA DE TENA N º2;441258,569;4472821,82;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000010;ZV;ARGAZUELA;PZA. LUCA DE TENA;PZA  LUCA DE TENA N º13;441211,48;4472821,19;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000012;ZV;ARGAZUELA;ANTIGUA ESTACION SUR;C/PALOS DE LA FRONTERA Nº 29;441158,839;4472916,25;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
FUE_02-02_0000000013;ZV;ARGAZUELA;ANTIGUA ESTACION SUR;C/CANARIAS Nº 22;441130,54;4472838,47;EPSG:23030-ED50/ UTM ZONE 30 N;EN SERVICIO;20-nov-16
