CODIGO;"ZONA VERDE / 
VIA PUBLICA";DISTRITO;DIRECCION;COMPLEMENTO DE DIRECCIÓN ;COORD. X;COORD. Y;SISTEMA DE COORDENADAS;LONGITUD;LATITUD;ESTADO;OBSERVACIONES;FECHA DATOS
FUE_01-01_0000000001;ZV;CENTRO;PLAZA COMENDADORAS;;439892,4997;4475419,798;"ETRS89 / UTM 
Zona 30N";-3,7086003;40,4272429;EN SERVICIO;;28/06/2017
FUE_01-01_0000000002;ZV;CENTRO;JARDINES CONDE DUQUE;;439766,5391;4475585,204;"ETRS89 / UTM 
Zona 30N";-3,7101008;40,4287238;EN SERVICIO;;28/06/2017
FUE_01-01_0000000003;ZV;CENTRO;PLAZA DE LAS SALESAS;;441077,2599;4475077,763;"ETRS89 / UTM 
Zona 30N";-3,6946026;40,4242464;EN SERVICIO;;28/06/2017
FUE_01-01_0000000004;ZV;CENTRO;PLAZA VILLA DE PARIS;;441281,789;4475192,9;"ETRS89 / UTM 
Zona 30N";-3,6922023;40,4252981;EN SERVICIO;;28/06/2017
FUE_01-01_0000000005;ZV;CENTRO;PLAZA VILLA DE PARIS;;441199,3988;4475222,805;"ETRS89 / UTM 
Zona 30N";-3,6931763;40,4255618;EN SERVICIO;;28/06/2017
FUE_01-01_0000000006;ZV;CENTRO;PLAZA CRISTINO MARTOS;;439601,2523;4475244,82;"ETRS89 / UTM 
Zona 30N";-3,7120169;40,4256456;EN SERVICIO;;28/06/2017
FUE_01-01_0000000007;ZV;CENTRO;PLAZA SAN ILDEFONSO;;440465,5389;4475071,01;"ETRS89 / UTM 
Zona 30N";-3,7018126;40,4241421;EN SERVICIO;;28/06/2017
FUE_01-01_0000000008;ZV;CENTRO;PARQUE CASINO DE LA REINA;;440185,8664;4473053,601;"ETRS89 / UTM 
Zona 30N";-3,7049195;40,4059482;EN SERVICIO;;28/06/2017
FUE_01-01_0000000009;ZV;CENTRO;PLAZA DE LOS CARROS;;439636,4322;4473693,572;"ETRS89 / UTM 
Zona 30N";-3,711455;40,4116737;EN SERVICIO;;28/06/2017
FUE_01-01_0000000012;ZV;CENTRO;PARQUE DE LA CORNISA;;439304,7466;4473492,437;"ETRS89 / UTM 
Zona 30N";-3,7153448;40,4098378;EN SERVICIO;;28/06/2017
FUE_01-01_0000000017;ZV;CENTRO;PASEO DEL PRADO;;441186,3865;4473797,868;"ETRS89 / UTM 
Zona 30N";-3,6931979;40,4127243;EN SERVICIO;;28/06/2017
FUE_01-01_0000000018;ZV;CENTRO;MERCADO PUERTA DE TOLEDO;;439737,4751;4473188,049;"ETRS89 / UTM 
Zona 30N";-3,7102162;40,4071271;EN SERVICIO;;28/06/2017
FUE_01-01_0000000020;ZV;CENTRO;PLAZA DOS DE MAYO;;440248,1564;4475384,045;"ETRS89 / UTM 
Zona 30N";-3,7044044;40,4269465;EN SERVICIO;;28/06/2017
FUE_01-01_0000000021;ZV;CENTRO;PARQUE DE ATENAS;;438867,16;4474075,74;"ETRS89 / UTM 
Zona 30N";-3,7205578;40,4150604;EN SERVICIO;;28/06/2017
FUE_01-01_0000000023;ZV;CENTRO;PLAZA DE SANTO DOMINGO;;439913,6859;4474623,727;"ETRS89 / UTM 
Zona 30N";-3,7082753;40,4200731;FUERA DE SERVICIO;DEFICIENCIA ESTRUCTURAL;28/06/2017
FUE_01-01_0000000024;ZV;CENTRO;JARDINES PLAZA GABRIEL MIRO;;439346,7118;4473805,941;"ETRS89 / UTM 
Zona 30N";-3,7148802;40,412665;EN SERVICIO;;28/06/2017
FUE_01-01_0000000027;ZV;CENTRO;PARQUE DE ATENAS;;439005,2002;4474042,985;"ETRS89 / UTM 
Zona 30N";-3,7189277;40,4147755;EN SERVICIO;;28/06/2017
FUE_01-01_0000000028;ZV;CENTRO;PARQUE DE ATENAS;;438901,76;4474042,18;"ETRS89 / UTM 
Zona 30N";-3,7201468;40,4147606;EN SERVICIO;;28/06/2017
FUE_01-01_0000000029;ZV;CENTRO;PARQUE CASINO DE LA REINA;;440213,5592;4473132,298;"ETRS89 / UTM 
Zona 30N";-3,7046006;40,4066592;EN SERVICIO;;28/06/2017
FUE_01-01_0000000030;ZV;CENTRO;PARQUE CASINO DE LA REINA;;440150,8768;4477112,016;"ETRS89 / UTM 
Zona 30N";-3,7057139;40,4425058;EN SERVICIO;;28/06/2017
FUE_01-01_0000000031;VP;CENTRO;CL ARGANZUELA Nº:1; ;439735,5452;4473379,122;"ETRS89 / UTM 
Zona 30N";-3,7102571;40,4088482;EN SERVICIO; ;28/06/2017
FUE_01-01_0000000032;VP;CENTRO;CL MESON DE PAREDES, DEL Nº:48;CABESTREROS;440273,2651;4473434,891;"ETRS89 / UTM 
Zona 30N";-3,7039254;40,4093894;EN SERVICIO;;28/06/2017
FUE_01-01_0000000033;VP;CENTRO;CL SAN JUSTO Nº:1;PLAZA PUERTA CERRADA;439843,2957;4473930,022;"ETRS89 / UTM 
Zona 30N";-3,7090393;40,4138188;EN SERVICIO;;28/06/2017
FUE_01-01_0000000034;VP;CENTRO;PLAZA JESUS Nº:4; ;439995,0402;4473496,73;"ETRS89 / UTM 
Zona 30N";-3,7072101;40,4099264;EN SERVICIO;;28/06/2017
FUE_01-01_0000000035;VP;CENTRO;CL SANTA ISABEL Nº:48; ;440971,7427;4473907,6;"ETRS89 / UTM 
Zona 30N";-3,6957378;40,4136976;EN SERVICIO;;28/06/2017
FUE_01-01_0000000036;VP;CENTRO;PLAZA CASCORRO Nº:11; ;440951,0136;4473425,951;"ETRS89 / UTM 
Zona 30N";-3,6959374;40,4093572;EN SERVICIO;;28/06/2017
FUE_01-01_0000000037;VP;CENTRO;PLAZA ISABEL II Nº:8; ;439838,4509;4474407,334;"ETRS89 / UTM 
Zona 30N";-3,7091416;40,4181182;EN SERVICIO;;28/06/2017
