COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;NOMBRE_COMIENZA;NOMBRE_ACENTOS_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;NOMBRE_TERMINA;NOMBRE_ACENTOS_TERMINA
31000210;CALLE;DEL;ABAD JUAN CATALAN;ABAD JUAN CATALÁN;00978785;CARRETERA;DE;VICALVARO A LA ESTACION DE O'DONNELL;VICÁLVARO A LA ESTACIÓN DE O'DONNELL;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO
00000200;CALLE;DE LA;ABADA;ABADA;00656500;CALLE;DE LA;SALUD;SALUD;00342950;CALLE;;GRAN VIA;GRAN VÍA
00000300;CALLE;DE LOS;ABADES;ABADES;00505000;CALLE;DEL;MESON DE PAREDES;MESÓN DE PAREDES;00262000;CALLE;DE;EMBAJADORES;EMBAJADORES
00000400;CALLE;DE LA;ABADESA;ABADESA;00643000;CALLE;DE;ROBLEDO;ROBLEDO;00509600;CALLE;DE LA;MIOSOTIS;MIOSOTIS
00000600;CALLE;DE;ABALOS;ÁBALOS;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO;00169200;CALLE;DE;CIDAMON;CIDAMÓN
00000700;CALLE;DEL;ABANICO;ABANICO;00737900;CALLE;DE LOS;TEJEDORES;TEJEDORES;00562200;CALLE;DE LA;PAÑERIA;PAÑERÍA
00000800;CALLE;DE;ABANTOS;ABANTOS;00144700;CALLE;DE;CARLOS PEREYRA;CARLOS PEREYRA;00582200;CALLE;DE;LA PEÑOTA;LA PEÑOTA
00000900;CALLE;DEL;ABARDERO;ABARDERO;00239000;CALLE;DE LA;DIVINA PASTORA;DIVINA PASTORA;00384400;CALLE;DE LAS;ISLAS ANTIPODAS;ISLAS ANTÍPODAS
00001000;CALLE;DE;ABARZUZA;ABÁRZUZA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;MAR DE LAS ANTILLAS;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;MAR DE LAS ANTILLAS
00001100;CALLE;DE;ABAY;ABAY;00573300;CALLE;DE;PEDRO JIMENEZ;PEDRO JIMÉNEZ;00339100;CALLE;DE;GOMEZ ACEBO;GÓMEZ ACEBO
00001150;CALLE;DE;ABDON TERRADAS;ABDÓN TERRADAS;00108600;CALLE;DE;BLASCO DE GARAY;BLASCO DE GARAY;00352700;CALLE;DE;GUZMAN EL BUENO;GUZMÁN EL BUENO
00001200;CALLE;DEL;ABEDUL;ABEDUL;00310300;CALLE;DE;FRANCISCO SUAREZ;FRANCISCO SUÁREZ;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO
00001300;CALLE;DE;ABEGONDO;ABEGONDO;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;MAR DE LAS ANTILLAS;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;MAR DE LAS ANTILLAS
00001301;CALLE;DEL;ABEJARUCO;ABEJARUCO;00129251;RONDA;DEL;TREN;TREN;00900207;CALLE;DEL;SEIS DE DICIEMBRE;SEIS DE DICIEMBRE
00001400;CALLE;DE LA;ABEJUELA;ABEJUELA;00677600;CALLE;DE;SAN MARCELINO;SAN MARCELINO;00404600;CALLE;DE;JOSE MAURELO;JOSÉ MAURELO
00001500;CALLE;DE;ABEL;ABEL;00571800;CALLE;DE;PEDRO BARREDA;PEDRO BARREDA;00241500;AVENIDA;DEL;DOCTOR FEDERICO RUBIO Y GALI;DOCTOR FEDERICO RUBIO Y GALÍ
00002665;CALLE;DE LAS;ABELIAS;ABELIAS;00002637;AVENIDA;DE LAS;AZALEAS;AZALEAS;00000858;AVENIDA;DE LOS;ANDES;ANDES
00001600;CALLE;DE;ABELLA;ABELLA;00329600;AVENIDA;DE;CARABANCHEL ALTO;CARABANCHEL ALTO;00601300;CALLE;DE;POLVORANCA;POLVORANCA
00001800;CALLE;DE;ABERTURA;ABERTURA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;MAR DE LAS ANTILLAS;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;MAR DE LAS ANTILLAS
00002318;CALLE;DEL;ABETAL;ABETAL;00118600;AVENIDA;DE;BURGOS;BURGOS;00906263;CALLE;DE LA;SAUCEDA;SAUCEDA
00001900;CALLE;DEL;ABETO;ABETO;00804700;CAMINO;DE LA;ZARZUELA;ZARZUELA;00152500;CALLE;DE;CASIOPEA;CASIOPEA
00002100;CALLE;DE;ABIZANDA;ABIZANDA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;MAR DE LAS ANTILLAS;00003700;CALLE;DE;ACEBEDO;ACEBEDO
00002300;CALLE;DEL;ABOLENGO;ABOLENGO;00496100;CALLE;DE;MATILDE HERNANDEZ;MATILDE HERNÁNDEZ;00543600;CALLE;DE LA;OCA;OCA
00002400;AVENIDA;DE;ABRANTES;ABRANTES;00549100;AVENIDA;DE;OPORTO;OPORTO;00600400;AVENIDA;DE LOS;POBLADOS;POBLADOS
00002500;CALLE;DE;ABRIL;ABRIL;00313350;CALLE;DE;FUENCEMILLAN;FUENCEMILLÁN;31003081;CARRETERA;;M-22;M-22
00002600;CALLE;DE;ABTAO;ABTAO;00171800;AVENIDA;DE LA;CIUDAD DE BARCELONA;CIUDAD DE BARCELONA;00499700;AVENIDA;DEL;MEDITERRANEO;MEDITERRÁNEO
00002725;RONDA;DE LA;ABUBILLA;ABUBILLA;00724400;RONDA;DE;SOBRADIEL;SOBRADIEL;00724400;RONDA;DE;SOBRADIEL;SOBRADIEL
