OBJECTID	CENTRO	DIRECCION	CAPACIDAD	PROBLEMAS
1067	"Escuela Oficial de Idiomas ""Carabanchel"""	Portalegre, 52	5	false
1068	"JMD ""Tetußn"""	Vía Virgen	12	false
1070	Castell¾	Castelló, 14	6	true
1071	"Metro ""Casa de Campo"""	Paseo de la Venta	12	false
1072	Lagasca	Lagasca, 30	6	true
1073	Claudio Coello	Claudio Coello, 28	6	false
1075	"Parque ""Sur"""	Vía Lusitana - Plaza de Coimbra	10	false
1082	"CEIP ""Madrid Sur"""	Viridiana	10	false
1083	Biblioteca UPM	Campur Sur	10	false
1084	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	7	false
1085	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	7	false
1217	Instalaciones Deportivas en Avenida de los Poblados	Av. Poblados - Vía Lusitana	6	false
1086	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	7	false
1088	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	7	false
1090	"Centro Juvenil ""Cerro de Vacas"""	Real de Arganda y Sierra de Torcal	10	false
1092	Parque	Parque	45	false
1096	"Instalaciones Deportivas ""Concepcion Arenal"""	JosÚ del Hierro	10	false
1104	Alameda de Osuna	Noray	10	false
1105	Editorial Anaya	Juan Ignacio Luca de Tena	10	true
1107	"Parque ""Juan Pablo II"""	Av. las Piceas	6	false
1109	"Centro Deportivo Municipal ""Luis AragonÚs"" (lateral derecho)"	El Provencio 20	5	false
1110	"Centro Deportivo Municipal ""Luis AragonÚs"" (lateral izquierdo)"	El Provencio 20	5	false
1112	"Parque ""Paraiso"""	Av. Arcentales	10	true
1113	"Instalaci¾n Deportiva Municipal ""Villa de Madrid"""	Los Brezos, 1	20	false
1114	"Instalaci¾n Deportiva Municipal ""Villa de Madrid"""	Los Brezos, 1	9	false
1115	"Centro Comercial ""Plenilunio"""	Aracne, 3 y Pirra	16	false
1116	Interior del parque		10	true
1117	Anillo Verde Ciclista	Plaza de Grecia	10	false
1119	"JMD ""San Blas"""	Av. Arcentales, 28	10	false
1120	"Polideportivo ""Pepu Hernßndez"""	Av. Niza, s/n y Alpes	7	false
1122	"Colegio ""Juan ValdÚs"""	Av. Canillejas	6	false
1124	Escuela oficial de Idiomas	Conserveros, 4	6	false
1125	"Centro Comercial ""Las Rosas"""	Aquitania, 3	6	false
1	Instalaciones Deportivas	Hermandad de Donantes de Sangre, 21	10	false
2	Cuesta de Moyano	Paseo Prado, 2	10	false
3	La Casa Encendida	Ronda de Valencia, 2	10	false
